Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «torrent», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;607 004;0,041;
08.01.2018;563 835;0,032;
15.01.2018;556 808;0,030;
22.01.2018;604 682;0,032;
29.01.2018;619 677;0,033;
05.02.2018;616 487;0,032;
12.02.2018;574 794;0,030;
19.02.2018;617 954;0,031;
26.02.2018;608 283;0,030;
05.03.2018;661 607;0,036;
12.03.2018;555 773;0,028;
19.03.2018;545 545;0,029;
26.03.2018;551 797;0,030;
02.04.2018;513 707;0,029;
09.04.2018;476 551;0,027;
16.04.2018;472 815;0,026;
23.04.2018;483 337;0,027;
30.04.2018;487 813;0,031;
07.05.2018;468 527;0,028;
14.05.2018;465 691;0,026;
21.05.2018;474 809;0,028;
28.05.2018;512 517;0,030;
04.06.2018;510 274;0,030;
11.06.2018;515 123;0,033;
18.06.2018;493 377;0,030;
25.06.2018;486 191;0,030;
02.07.2018;499 287;0,031;
09.07.2018;508 756;0,033;
16.07.2018;519 774;0,033;
23.07.2018;519 165;0,033;
30.07.2018;524 859;0,033;
06.08.2018;519 094;0,032;
13.08.2018;556 426;0,034;
20.08.2018;500 334;0,032;
27.08.2018;546 615;0,034;
03.09.2018;534 545;0,030;
10.09.2018;544 736;0,030;
17.09.2018;579 118;0,030;
24.09.2018;617 353;0,030;
01.10.2018;611 181;0,029;
08.10.2018;617 150;0,029;
15.10.2018;610 902;0,029;
22.10.2018;606 552;0,029;
29.10.2018;630 898;0,031;
05.11.2018;592 671;0,030;
12.11.2018;583 930;0,029;
19.11.2018;593 567;0,030;
26.11.2018;596 848;0,030;
03.12.2018;606 113;0,029;
10.12.2018;573 425;0,028;
17.12.2018;566 318;0,028;
24.12.2018;569 886;0,031;
31.12.2018;653 251;0,041;
07.01.2019;668 384;0,035;
14.01.2019;641 817;0,031;
21.01.2019;656 347;0,031;
28.01.2019;652 327;0,031;
04.02.2019;649 235;0,030;
11.02.2019;645 464;0,030;
18.02.2019;638 376;0,031;
25.02.2019;622 757;0,030;
04.03.2019;600 724;0,031;
11.03.2019;588 733;0,028;
18.03.2019;600 688;0,030;
25.03.2019;592 980;0,030;
