Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «антибиотик», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;288 077;0,019;
08.01.2018;311 246;0,018;
15.01.2018;313 310;0,017;
22.01.2018;331 092;0,017;
29.01.2018;362 308;0,019;
05.02.2018;374 419;0,019;
12.02.2018;360 202;0,019;
19.02.2018;411 916;0,021;
26.02.2018;441 958;0,022;
05.03.2018;424 096;0,023;
12.03.2018;453 904;0,023;
19.03.2018;429 812;0,023;
26.03.2018;427 558;0,023;
02.04.2018;370 091;0,021;
09.04.2018;341 080;0,019;
16.04.2018;330 853;0,018;
23.04.2018;326 858;0,018;
30.04.2018;281 043;0,017;
07.05.2018;265 820;0,015;
14.05.2018;269 786;0,015;
21.05.2018;261 576;0,015;
28.05.2018;267 489;0,016;
04.06.2018;271 835;0,016;
11.06.2018;247 141;0,015;
18.06.2018;250 730;0,015;
25.06.2018;241 206;0,015;
02.07.2018;230 306;0,014;
09.07.2018;223 280;0,014;
16.07.2018;224 781;0,014;
23.07.2018;235 146;0,014;
30.07.2018;248 987;0,015;
06.08.2018;285 159;0,018;
13.08.2018;250 972;0,015;
20.08.2018;245 759;0,015;
27.08.2018;247 476;0,015;
03.09.2018;271 938;0,015;
10.09.2018;299 240;0,016;
17.09.2018;329 828;0,017;
24.09.2018;343 656;0,016;
01.10.2018;353 978;0,017;
08.10.2018;363 689;0,017;
15.10.2018;356 730;0,017;
22.10.2018;355 679;0,017;
29.10.2018;354 862;0,017;
05.11.2018;343 189;0,017;
12.11.2018;356 965;0,017;
19.11.2018;351 963;0,017;
26.11.2018;360 588;0,018;
03.12.2018;384 901;0,018;
10.12.2018;381 734;0,019;
17.12.2018;394 333;0,020;
24.12.2018;400 496;0,022;
31.12.2018;367 698;0,023;
07.01.2019;402 062;0,021;
14.01.2019;422 952;0,020;
21.01.2019;439 258;0,020;
28.01.2019;482 213;0,023;
04.02.2019;501 713;0,023;
11.02.2019;471 788;0,022;
18.02.2019;432 200;0,021;
25.02.2019;432 194;0,020;
04.03.2019;368 947;0,019;
11.03.2019;407 608;0,019;
18.03.2019;394 384;0,019;
25.03.2019;384 686;0,019;
01.04.2019;369 829;0,019;
08.04.2019;365 573;0,018;
15.04.2019;360 426;0,018;
22.04.2019;347 941;0,018;
29.04.2019;336 373;0,020;
06.05.2019;303 474;0,018;
