Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «взять ипотеку», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;22 740;0,00156;
08.01.2018;37 108;0,00216;
15.01.2018;34 516;0,00188;
22.01.2018;36 314;0,00193;
29.01.2018;41 953;0,00223;
05.02.2018;39 820;0,00208;
12.02.2018;28 276;0,00151;
19.02.2018;27 683;0,00142;
26.02.2018;32 651;0,00162;
05.03.2018;26 415;0,00144;
12.03.2018;32 946;0,00167;
19.03.2018;33 077;0,00177;
26.03.2018;27 959;0,00153;
02.04.2018;25 668;0,00145;
09.04.2018;24 623;0,00140;
16.04.2018;25 044;0,00141;
23.04.2018;24 569;0,00137;
30.04.2018;20 370;0,00129;
07.05.2018;22 693;0,00136;
14.05.2018;23 977;0,00137;
21.05.2018;23 892;0,00143;
28.05.2018;23 070;0,00138;
04.06.2018;26 784;0,00159;
11.06.2018;23 977;0,00154;
18.06.2018;25 654;0,00158;
25.06.2018;24 869;0,00156;
02.07.2018;25 207;0,00159;
09.07.2018;24 679;0,00162;
16.07.2018;27 074;0,00174;
23.07.2018;29 646;0,00188;
30.07.2018;27 326;0,00173;
06.08.2018;28 477;0,00180;
13.08.2018;28 570;0,00179;
20.08.2018;27 425;0,00176;
27.08.2018;26 402;0,00165;
03.09.2018;26 366;0,00152;
10.09.2018;26 901;0,00149;
17.09.2018;26 697;0,00139;
24.09.2018;28 957;0,00143;
01.10.2018;28 080;0,00137;
08.10.2018;28 905;0,00139;
15.10.2018;28 322;0,00136;
22.10.2018;29 104;0,00141;
29.10.2018;26 455;0,00131;
05.11.2018;26 305;0,00137;
12.11.2018;26 209;0,00131;
19.11.2018;25 123;0,00127;
26.11.2018;24 243;0,00123;
03.12.2018;24 421;0,00119;
10.12.2018;23 058;0,00116;
17.12.2018;21 196;0,00107;
24.12.2018;15 213;0,00084;
31.12.2018;17 298;0,00109;
07.01.2019;31 701;0,00166;
14.01.2019;32 826;0,00158;
21.01.2019;32 322;0,00152;
28.01.2019;33 040;0,00158;
04.02.2019;32 789;0,00154;
11.02.2019;29 531;0,00141;
18.02.2019;33 772;0,00165;
25.02.2019;35 073;0,00169;
04.03.2019;29 048;0,00151;
11.03.2019;33 424;0,00163;
18.03.2019;31 664;0,00158;
25.03.2019;30 692;0,00158;
01.04.2019;32 622;0,00167;
08.04.2019;27 249;0,00139;
15.04.2019;25 782;0,00132;
22.04.2019;21 798;0,00119;
29.04.2019;20 549;0,00122;
06.05.2019;20 289;0,00122;
13.05.2019;24 732;0,00131;
20.05.2019;23 969;0,00129;
27.05.2019;23 635;0,00134;
03.06.2019;23 311;0,00134;
10.06.2019;23 271;0,00138;
17.06.2019;25 499;0,00153;
24.06.2019;25 692;0,00152;
01.07.2019;25 823;0,00155;
08.07.2019;25 494;0,00155;
15.07.2019;25 788;0,00158;
22.07.2019;26 179;0,00161;
29.07.2019;26 725;0,00162;
05.08.2019;29 112;0,00174;
12.08.2019;28 006;0,00171;
19.08.2019;28 520;0,00177;
26.08.2019;26 066;0,00161;
02.09.2019;27 858;0,00164;
09.09.2019;27 000;0,00150;
16.09.2019;27 385;0,00144;
23.09.2019;27 987;0,00146;
30.09.2019;32 432;0,00166;
07.10.2019;29 449;0,00148;
14.10.2019;27 945;0,00139;
21.10.2019;30 614;0,00153;
28.10.2019;28 354;0,00146;
04.11.2019;31 552;0,00157;
11.11.2019;30 478;0,00148;
18.11.2019;31 197;0,00147;
25.11.2019;30 476;0,00139;
02.12.2019;30 733;0,00142;
09.12.2019;29 166;0,00135;
16.12.2019;29 510;0,00137;
23.12.2019;20 416;0,00102;
30.12.2019;19 943;0,00114;
06.01.2020;39 761;0,00197;
13.01.2020;50 000;0,00217;
20.01.2020;50 244;0,00207;
27.01.2020;44 509;0,00200;
03.02.2020;47 093;0,00213;
10.02.2020;48 889;0,00217;
17.02.2020;44 678;0,00200;
24.02.2020;41 656;0,00189;
02.03.2020;35 737;0,00166;
09.03.2020;42 793;0,00195;
16.03.2020;39 427;0,00177;
23.03.2020;32 338;0,00145;
30.03.2020;24 747;0,00105;
06.04.2020;22 569;0,00080;
13.04.2020;32 824;0,00115;
20.04.2020;52 058;0,00182;
27.04.2020;42 761;0,00165;
04.05.2020;38 571;0,00167;
11.05.2020;41 311;0,00158;
18.05.2020;45 307;0,00175;
25.05.2020;43 846;0,00192;
01.06.2020;42 213;0,00192;
08.06.2020;38 626;0,00191;
15.06.2020;44 069;0,00215;
22.06.2020;47 192;0,00236;
29.06.2020;42 624;0,00218;
06.07.2020;43 073;0,00228;
13.07.2020;43 132;0,00229;
20.07.2020;44 468;0,00236;
27.07.2020;45 811;0,00243;
03.08.2020;48 234;0,00258;
10.08.2020;43 051;0,00228;
17.08.2020;42 613;0,00225;
24.08.2020;41 335;0,00216;
31.08.2020;38 332;0,00192;
07.09.2020;39 995;0,00185;
14.09.2020;43 334;0,00193;
21.09.2020;45 168;0,00198;
28.09.2020;43 389;0,00189;
05.10.2020;42 623;0,00181;
12.10.2020;46 193;0,00189;
19.10.2020;50 643;0,00202;
26.10.2020;52 747;0,00211;
02.11.2020;53 319;0,00214;
09.11.2020;52 097;0,00195;
16.11.2020;48 848;0,00179;
23.11.2020;56 462;0,00204;
30.11.2020;49 493;0,00188;
07.12.2020;43 387;0,00167;
14.12.2020;38 776;0,00150;
21.12.2020;31 977;0,00130;
28.12.2020;25 474;0,00128;
04.01.2021;47 110;0,00220;
11.01.2021;53 747;0,00218;
18.01.2021;52 571;0,00212;
25.01.2021;53 283;0,00215;
01.02.2021;54 198;0,00222;
08.02.2021;50 818;0,00201;
15.02.2021;50 708;0,00199;
22.02.2021;45 728;0,00188;
01.03.2021;44 174;0,00183;
08.03.2021;47 857;0,00195;
15.03.2021;54 020;0,00216;
22.03.2021;50 345;0,00212;
29.03.2021;50 531;0,00206;
05.04.2021;50 684;0,00200;
12.04.2021;46 604;0,00187;
19.04.2021;51 376;0,00203;
26.04.2021;41 772;0,00176;
03.05.2021;42 343;0,00194;
10.05.2021;52 344;0,00221;
17.05.2021;58 015;0,00236;
24.05.2021;47 780;0,00202;
31.05.2021;56 195;0,00241;
07.06.2021;51 697;0,00220;
14.06.2021;41 667;0,00184;
21.06.2021;41 107;0,00181;
28.06.2021;51 629;0,00231;
05.07.2021;49 205;0,00226;
12.07.2021;53 276;0,00246;
19.07.2021;53 770;0,00246;
26.07.2021;54 904;0,00248;
02.08.2021;49 131;0,00221;
09.08.2021;47 823;0,00214;
16.08.2021;54 076;0,00240;
23.08.2021;50 112;0,00218;
30.08.2021;47 903;0,00203;
06.09.2021;43 253;0,00181;
13.09.2021;44 800;0,00178;
20.09.2021;48 861;0,00189;
27.09.2021;46 307;0,00184;
04.10.2021;47 014;0,00187;
11.10.2021;52 688;0,00201;
18.10.2021;45 854;0,00173;
25.10.2021;45 603;0,00178;
01.11.2021;47 141;0,00191;
08.11.2021;46 781;0,00171;
15.11.2021;47 532;0,00172;
22.11.2021;47 968;0,00174;
29.11.2021;46 384;0,00170;
06.12.2021;46 347;0,00168;
13.12.2021;44 374;0,00160;
20.12.2021;40 168;0,00147;
27.12.2021;26 937;0,00119;
03.01.2022;47 926;0,00205;
10.01.2022;61 927;0,00226;
17.01.2022;59 335;0,00209;
24.01.2022;58 958;0,00203;
31.01.2022;65 299;0,00221;
07.02.2022;67 841;0,00224;
14.02.2022;59 550;0,00202;
21.02.2022;54 116;0,00191;
28.02.2022;73 133;0,00254;
07.03.2022;45 815;0,00164;
14.03.2022;46 215;0,00158;
21.03.2022;48 431;0,00170;
28.03.2022;50 734;0,00178;
04.04.2022;40 330;0,00141;
11.04.2022;36 288;0,00129;
18.04.2022;35 183;0,00127;
25.04.2022;38 789;0,00146;
02.05.2022;35 333;0,00141;
09.05.2022;36 541;0,00135;
16.05.2022;38 550;0,00135;
23.05.2022;39 619;0,00145;
30.05.2022;41 103;0,00161;
06.06.2022;40 594;0,00164;
13.06.2022;47 648;0,00193;
20.06.2022;47 563;0,00187;
27.06.2022;41 583;0,00174;
04.07.2022;41 832;0,00179;
11.07.2022;43 167;0,00182;
18.07.2022;50 686;0,00214;
25.07.2022;45 833;0,00194;
01.08.2022;49 520;0,00210;
08.08.2022;51 165;0,00216;
15.08.2022;57 068;0,00235;
22.08.2022;49 254;0,00202;
29.08.2022;46 757;0,00185;
05.09.2022;43 617;0,00161;
12.09.2022;44 600;0,00163;
19.09.2022;37 497;0,00135;
26.09.2022;30 182;0,00111;
03.10.2022;34 545;0,00126;
10.10.2022;33 722;0,00122;
17.10.2022;38 418;0,00132;
24.10.2022;37 660;0,00133;
31.10.2022;40 098;0,00145;
07.11.2022;41 624;0,00145;
14.11.2022;37 907;0,00126;
21.11.2022;37 246;0,00124;
28.11.2022;39 303;0,00132;
05.12.2022;43 232;0,00145;
12.12.2022;42 048;0,00143;
19.12.2022;30 295;0,00104;
26.12.2022;20 651;0,00086;
02.01.2023;35 887;0,00147;
09.01.2023;47 720;0,00168;
16.01.2023;48 404;0,00166;
23.01.2023;51 216;0,00176;
30.01.2023;52 317;0,00181;
06.02.2023;48 140;0,00167;
13.02.2023;46 126;0,00160;
20.02.2023;41 909;0,00154;
27.02.2023;45 035;0,00156;
06.03.2023;39 916;0,00145;
13.03.2023;45 363;0,00159;
20.03.2023;44 950;0,00163;
27.03.2023;44 437;0,00162;
03.04.2023;42 289;0,00154;
10.04.2023;39 895;0,00148;
17.04.2023;40 238;0,00149;
24.04.2023;37 007;0,00140;
01.05.2023;34 881;0,00137;
08.05.2023;34 461;0,00137;
15.05.2023;35 300;0,00135;
22.05.2023;40 209;0,00160;
29.05.2023;51 416;0,00210;
05.06.2023;44 463;0,00185;
12.06.2023;41 661;0,00178;
19.06.2023;37 372;0,00156;
26.06.2023;38 507;0,00165;
03.07.2023;37 836;0,00168;
10.07.2023;40 871;0,00178;
17.07.2023;42 557;0,00187;
24.07.2023;52 015;0,00227;
31.07.2023;43 817;0,00196;
07.08.2023;47 571;0,00208;
14.08.2023;50 813;0,00226;
21.08.2023;48 841;0,00218;
28.08.2023;41 797;0,00187;
04.09.2023;42 777;0,00175;
11.09.2023;44 688;0,00177;
18.09.2023;44 450;0,00172;
25.09.2023;48 208;0,00184;
02.10.2023;48 057;0,00182;
09.10.2023;43 937;0,00164;
16.10.2023;42 034;0,00153;
23.10.2023;43 038;0,00160;
30.10.2023;46 456;0,00183;
06.11.2023;48 861;0,00183;
13.11.2023;46 508;0,00168;
