Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «взять кредит», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;83 835;0,0057;
08.01.2018;130 816;0,0076;
15.01.2018;140 112;0,0076;
22.01.2018;155 751;0,0082;
29.01.2018;173 473;0,0092;
05.02.2018;171 237;0,0089;
12.02.2018;158 980;0,0085;
19.02.2018;155 895;0,0080;
26.02.2018;189 128;0,0094;
05.03.2018;153 852;0,0084;
12.03.2018;196 133;0,0099;
19.03.2018;178 141;0,0095;
26.03.2018;167 600;0,0091;
02.04.2018;165 235;0,0093;
09.04.2018;157 865;0,0089;
16.04.2018;163 947;0,0092;
23.04.2018;157 452;0,0088;
30.04.2018;131 460;0,0083;
07.05.2018;139 944;0,0084;
14.05.2018;153 407;0,0088;
21.05.2018;149 794;0,0090;
28.05.2018;188 635;0,0113;
04.06.2018;136 505;0,0081;
11.06.2018;125 505;0,0080;
18.06.2018;138 375;0,0085;
25.06.2018;139 475;0,0087;
02.07.2018;146 672;0,0092;
09.07.2018;153 811;0,0101;
16.07.2018;162 811;0,0104;
23.07.2018;171 971;0,0109;
30.07.2018;164 171;0,0104;
06.08.2018;192 713;0,0122;
13.08.2018;196 634;0,0123;
20.08.2018;210 932;0,0136;
27.08.2018;178 902;0,0111;
03.09.2018;194 868;0,0112;
10.09.2018;200 467;0,0111;
17.09.2018;229 400;0,0120;
24.09.2018;227 257;0,0112;
01.10.2018;220 509;0,0107;
08.10.2018;214 788;0,0103;
15.10.2018;214 141;0,0103;
22.10.2018;222 260;0,0107;
29.10.2018;218 373;0,0108;
05.11.2018;189 434;0,0098;
12.11.2018;239 267;0,0120;
19.11.2018;227 859;0,0115;
26.11.2018;209 282;0,0106;
03.12.2018;252 971;0,0124;
10.12.2018;242 274;0,0122;
17.12.2018;279 310;0,0142;
24.12.2018;346 935;0,0193;
31.12.2018;333 476;0,0210;
07.01.2019;393 412;0,0206;
14.01.2019;456 006;0,0220;
21.01.2019;506 848;0,0239;
28.01.2019;470 778;0,0225;
04.02.2019;423 922;0,0200;
11.02.2019;327 892;0,0157;
18.02.2019;387 594;0,0190;
25.02.2019;339 140;0,0164;
04.03.2019;414 838;0,0216;
11.03.2019;530 885;0,0259;
18.03.2019;552 127;0,0276;
25.03.2019;559 179;0,0288;
01.04.2019;567 326;0,0292;
08.04.2019;542 883;0,0278;
15.04.2019;396 509;0,0203;
22.04.2019;368 132;0,0200;
29.04.2019;237 286;0,0141;
06.05.2019;191 687;0,0115;
13.05.2019;198 647;0,0105;
20.05.2019;212 993;0,0114;
27.05.2019;224 459;0,0127;
03.06.2019;166 961;0,0096;
10.06.2019;145 620;0,0086;
17.06.2019;150 936;0,0090;
24.06.2019;152 347;0,0090;
01.07.2019;154 515;0,0093;
08.07.2019;158 695;0,0097;
15.07.2019;158 301;0,0097;
22.07.2019;156 360;0,0096;
29.07.2019;155 686;0,0094;
05.08.2019;151 507;0,0090;
12.08.2019;148 177;0,0090;
19.08.2019;152 875;0,0095;
26.08.2019;149 424;0,0092;
02.09.2019;148 006;0,0087;
09.09.2019;151 024;0,0083;
16.09.2019;154 570;0,0081;
23.09.2019;161 852;0,0084;
30.09.2019;184 403;0,0094;
07.10.2019;185 130;0,0093;
14.10.2019;176 727;0,0088;
21.10.2019;182 582;0,0091;
28.10.2019;193 842;0,0100;
04.11.2019;191 467;0,0095;
11.11.2019;202 599;0,0098;
18.11.2019;209 148;0,0099;
25.11.2019;216 749;0,0099;
02.12.2019;220 132;0,0102;
09.12.2019;238 267;0,0110;
16.12.2019;244 773;0,0113;
23.12.2019;215 584;0,0108;
30.12.2019;149 702;0,0086;
06.01.2020;222 754;0,0110;
13.01.2020;230 926;0,0100;
20.01.2020;220 093;0,0090;
27.01.2020;214 387;0,0096;
03.02.2020;230 137;0,0104;
10.02.2020;217 195;0,0096;
17.02.2020;206 070;0,0092;
24.02.2020;211 114;0,0095;
02.03.2020;192 304;0,0089;
09.03.2020;216 972;0,0098;
16.03.2020;223 376;0,0100;
23.03.2020;198 205;0,0089;
30.03.2020;176 321;0,0075;
06.04.2020;178 914;0,0063;
13.04.2020;197 700;0,0069;
20.04.2020;218 861;0,0076;
27.04.2020;196 328;0,0075;
04.05.2020;171 924;0,0074;
11.05.2020;208 917;0,0080;
18.05.2020;227 760;0,0088;
25.05.2020;198 976;0,0087;
01.06.2020;197 675;0,0090;
08.06.2020;183 612;0,0090;
15.06.2020;206 097;0,0100;
22.06.2020;199 328;0,0099;
29.06.2020;182 500;0,0093;
06.07.2020;213 315;0,0113;
13.07.2020;154 972;0,0082;
20.07.2020;162 344;0,0086;
27.07.2020;155 591;0,0082;
03.08.2020;159 775;0,0085;
10.08.2020;174 407;0,0092;
17.08.2020;171 039;0,0090;
24.08.2020;164 933;0,0086;
31.08.2020;154 372;0,0077;
07.09.2020;158 163;0,0073;
14.09.2020;166 239;0,0074;
21.09.2020;187 678;0,0082;
28.09.2020;199 566;0,0087;
05.10.2020;198 991;0,0084;
12.10.2020;215 790;0,0088;
19.10.2020;221 028;0,0088;
26.10.2020;232 358;0,0093;
02.11.2020;230 425;0,0092;
09.11.2020;251 882;0,0094;
16.11.2020;250 711;0,0091;
23.11.2020;260 635;0,0094;
30.11.2020;245 652;0,0093;
07.12.2020;241 308;0,0093;
14.12.2020;235 536;0,0091;
21.12.2020;215 618;0,0087;
28.12.2020;129 826;0,0065;
04.01.2021;172 883;0,0081;
11.01.2021;232 112;0,0094;
18.01.2021;225 998;0,0091;
25.01.2021;233 107;0,0094;
01.02.2021;241 600;0,0099;
08.02.2021;244 031;0,0096;
15.02.2021;242 172;0,0095;
22.02.2021;238 776;0,0098;
01.03.2021;244 130;0,0101;
08.03.2021;258 943;0,0105;
15.03.2021;271 148;0,0108;
22.03.2021;283 413;0,0119;
29.03.2021;291 264;0,0118;
05.04.2021;309 727;0,0122;
12.04.2021;296 570;0,0119;
19.04.2021;315 813;0,0125;
26.04.2021;268 861;0,0113;
03.05.2021;240 399;0,0110;
10.05.2021;350 205;0,0147;
17.05.2021;336 908;0,0137;
24.05.2021;281 024;0,0119;
31.05.2021;327 373;0,0140;
07.06.2021;264 374;0,0112;
14.06.2021;210 800;0,0093;
21.06.2021;208 531;0,0092;
28.06.2021;228 691;0,0102;
05.07.2021;228 387;0,0105;
12.07.2021;233 379;0,0108;
19.07.2021;234 186;0,0107;
26.07.2021;240 962;0,0109;
02.08.2021;225 293;0,0101;
09.08.2021;222 801;0,0100;
16.08.2021;239 030;0,0106;
23.08.2021;241 225;0,0105;
30.08.2021;221 321;0,0093;
06.09.2021;204 057;0,0085;
13.09.2021;213 413;0,0085;
20.09.2021;219 679;0,0085;
27.09.2021;214 787;0,0085;
04.10.2021;228 392;0,0091;
11.10.2021;217 532;0,0083;
18.10.2021;218 062;0,0082;
25.10.2021;221 599;0,0086;
01.11.2021;214 127;0,0086;
08.11.2021;232 198;0,0085;
15.11.2021;246 570;0,0089;
22.11.2021;239 422;0,0087;
29.11.2021;235 834;0,0086;
06.12.2021;234 800;0,0085;
13.12.2021;238 927;0,0086;
20.12.2021;219 506;0,0080;
27.12.2021;139 381;0,0061;
03.01.2022;162 148;0,0069;
10.01.2022;210 786;0,0077;
17.01.2022;230 324;0,0081;
24.01.2022;235 406;0,0081;
31.01.2022;256 259;0,0086;
07.02.2022;257 076;0,0085;
14.02.2022;253 604;0,0086;
21.02.2022;238 045;0,0084;
28.02.2022;288 743;0,0100;
07.03.2022;236 563;0,0085;
14.03.2022;249 974;0,0085;
21.03.2022;247 315;0,0087;
28.03.2022;263 542;0,0092;
04.04.2022;260 335;0,0091;
11.04.2022;264 369;0,0094;
18.04.2022;282 363;0,0102;
25.04.2022;277 905;0,0104;
02.05.2022;257 086;0,0102;
09.05.2022;271 078;0,0100;
16.05.2022;294 060;0,0103;
23.05.2022;290 858;0,0106;
30.05.2022;303 270;0,0119;
06.06.2022;231 029;0,0093;
13.06.2022;246 965;0,0100;
20.06.2022;220 726;0,0086;
27.06.2022;209 456;0,0087;
04.07.2022;199 309;0,0085;
11.07.2022;201 719;0,0085;
18.07.2022;209 169;0,0088;
25.07.2022;194 591;0,0082;
01.08.2022;229 966;0,0097;
08.08.2022;222 276;0,0093;
15.08.2022;196 480;0,0081;
22.08.2022;194 979;0,0079;
29.08.2022;185 068;0,0073;
05.09.2022;186 841;0,0069;
12.09.2022;177 582;0,0064;
19.09.2022;182 356;0,0065;
26.09.2022;165 120;0,0060;
03.10.2022;165 248;0,0060;
10.10.2022;166 459;0,0060;
17.10.2022;213 856;0,0073;
24.10.2022;166 708;0,0059;
31.10.2022;170 859;0,0061;
07.11.2022;173 605;0,0060;
14.11.2022;181 085;0,0060;
21.11.2022;162 055;0,0054;
28.11.2022;167 468;0,0056;
05.12.2022;187 883;0,0063;
12.12.2022;185 417;0,0063;
19.12.2022;154 570;0,0053;
26.12.2022;100 132;0,0041;
02.01.2023;105 004;0,0043;
09.01.2023;153 767;0,0054;
16.01.2023;162 593;0,0056;
23.01.2023;172 123;0,0059;
30.01.2023;173 796;0,0060;
06.02.2023;174 719;0,0060;
13.02.2023;175 815;0,0061;
20.02.2023;158 315;0,0058;
27.02.2023;180 026;0,0062;
06.03.2023;162 586;0,0059;
13.03.2023;185 625;0,0065;
20.03.2023;182 375;0,0066;
27.03.2023;183 864;0,0067;
03.04.2023;181 640;0,0066;
10.04.2023;176 024;0,0065;
17.04.2023;188 342;0,0070;
24.04.2023;186 442;0,0070;
01.05.2023;175 457;0,0069;
08.05.2023;171 808;0,0068;
15.05.2023;173 949;0,0066;
22.05.2023;158 078;0,0063;
29.05.2023;177 225;0,0072;
05.06.2023;124 770;0,0052;
12.06.2023;126 651;0,0054;
19.06.2023;125 215;0,0052;
26.06.2023;123 668;0,0053;
03.07.2023;115 236;0,0051;
10.07.2023;121 472;0,0053;
17.07.2023;124 755;0,0055;
24.07.2023;133 185;0,0058;
31.07.2023;122 664;0,0054;
07.08.2023;128 147;0,0056;
14.08.2023;144 441;0,0064;
21.08.2023;143 608;0,0064;
28.08.2023;122 609;0,0055;
04.09.2023;132 339;0,0054;
11.09.2023;138 735;0,0055;
18.09.2023;150 908;0,0058;
25.09.2023;158 807;0,0060;
02.10.2023;147 692;0,0056;
09.10.2023;144 843;0,0054;
16.10.2023;145 529;0,0053;
23.10.2023;143 724;0,0053;
30.10.2023;177 905;0,0070;
06.11.2023;215 464;0,0081;
13.11.2023;220 250;0,0079;
20.11.2023;172 237;0,0061;
27.11.2023;148 475;0,0052;
04.12.2023;146 512;0,0051;
