Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «задержка», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;152 036;0,0104;
8 января 2018 – 14 января 2018;199 455;0,0116;
15 января 2018 – 21 января 2018;224 122;0,0122;
22 января 2018 – 28 января 2018;220 557;0,0117;
29 января 2018 – 4 февраля 2018;265 142;0,0141;
5 февраля 2018 – 11 февраля 2018;254 391;0,0132;
12 февраля 2018 – 18 февраля 2018;207 323;0,0110;
19 февраля 2018 – 25 февраля 2018;197 969;0,0101;
26 февраля 2018 – 4 марта 2018;233 148;0,0116;
5 марта 2018 – 11 марта 2018;207 618;0,0113;
12 марта 2018 – 18 марта 2018;242 028;0,0123;
19 марта 2018 – 25 марта 2018;219 834;0,0117;
26 марта 2018 – 1 апреля 2018;207 868;0,0113;
2 апреля 2018 – 8 апреля 2018;193 980;0,0110;
9 апреля 2018 – 15 апреля 2018;187 441;0,0106;
16 апреля 2018 – 22 апреля 2018;191 945;0,0108;
23 апреля 2018 – 29 апреля 2018;192 643;0,0107;
30 апреля 2018 – 6 мая 2018;175 967;0,0112;
7 мая 2018 – 13 мая 2018;177 608;0,0106;
14 мая 2018 – 20 мая 2018;193 252;0,0111;
21 мая 2018 – 27 мая 2018;188 565;0,0113;
28 мая 2018 – 3 июня 2018;191 446;0,0114;
4 июня 2018 – 10 июня 2018;192 386;0,0114;
11 июня 2018 – 17 июня 2018;174 870;0,0112;
18 июня 2018 – 24 июня 2018;181 999;0,0112;
25 июня 2018 – 1 июля 2018;187 940;0,0118;
2 июля 2018 – 8 июля 2018;187 793;0,0118;
9 июля 2018 – 15 июля 2018;185 319;0,0121;
16 июля 2018 – 22 июля 2018;187 774;0,0120;
23 июля 2018 – 29 июля 2018;190 430;0,0121;
30 июля 2018 – 5 августа 2018;187 731;0,0119;
6 августа 2018 – 12 августа 2018;183 276;0,0116;
13 августа 2018 – 19 августа 2018;182 129;0,0114;
20 августа 2018 – 26 августа 2018;177 315;0,0114;
27 августа 2018 – 2 сентября 2018;173 501;0,0108;
3 сентября 2018 – 9 сентября 2018;182 800;0,0105;
10 сентября 2018 – 16 сентября 2018;184 248;0,0102;
17 сентября 2018 – 23 сентября 2018;191 896;0,0100;
24 сентября 2018 – 30 сентября 2018;201 165;0,0099;
1 октября 2018 – 7 октября 2018;206 055;0,0100;
8 октября 2018 – 14 октября 2018;216 174;0,0104;
15 октября 2018 – 21 октября 2018;216 753;0,0104;
22 октября 2018 – 28 октября 2018;225 519;0,0109;
29 октября 2018 – 4 ноября 2018;211 594;0,0105;
5 ноября 2018 – 11 ноября 2018;209 687;0,0109;
12 ноября 2018 – 18 ноября 2018;210 194;0,0105;
19 ноября 2018 – 25 ноября 2018;208 235;0,0105;
26 ноября 2018 – 2 декабря 2018;219 824;0,0112;
3 декабря 2018 – 9 декабря 2018;231 352;0,0113;
10 декабря 2018 – 16 декабря 2018;223 649;0,0112;
17 декабря 2018 – 23 декабря 2018;216 154;0,0110;
24 декабря 2018 – 30 декабря 2018;194 390;0,0108;
31 декабря 2018 – 6 января 2019;165 646;0,0104;
7 января 2019 – 13 января 2019;225 108;0,0118;
14 января 2019 – 20 января 2019;251 847;0,0121;
21 января 2019 – 27 января 2019;290 094;0,0137;
28 января 2019 – 3 февраля 2019;269 349;0,0129;
4 февраля 2019 – 10 февраля 2019;257 588;0,0121;
11 февраля 2019 – 17 февраля 2019;230 801;0,0110;
18 февраля 2019 – 24 февраля 2019;226 300;0,0111;
25 февраля 2019 – 3 марта 2019;245 185;0,0118;
4 марта 2019 – 10 марта 2019;212 740;0,0111;
11 марта 2019 – 17 марта 2019;249 471;0,0121;
18 марта 2019 – 24 марта 2019;243 243;0,0121;
25 марта 2019 – 31 марта 2019;236 616;0,0122;
1 апреля 2019 – 7 апреля 2019;221 210;0,0113;
8 апреля 2019 – 14 апреля 2019;217 685;0,0111;
15 апреля 2019 – 21 апреля 2019;213 438;0,0109;
22 апреля 2019 – 28 апреля 2019;197 598;0,0107;
29 апреля 2019 – 5 мая 2019;186 967;0,0111;
6 мая 2019 – 12 мая 2019;190 956;0,0115;
13 мая 2019 – 19 мая 2019;217 321;0,0115;
20 мая 2019 – 26 мая 2019;219 220;0,0118;
27 мая 2019 – 2 июня 2019;215 867;0,0122;
3 июня 2019 – 9 июня 2019;209 519;0,0121;
10 июня 2019 – 16 июня 2019;207 693;0,0123;
17 июня 2019 – 23 июня 2019;207 105;0,0124;
24 июня 2019 – 30 июня 2019;229 703;0,0136;
1 июля 2019 – 7 июля 2019;214 931;0,0129;
8 июля 2019 – 14 июля 2019;211 231;0,0129;
15 июля 2019 – 21 июля 2019;224 152;0,0137;
22 июля 2019 – 28 июля 2019;236 754;0,0145;
29 июля 2019 – 4 августа 2019;217 584;0,0131;
5 августа 2019 – 11 августа 2019;213 886;0,0128;
12 августа 2019 – 18 августа 2019;204 608;0,0125;
19 августа 2019 – 25 августа 2019;206 925;0,0128;
26 августа 2019 – 1 сентября 2019;208 456;0,0129;
2 сентября 2019 – 8 сентября 2019;200 624;0,0118;
9 сентября 2019 – 15 сентября 2019;204 463;0,0113;
16 сентября 2019 – 22 сентября 2019;219 039;0,0115;
23 сентября 2019 – 29 сентября 2019;212 940;0,0111;
30 сентября 2019 – 6 октября 2019;235 291;0,0121;
7 октября 2019 – 13 октября 2019;238 395;0,0120;
14 октября 2019 – 20 октября 2019;235 641;0,0117;
21 октября 2019 – 27 октября 2019;235 587;0,0118;
28 октября 2019 – 3 ноября 2019;248 440;0,0128;
4 ноября 2019 – 10 ноября 2019;240 779;0,0120;
11 ноября 2019 – 17 ноября 2019;242 284;0,0118;
18 ноября 2019 – 24 ноября 2019;248 777;0,0117;
25 ноября 2019 – 1 декабря 2019;259 258;0,0118;
2 декабря 2019 – 8 декабря 2019;262 207;0,0121;
9 декабря 2019 – 15 декабря 2019;261 384;0,0121;
16 декабря 2019 – 22 декабря 2019;253 711;0,0117;
23 декабря 2019 – 29 декабря 2019;233 353;0,0117;
30 декабря 2019 – 5 января 2020;181 051;0,0104;
6 января 2020 – 12 января 2020;247 200;0,0122;
13 января 2020 – 19 января 2020;281 838;0,0122;
20 января 2020 – 26 января 2020;308 032;0,0127;
27 января 2020 – 2 февраля 2020;283 387;0,0127;
3 февраля 2020 – 9 февраля 2020;268 836;0,0121;
10 февраля 2020 – 16 февраля 2020;259 451;0,0115;
17 февраля 2020 – 23 февраля 2020;254 499;0,0114;
24 февраля 2020 – 1 марта 2020;255 525;0,0116;
2 марта 2020 – 8 марта 2020;245 005;0,0114;
9 марта 2020 – 15 марта 2020;265 871;0,0121;
16 марта 2020 – 22 марта 2020;261 991;0,0117;
23 марта 2020 – 29 марта 2020;266 338;0,0120;
30 марта 2020 – 5 апреля 2020;260 238;0,0111;
6 апреля 2020 – 12 апреля 2020;290 674;0,0103;
13 апреля 2020 – 19 апреля 2020;292 189;0,0102;
20 апреля 2020 – 26 апреля 2020;299 281;0,0104;
27 апреля 2020 – 3 мая 2020;267 582;0,0103;
4 мая 2020 – 10 мая 2020;251 205;0,0109;
11 мая 2020 – 17 мая 2020;281 084;0,0107;
18 мая 2020 – 24 мая 2020;292 786;0,0113;
25 мая 2020 – 31 мая 2020;282 496;0,0123;
1 июня 2020 – 7 июня 2020;269 771;0,0123;
8 июня 2020 – 14 июня 2020;241 630;0,0119;
15 июня 2020 – 21 июня 2020;249 790;0,0122;
22 июня 2020 – 28 июня 2020;243 328;0,0121;
29 июня 2020 – 5 июля 2020;240 221;0,0123;
6 июля 2020 – 12 июля 2020;233 251;0,0123;
13 июля 2020 – 19 июля 2020;231 931;0,0123;
20 июля 2020 – 26 июля 2020;233 972;0,0124;
27 июля 2020 – 2 августа 2020;232 483;0,0123;
3 августа 2020 – 9 августа 2020;229 278;0,0122;
10 августа 2020 – 16 августа 2020;225 687;0,0119;
17 августа 2020 – 23 августа 2020;226 319;0,0119;
24 августа 2020 – 30 августа 2020;222 911;0,0116;
31 августа 2020 – 6 сентября 2020;216 409;0,0108;
7 сентября 2020 – 13 сентября 2020;233 488;0,0108;
14 сентября 2020 – 20 сентября 2020;237 182;0,0105;
21 сентября 2020 – 27 сентября 2020;247 508;0,0108;
28 сентября 2020 – 4 октября 2020;251 581;0,0109;
5 октября 2020 – 11 октября 2020;262 758;0,0111;
12 октября 2020 – 18 октября 2020;273 474;0,0112;
19 октября 2020 – 25 октября 2020;278 443;0,0111;
26 октября 2020 – 1 ноября 2020;293 004;0,0117;
2 ноября 2020 – 8 ноября 2020;289 393;0,0116;
9 ноября 2020 – 15 ноября 2020;300 513;0,0112;
16 ноября 2020 – 22 ноября 2020;309 989;0,0113;
23 ноября 2020 – 29 ноября 2020;313 793;0,0113;
30 ноября 2020 – 6 декабря 2020;314 835;0,0119;
7 декабря 2020 – 13 декабря 2020;307 133;0,0118;
14 декабря 2020 – 20 декабря 2020;310 938;0,0120;
21 декабря 2020 – 27 декабря 2020;295 057;0,0120;
28 декабря 2020 – 3 января 2021;231 789;0,0117;
4 января 2021 – 10 января 2021;274 876;0,0128;
11 января 2021 – 17 января 2021;336 480;0,0136;
18 января 2021 – 24 января 2021;320 957;0,0129;
25 января 2021 – 31 января 2021;331 069;0,0133;
1 февраля 2021 – 7 февраля 2021;308 273;0,0126;
8 февраля 2021 – 14 февраля 2021;314 854;0,0125;
15 февраля 2021 – 21 февраля 2021;303 810;0,0119;
22 февраля 2021 – 28 февраля 2021;284 804;0,0117;
1 марта 2021 – 7 марта 2021;286 189;0,0118;
8 марта 2021 – 14 марта 2021;303 843;0,0123;
15 марта 2021 – 21 марта 2021;326 138;0,0130;
22 марта 2021 – 28 марта 2021;313 639;0,0132;
29 марта 2021 – 4 апреля 2021;311 329;0,0126;
5 апреля 2021 – 11 апреля 2021;305 688;0,0120;
12 апреля 2021 – 18 апреля 2021;290 762;0,0117;
19 апреля 2021 – 25 апреля 2021;287 519;0,0113;
26 апреля 2021 – 2 мая 2021;272 845;0,0115;
3 мая 2021 – 9 мая 2021;257 117;0,0118;
10 мая 2021 – 16 мая 2021;281 258;0,0118;
17 мая 2021 – 23 мая 2021;288 440;0,0117;
24 мая 2021 – 30 мая 2021;283 857;0,0120;
31 мая 2021 – 6 июня 2021;287 535;0,0123;
7 июня 2021 – 13 июня 2021;290 222;0,0123;
14 июня 2021 – 20 июня 2021;291 558;0,0129;
21 июня 2021 – 27 июня 2021;302 356;0,0133;
28 июня 2021 – 4 июля 2021;300 069;0,0134;
5 июля 2021 – 11 июля 2021;288 588;0,0133;
12 июля 2021 – 18 июля 2021;294 269;0,0136;
19 июля 2021 – 25 июля 2021;290 139;0,0132;
26 июля 2021 – 1 августа 2021;295 095;0,0133;
2 августа 2021 – 8 августа 2021;290 841;0,0130;
9 августа 2021 – 15 августа 2021;301 623;0,0135;
16 августа 2021 – 22 августа 2021;297 043;0,0132;
23 августа 2021 – 29 августа 2021;287 341;0,0125;
30 августа 2021 – 5 сентября 2021;274 271;0,0116;
6 сентября 2021 – 12 сентября 2021;260 108;0,0109;
13 сентября 2021 – 19 сентября 2021;269 629;0,0107;
20 сентября 2021 – 26 сентября 2021;274 678;0,0106;
27 сентября 2021 – 3 октября 2021;277 874;0,0110;
4 октября 2021 – 10 октября 2021;300 105;0,0119;
