Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарегистрировать брак», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;2 503;0,00017;
8 января 2018 – 14 января 2018;4 453;0,00025;
15 января 2018 – 21 января 2018;4 543;0,00024;
22 января 2018 – 28 января 2018;9 345;0,00049;
29 января 2018 – 4 февраля 2018;6 911;0,00036;
5 февраля 2018 – 11 февраля 2018;5 078;0,00026;
12 февраля 2018 – 18 февраля 2018;5 172;0,00027;
19 февраля 2018 – 25 февраля 2018;4 593;0,00023;
26 февраля 2018 – 4 марта 2018;5 144;0,00025;
5 марта 2018 – 11 марта 2018;3 914;0,00021;
12 марта 2018 – 18 марта 2018;5 314;0,00027;
19 марта 2018 – 25 марта 2018;5 668;0,00030;
26 марта 2018 – 1 апреля 2018;4 522;0,00024;
2 апреля 2018 – 8 апреля 2018;4 610;0,00026;
9 апреля 2018 – 15 апреля 2018;4 579;0,00026;
16 апреля 2018 – 22 апреля 2018;4 475;0,00025;
23 апреля 2018 – 29 апреля 2018;4 652;0,00026;
30 апреля 2018 – 6 мая 2018;3 778;0,00024;
7 мая 2018 – 13 мая 2018;4 238;0,00025;
14 мая 2018 – 20 мая 2018;4 737;0,00027;
21 мая 2018 – 27 мая 2018;4 252;0,00025;
28 мая 2018 – 3 июня 2018;4 271;0,00025;
4 июня 2018 – 10 июня 2018;5 170;0,00030;
11 июня 2018 – 17 июня 2018;3 889;0,00024;
18 июня 2018 – 24 июня 2018;3 988;0,00024;
25 июня 2018 – 1 июля 2018;3 717;0,00023;
2 июля 2018 – 8 июля 2018;3 566;0,00022;
9 июля 2018 – 15 июля 2018;3 553;0,00023;
16 июля 2018 – 22 июля 2018;3 486;0,00022;
23 июля 2018 – 29 июля 2018;3 532;0,00022;
30 июля 2018 – 5 августа 2018;3 651;0,00023;
6 августа 2018 – 12 августа 2018;3 678;0,00023;
13 августа 2018 – 19 августа 2018;3 480;0,00021;
20 августа 2018 – 26 августа 2018;3 421;0,00022;
27 августа 2018 – 2 сентября 2018;3 159;0,00019;
3 сентября 2018 – 9 сентября 2018;3 551;0,00020;
10 сентября 2018 – 16 сентября 2018;3 876;0,00021;
17 сентября 2018 – 23 сентября 2018;4 434;0,00023;
24 сентября 2018 – 30 сентября 2018;4 971;0,00024;
1 октября 2018 – 7 октября 2018;5 064;0,00024;
8 октября 2018 – 14 октября 2018;5 445;0,00026;
15 октября 2018 – 21 октября 2018;5 354;0,00025;
22 октября 2018 – 28 октября 2018;5 545;0,00026;
29 октября 2018 – 4 ноября 2018;4 865;0,00024;
5 ноября 2018 – 11 ноября 2018;5 160;0,00026;
12 ноября 2018 – 18 ноября 2018;5 341;0,00026;
19 ноября 2018 – 25 ноября 2018;5 052;0,00025;
26 ноября 2018 – 2 декабря 2018;5 204;0,00026;
3 декабря 2018 – 9 декабря 2018;5 778;0,00028;
10 декабря 2018 – 16 декабря 2018;5 521;0,00027;
17 декабря 2018 – 23 декабря 2018;4 881;0,00024;
24 декабря 2018 – 30 декабря 2018;3 271;0,00018;
31 декабря 2018 – 6 января 2019;2 535;0,00015;
7 января 2019 – 13 января 2019;4 786;0,00025;
14 января 2019 – 20 января 2019;5 553;0,00026;
21 января 2019 – 27 января 2019;5 956;0,00028;
28 января 2019 – 3 февраля 2019;5 344;0,00025;
4 февраля 2019 – 10 февраля 2019;5 447;0,00025;
11 февраля 2019 – 17 февраля 2019;5 477;0,00026;
18 февраля 2019 – 24 февраля 2019;5 529;0,00027;
25 февраля 2019 – 3 марта 2019;6 342;0,00030;
4 марта 2019 – 10 марта 2019;4 683;0,00024;
11 марта 2019 – 17 марта 2019;6 107;0,00029;
18 марта 2019 – 24 марта 2019;6 260;0,00031;
25 марта 2019 – 31 марта 2019;5 616;0,00028;
1 апреля 2019 – 7 апреля 2019;6 350;0,00032;
8 апреля 2019 – 14 апреля 2019;6 224;0,00031;
15 апреля 2019 – 21 апреля 2019;5 566;0,00028;
22 апреля 2019 – 28 апреля 2019;4 924;0,00026;
29 апреля 2019 – 5 мая 2019;4 009;0,00023;
6 мая 2019 – 12 мая 2019;4 445;0,00026;
13 мая 2019 – 19 мая 2019;5 660;0,00030;
20 мая 2019 – 26 мая 2019;5 544;0,00029;
27 мая 2019 – 2 июня 2019;4 843;0,00027;
3 июня 2019 – 9 июня 2019;4 796;0,00027;
10 июня 2019 – 16 июня 2019;4 212;0,00024;
17 июня 2019 – 23 июня 2019;4 183;0,00025;
24 июня 2019 – 30 июня 2019;4 040;0,00023;
1 июля 2019 – 7 июля 2019;3 917;0,00023;
8 июля 2019 – 14 июля 2019;3 811;0,00023;
15 июля 2019 – 21 июля 2019;3 556;0,00021;
22 июля 2019 – 28 июля 2019;3 877;0,00023;
29 июля 2019 – 4 августа 2019;3 580;0,00021;
5 августа 2019 – 11 августа 2019;3 519;0,00021;
12 августа 2019 – 18 августа 2019;3 435;0,00021;
19 августа 2019 – 25 августа 2019;3 518;0,00021;
26 августа 2019 – 1 сентября 2019;3 432;0,00021;
2 сентября 2019 – 8 сентября 2019;3 728;0,00021;
9 сентября 2019 – 15 сентября 2019;4 034;0,00022;
16 сентября 2019 – 22 сентября 2019;4 374;0,00023;
23 сентября 2019 – 29 сентября 2019;4 497;0,00023;
30 сентября 2019 – 6 октября 2019;4 957;0,00025;
7 октября 2019 – 13 октября 2019;5 277;0,00026;
14 октября 2019 – 20 октября 2019;5 524;0,00027;
21 октября 2019 – 27 октября 2019;5 471;0,00027;
28 октября 2019 – 3 ноября 2019;4 815;0,00024;
4 ноября 2019 – 10 ноября 2019;5 258;0,00026;
11 ноября 2019 – 17 ноября 2019;5 517;0,00026;
18 ноября 2019 – 24 ноября 2019;5 446;0,00025;
25 ноября 2019 – 1 декабря 2019;5 412;0,00024;
2 декабря 2019 – 8 декабря 2019;5 829;0,00027;
9 декабря 2019 – 15 декабря 2019;6 365;0,00029;
16 декабря 2019 – 22 декабря 2019;6 473;0,00030;
23 декабря 2019 – 29 декабря 2019;4 183;0,00021;
30 декабря 2019 – 5 января 2020;3 120;0,00017;
6 января 2020 – 12 января 2020;5 251;0,00026;
13 января 2020 – 19 января 2020;6 858;0,00029;
20 января 2020 – 26 января 2020;7 054;0,00029;
27 января 2020 – 2 февраля 2020;6 037;0,00027;
3 февраля 2020 – 9 февраля 2020;6 225;0,00028;
10 февраля 2020 – 16 февраля 2020;6 248;0,00027;
17 февраля 2020 – 23 февраля 2020;6 583;0,00029;
24 февраля 2020 – 1 марта 2020;6 945;0,00031;
2 марта 2020 – 8 марта 2020;5 588;0,00026;
9 марта 2020 – 15 марта 2020;6 625;0,00030;
16 марта 2020 – 22 марта 2020;9 081;0,00040;
23 марта 2020 – 29 марта 2020;10 699;0,00048;
30 марта 2020 – 5 апреля 2020;8 836;0,00037;
6 апреля 2020 – 12 апреля 2020;20 018;0,00071;
13 апреля 2020 – 19 апреля 2020;20 201;0,00071;
20 апреля 2020 – 26 апреля 2020;18 692;0,00065;
27 апреля 2020 – 3 мая 2020;14 605;0,00056;
4 мая 2020 – 10 мая 2020;9 395;0,00040;
11 мая 2020 – 17 мая 2020;15 586;0,00059;
18 мая 2020 – 24 мая 2020;14 744;0,00056;
25 мая 2020 – 31 мая 2020;11 686;0,00051;
1 июня 2020 – 7 июня 2020;9 479;0,00043;
8 июня 2020 – 14 июня 2020;8 373;0,00041;
15 июня 2020 – 21 июня 2020;8 427;0,00041;
22 июня 2020 – 28 июня 2020;7 817;0,00039;
29 июня 2020 – 5 июля 2020;6 156;0,00031;
6 июля 2020 – 12 июля 2020;5 279;0,00028;
13 июля 2020 – 19 июля 2020;4 840;0,00025;
20 июля 2020 – 26 июля 2020;5 050;0,00026;
27 июля 2020 – 2 августа 2020;4 832;0,00025;
3 августа 2020 – 9 августа 2020;5 103;0,00027;
10 августа 2020 – 16 августа 2020;4 638;0,00024;
17 августа 2020 – 23 августа 2020;4 303;0,00022;
24 августа 2020 – 30 августа 2020;4 386;0,00022;
31 августа 2020 – 6 сентября 2020;4 493;0,00022;
7 сентября 2020 – 13 сентября 2020;5 851;0,00027;
14 сентября 2020 – 20 сентября 2020;6 254;0,00027;
21 сентября 2020 – 27 сентября 2020;7 690;0,00033;
28 сентября 2020 – 4 октября 2020;8 163;0,00035;
5 октября 2020 – 11 октября 2020;8 568;0,00036;
12 октября 2020 – 18 октября 2020;9 169;0,00037;
19 октября 2020 – 25 октября 2020;9 299;0,00037;
26 октября 2020 – 1 ноября 2020;8 876;0,00035;
2 ноября 2020 – 8 ноября 2020;8 905;0,00035;
9 ноября 2020 – 15 ноября 2020;10 535;0,00039;
16 ноября 2020 – 22 ноября 2020;11 417;0,00041;
23 ноября 2020 – 29 ноября 2020;11 983;0,00043;
30 ноября 2020 – 6 декабря 2020;10 628;0,00040;
7 декабря 2020 – 13 декабря 2020;11 267;0,00043;
14 декабря 2020 – 20 декабря 2020;12 097;0,00047;
21 декабря 2020 – 27 декабря 2020;9 232;0,00037;
28 декабря 2020 – 3 января 2021;4 141;0,00020;
