Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «инстаграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;405 708;0,0278;
08.01.2018;416 922;0,0243;
15.01.2018;406 793;0,0222;
22.01.2018;422 882;0,0224;
29.01.2018;427 217;0,0228;
05.02.2018;426 236;0,0222;
12.02.2018;414 455;0,0221;
19.02.2018;442 989;0,0228;
26.02.2018;463 844;0,0230;
05.03.2018;460 176;0,0251;
12.03.2018;452 708;0,0230;
19.03.2018;433 826;0,0232;
26.03.2018;430 982;0,0235;
02.04.2018;412 564;0,0234;
09.04.2018;397 668;0,0226;
16.04.2018;414 736;0,0233;
23.04.2018;428 395;0,0239;
30.04.2018;411 395;0,0262;
07.05.2018;414 111;0,0248;
14.05.2018;412 800;0,0237;
21.05.2018;434 706;0,0261;
28.05.2018;446 526;0,0267;
04.06.2018;472 115;0,0281;
11.06.2018;420 456;0,0270;
18.06.2018;437 525;0,0269;
25.06.2018;438 621;0,0276;
02.07.2018;460 568;0,0290;
09.07.2018;469 258;0,0308;
16.07.2018;483 972;0,0311;
23.07.2018;484 604;0,0308;
30.07.2018;496 453;0,0315;
06.08.2018;494 974;0,0313;
13.08.2018;492 978;0,0309;
20.08.2018;493 120;0,0318;
27.08.2018;490 092;0,0306;
03.09.2018;489 748;0,0282;
10.09.2018;502 482;0,0279;
17.09.2018;525 025;0,0274;
24.09.2018;548 014;0,0270;
01.10.2018;571 907;0,0279;
08.10.2018;587 855;0,0284;
15.10.2018;623 327;0,0301;
22.10.2018;585 092;0,0284;
29.10.2018;602 442;0,0299;
05.11.2018;582 404;0,0303;
12.11.2018;575 703;0,0289;
19.11.2018;562 860;0,0284;
26.11.2018;551 823;0,0281;
03.12.2018;572 266;0,0280;
10.12.2018;557 232;0,0280;
17.12.2018;546 260;0,0278;
24.12.2018;531 978;0,0296;
31.12.2018;559 420;0,0353;
07.01.2019;669 120;0,0350;
14.01.2019;661 067;0,0319;
21.01.2019;664 762;0,0314;
28.01.2019;744 702;0,0356;
04.02.2019;684 555;0,0323;
11.02.2019;664 687;0,0318;
18.02.2019;634 345;0,0311;
25.02.2019;648 102;0,0313;
04.03.2019;629 096;0,0328;
11.03.2019;757 894;0,0370;
18.03.2019;674 257;0,0337;
25.03.2019;675 829;0,0348;
01.04.2019;601 866;0,0309;
08.04.2019;586 676;0,0301;
15.04.2019;599 821;0,0307;
22.04.2019;556 257;0,0303;
29.04.2019;566 480;0,0337;
06.05.2019;560 138;0,0338;
13.05.2019;582 941;0,0310;
20.05.2019;566 115;0,0304;
27.05.2019;576 007;0,0327;
03.06.2019;582 858;0,0337;
10.06.2019;579 143;0,0343;
17.06.2019;566 775;0,0341;
24.06.2019;594 733;0,0352;
01.07.2019;629 693;0,0379;
08.07.2019;599 354;0,0366;
