Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ковид», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;15;0,00000103;
8 января 2018 – 14 января 2018;14;0,00000081;
15 января 2018 – 21 января 2018;38;0,00000207;
22 января 2018 – 28 января 2018;12;0,00000063;
29 января 2018 – 4 февраля 2018;36;0,00000192;
5 февраля 2018 – 11 февраля 2018;25;0,00000130;
12 февраля 2018 – 18 февраля 2018;18;0,00000096;
19 февраля 2018 – 25 февраля 2018;27;0,00000139;
26 февраля 2018 – 4 марта 2018;21;0,00000104;
5 марта 2018 – 11 марта 2018;22;0,00000120;
12 марта 2018 – 18 марта 2018;60;0,00000305;
19 марта 2018 – 25 марта 2018;20;0,00000107;
26 марта 2018 – 1 апреля 2018;25;0,00000136;
2 апреля 2018 – 8 апреля 2018;21;0,00000119;
9 апреля 2018 – 15 апреля 2018;28;0,00000159;
16 апреля 2018 – 22 апреля 2018;39;0,00000219;
23 апреля 2018 – 29 апреля 2018;57;0,00000319;
30 апреля 2018 – 6 мая 2018;41;0,00000261;
7 мая 2018 – 13 мая 2018;53;0,00000318;
14 мая 2018 – 20 мая 2018;48;0,00000276;
21 мая 2018 – 27 мая 2018;51;0,00000306;
28 мая 2018 – 3 июня 2018;68;0,00000407;
4 июня 2018 – 10 июня 2018;40;0,00000238;
11 июня 2018 – 17 июня 2018;15;0,00000096;
18 июня 2018 – 24 июня 2018;25;0,00000154;
25 июня 2018 – 1 июля 2018;21;0,00000132;
2 июля 2018 – 8 июля 2018;22;0,00000138;
9 июля 2018 – 15 июля 2018;18;0,00000118;
16 июля 2018 – 22 июля 2018;13;0,00000083;
23 июля 2018 – 29 июля 2018;41;0,00000260;
30 июля 2018 – 5 августа 2018;21;0,00000133;
6 августа 2018 – 12 августа 2018;32;0,00000202;
13 августа 2018 – 19 августа 2018;25;0,00000156;
20 августа 2018 – 26 августа 2018;29;0,00000187;
27 августа 2018 – 2 сентября 2018;20;0,00000125;
3 сентября 2018 – 9 сентября 2018;18;0,00000103;
10 сентября 2018 – 16 сентября 2018;29;0,00000161;
17 сентября 2018 – 23 сентября 2018;48;0,00000251;
24 сентября 2018 – 30 сентября 2018;20;0,00000098;
1 октября 2018 – 7 октября 2018;76;0,00000371;
8 октября 2018 – 14 октября 2018;21;0,00000101;
15 октября 2018 – 21 октября 2018;19;0,00000091;
22 октября 2018 – 28 октября 2018;24;0,00000116;
29 октября 2018 – 4 ноября 2018;36;0,00000179;
5 ноября 2018 – 11 ноября 2018;29;0,00000151;
12 ноября 2018 – 18 ноября 2018;25;0,00000125;
19 ноября 2018 – 25 ноября 2018;16;0,00000080;
26 ноября 2018 – 2 декабря 2018;23;0,00000117;
3 декабря 2018 – 9 декабря 2018;27;0,00000132;
10 декабря 2018 – 16 декабря 2018;25;0,00000126;
17 декабря 2018 – 23 декабря 2018;18;0,00000091;
24 декабря 2018 – 30 декабря 2018;31;0,00000173;
31 декабря 2018 – 6 января 2019;12;0,00000075;
7 января 2019 – 13 января 2019;26;0,00000136;
14 января 2019 – 20 января 2019;17;0,00000082;
21 января 2019 – 27 января 2019;12;0,00000056;
28 января 2019 – 3 февраля 2019;13;0,00000062;
4 февраля 2019 – 10 февраля 2019;13;0,00000061;
11 февраля 2019 – 17 февраля 2019;10;0,00000047;
18 февраля 2019 – 24 февраля 2019;9;0,00000044;
25 февраля 2019 – 3 марта 2019;6;0,00000029;
4 марта 2019 – 10 марта 2019;22;0,00000114;
11 марта 2019 – 17 марта 2019;8;0,00000039;
18 марта 2019 – 24 марта 2019;0;0;
25 марта 2019 – 31 марта 2019;5;0,00000025;
1 апреля 2019 – 7 апреля 2019;11;0,00000056;
8 апреля 2019 – 14 апреля 2019;8;0,00000041;
15 апреля 2019 – 21 апреля 2019;20;0,00000102;
22 апреля 2019 – 28 апреля 2019;15;0,00000081;
29 апреля 2019 – 5 мая 2019;0;0;
6 мая 2019 – 12 мая 2019;9;0,00000054;
13 мая 2019 – 19 мая 2019;14;0,00000074;
20 мая 2019 – 26 мая 2019;8;0,00000043;
27 мая 2019 – 2 июня 2019;11;0,00000062;
3 июня 2019 – 9 июня 2019;10;0,00000057;
10 июня 2019 – 16 июня 2019;9;0,00000053;
17 июня 2019 – 23 июня 2019;7;0,00000042;
24 июня 2019 – 30 июня 2019;9;0,00000053;
1 июля 2019 – 7 июля 2019;20;0,00000120;
8 июля 2019 – 14 июля 2019;6;0,00000036;
15 июля 2019 – 21 июля 2019;12;0,00000073;
22 июля 2019 – 28 июля 2019;10;0,00000061;
29 июля 2019 – 4 августа 2019;13;0,00000078;
5 августа 2019 – 11 августа 2019;8;0,00000047;
12 августа 2019 – 18 августа 2019;12;0,00000073;
19 августа 2019 – 25 августа 2019;0;0;
26 августа 2019 – 1 сентября 2019;6;0,00000037;
2 сентября 2019 – 8 сентября 2019;7;0,00000041;
9 сентября 2019 – 15 сентября 2019;7;0,00000038;
16 сентября 2019 – 22 сентября 2019;5;0,00000026;
23 сентября 2019 – 29 сентября 2019;8;0,00000041;
30 сентября 2019 – 6 октября 2019;0;0;
7 октября 2019 – 13 октября 2019;5;0,00000025;
14 октября 2019 – 20 октября 2019;6;0,00000030;
21 октября 2019 – 27 октября 2019;5;0,00000025;
28 октября 2019 – 3 ноября 2019;6;0,00000030;
4 ноября 2019 – 10 ноября 2019;4;0,00000020;
11 ноября 2019 – 17 ноября 2019;10;0,00000048;
18 ноября 2019 – 24 ноября 2019;0;0;
25 ноября 2019 – 1 декабря 2019;7;0,00000031;
2 декабря 2019 – 8 декабря 2019;5;0,00000023;
9 декабря 2019 – 15 декабря 2019;6;0,00000027;
16 декабря 2019 – 22 декабря 2019;7;0,00000032;
23 декабря 2019 – 29 декабря 2019;7;0,00000035;
30 декабря 2019 – 5 января 2020;7;0,00000040;
6 января 2020 – 12 января 2020;8;0,00000039;
13 января 2020 – 19 января 2020;14;0,00000060;
20 января 2020 – 26 января 2020;7;0,00000028;
