Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «коронавирус», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;1 924;0,00013;
8 января 2018 – 14 января 2018;2 708;0,00015;
15 января 2018 – 21 января 2018;3 039;0,00016;
22 января 2018 – 28 января 2018;2 394;0,00012;
29 января 2018 – 4 февраля 2018;2 840;0,00015;
5 февраля 2018 – 11 февраля 2018;3 068;0,00016;
12 февраля 2018 – 18 февраля 2018;3 176;0,00016;
19 февраля 2018 – 25 февраля 2018;3 018;0,00015;
26 февраля 2018 – 4 марта 2018;2 948;0,00014;
5 марта 2018 – 11 марта 2018;2 819;0,00015;
12 марта 2018 – 18 марта 2018;3 479;0,00017;
19 марта 2018 – 25 марта 2018;3 305;0,00017;
26 марта 2018 – 1 апреля 2018;2 561;0,00014;
2 апреля 2018 – 8 апреля 2018;2 712;0,00015;
9 апреля 2018 – 15 апреля 2018;2 490;0,00014;
16 апреля 2018 – 22 апреля 2018;3 654;0,00020;
23 апреля 2018 – 29 апреля 2018;3 484;0,00019;
30 апреля 2018 – 6 мая 2018;3 502;0,00022;
7 мая 2018 – 13 мая 2018;2 293;0,00013;
14 мая 2018 – 20 мая 2018;2 695;0,00015;
21 мая 2018 – 27 мая 2018;2 529;0,00015;
28 мая 2018 – 3 июня 2018;2 257;0,00013;
4 июня 2018 – 10 июня 2018;2 652;0,00015;
11 июня 2018 – 17 июня 2018;2 854;0,00018;
18 июня 2018 – 24 июня 2018;3 282;0,00020;
25 июня 2018 – 1 июля 2018;3 117;0,00019;
2 июля 2018 – 8 июля 2018;2 617;0,00016;
9 июля 2018 – 15 июля 2018;2 238;0,00014;
16 июля 2018 – 22 июля 2018;2 586;0,00016;
23 июля 2018 – 29 июля 2018;4 364;0,00027;
30 июля 2018 – 5 августа 2018;2 527;0,00016;
6 августа 2018 – 12 августа 2018;2 799;0,00017;
13 августа 2018 – 19 августа 2018;4 068;0,00025;
20 августа 2018 – 26 августа 2018;2 614;0,00016;
27 августа 2018 – 2 сентября 2018;1 911;0,00011;
3 сентября 2018 – 9 сентября 2018;2 152;0,00012;
10 сентября 2018 – 16 сентября 2018;2 263;0,00012;
17 сентября 2018 – 23 сентября 2018;2 569;0,00013;
24 сентября 2018 – 30 сентября 2018;2 582;0,00012;
1 октября 2018 – 7 октября 2018;3 000;0,00014;
8 октября 2018 – 14 октября 2018;4 637;0,00022;
15 октября 2018 – 21 октября 2018;9 046;0,00043;
22 октября 2018 – 28 октября 2018;6 291;0,00030;
29 октября 2018 – 4 ноября 2018;7 834;0,00038;
5 ноября 2018 – 11 ноября 2018;4 309;0,00022;
12 ноября 2018 – 18 ноября 2018;5 352;0,00026;
19 ноября 2018 – 25 ноября 2018;4 639;0,00023;
26 ноября 2018 – 2 декабря 2018;5 732;0,00029;
3 декабря 2018 – 9 декабря 2018;3 004;0,00014;
10 декабря 2018 – 16 декабря 2018;5 674;0,00028;
17 декабря 2018 – 23 декабря 2018;3 706;0,00018;
24 декабря 2018 – 30 декабря 2018;2 945;0,00016;
31 декабря 2018 – 6 января 2019;3 910;0,00024;
7 января 2019 – 13 января 2019;2 279;0,00011;
14 января 2019 – 20 января 2019;2 649;0,00012;
21 января 2019 – 27 января 2019;2 738;0,00012;
28 января 2019 – 3 февраля 2019;2 255;0,00010;
4 февраля 2019 – 10 февраля 2019;2 715;0,00012;
11 февраля 2019 – 17 февраля 2019;2 438;0,00011;
18 февраля 2019 – 24 февраля 2019;2 521;0,00012;
25 февраля 2019 – 3 марта 2019;2 290;0,00011;
4 марта 2019 – 10 марта 2019;2 030;0,00010;
11 марта 2019 – 17 марта 2019;2 590;0,00012;
18 марта 2019 – 24 марта 2019;2 760;0,00013;
25 марта 2019 – 31 марта 2019;2 110;0,00010;
1 апреля 2019 – 7 апреля 2019;2 399;0,00012;
8 апреля 2019 – 14 апреля 2019;2 209;0,00011;
15 апреля 2019 – 21 апреля 2019;3 149;0,00016;
22 апреля 2019 – 28 апреля 2019;4 372;0,00023;
29 апреля 2019 – 5 мая 2019;2 632;0,00015;
6 мая 2019 – 12 мая 2019;1 848;0,00011;
13 мая 2019 – 19 мая 2019;2 519;0,00013;
20 мая 2019 – 26 мая 2019;1 948;0,00010;
