Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «купить книгу», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;150 101;0,0103;
08.01.2018;197 664;0,0115;
15.01.2018;200 582;0,0109;
22.01.2018;208 916;0,0111;
29.01.2018;209 014;0,0111;
05.02.2018;215 670;0,0112;
12.02.2018;201 186;0,0107;
19.02.2018;212 358;0,0109;
26.02.2018;220 523;0,0109;
05.03.2018;187 410;0,0102;
12.03.2018;199 326;0,0101;
19.03.2018;187 987;0,0100;
26.03.2018;178 606;0,0097;
02.04.2018;166 146;0,0094;
09.04.2018;160 423;0,0091;
16.04.2018;163 612;0,0092;
23.04.2018;164 880;0,0092;
30.04.2018;136 342;0,0086;
07.05.2018;143 801;0,0086;
14.05.2018;159 312;0,0091;
21.05.2018;163 581;0,0098;
28.05.2018;167 124;0,0100;
04.06.2018;167 809;0,0100;
11.06.2018;145 110;0,0093;
18.06.2018;147 887;0,0091;
25.06.2018;144 025;0,0090;
02.07.2018;147 712;0,0093;
09.07.2018;147 097;0,0096;
16.07.2018;163 494;0,0105;
23.07.2018;163 708;0,0104;
30.07.2018;160 946;0,0102;
06.08.2018;168 409;0,0106;
13.08.2018;176 700;0,0110;
20.08.2018;175 676;0,0113;
27.08.2018;175 711;0,0109;
03.09.2018;198 959;0,0114;
10.09.2018;194 108;0,0108;
17.09.2018;208 308;0,0108;
24.09.2018;214 588;0,0106;
01.10.2018;223 667;0,0109;
08.10.2018;217 552;0,0105;
15.10.2018;231 649;0,0111;
22.10.2018;231 419;0,0112;
29.10.2018;226 606;0,0112;
05.11.2018;210 671;0,0109;
12.11.2018;224 135;0,0112;
19.11.2018;230 543;0,0116;
26.11.2018;226 767;0,0115;
03.12.2018;243 110;0,0119;
10.12.2018;253 440;0,0127;
17.12.2018;254 387;0,0129;
24.12.2018;226 808;0,0126;
31.12.2018;164 327;0,0103;
07.01.2019;227 458;0,0119;
14.01.2019;239 066;0,0115;
21.01.2019;247 511;0,0116;
28.01.2019;244 797;0,0117;
04.02.2019;260 815;0,0123;
11.02.2019;256 179;0,0122;
18.02.2019;255 220;0,0125;
25.02.2019;249 810;0,0120;
04.03.2019;214 933;0,0112;
11.03.2019;225 479;0,0110;
18.03.2019;214 963;0,0107;
25.03.2019;209 071;0,0107;
01.04.2019;201 964;0,0104;
08.04.2019;191 544;0,0098;
15.04.2019;190 263;0,0097;
22.04.2019;161 678;0,0088;
29.04.2019;150 781;0,0089;
06.05.2019;145 449;0,0087;
13.05.2019;174 602;0,0093;
20.05.2019;190 246;0,0102;
27.05.2019;176 945;0,0100;
03.06.2019;168 002;0,0097;
10.06.2019;165 010;0,0097;
17.06.2019;167 079;0,0100;
24.06.2019;177 925;0,0105;
01.07.2019;175 321;0,0105;
08.07.2019;174 727;0,0106;
15.07.2019;171 923;0,0105;
22.07.2019;171 367;0,0105;
29.07.2019;176 410;0,0106;
05.08.2019;180 041;0,0107;
12.08.2019;177 612;0,0108;
19.08.2019;175 515;0,0109;
26.08.2019;179 301;0,0111;
02.09.2019;191 009;0,0112;
09.09.2019;194 446;0,0108;
16.09.2019;200 099;0,0105;
23.09.2019;200 576;0,0104;
30.09.2019;212 780;0,0109;
07.10.2019;208 450;0,0105;
14.10.2019;208 488;0,0104;
21.10.2019;222 858;0,0111;
28.10.2019;212 587;0,0109;
04.11.2019;226 709;0,0113;
11.11.2019;234 934;0,0114;
18.11.2019;243 108;0,0115;
25.11.2019;253 059;0,0115;
02.12.2019;266 164;0,0123;
09.12.2019;277 391;0,0129;
16.12.2019;276 812;0,0128;
23.12.2019;266 587;0,0134;
30.12.2019;189 074;0,0108;
06.01.2020;260 445;0,0129;
13.01.2020;282 828;0,0122;
20.01.2020;286 523;0,0118;
27.01.2020;286 641;0,0128;
03.02.2020;292 533;0,0132;
10.02.2020;305 667;0,0135;
17.02.2020;292 575;0,0131;
24.02.2020;290 481;0,0131;
02.03.2020;258 082;0,0120;
09.03.2020;245 015;0,0111;
16.03.2020;233 899;0,0105;
23.03.2020;208 418;0,0094;
30.03.2020;182 061;0,0077;
06.04.2020;206 762;0,0073;
13.04.2020;231 526;0,0081;
20.04.2020;275 323;0,0096;
27.04.2020;260 414;0,0100;
04.05.2020;239 612;0,0104;
11.05.2020;271 490;0,0104;
18.05.2020;311 229;0,0120;
25.05.2020;310 070;0,0135;
01.06.2020;309 525;0,0141;
08.06.2020;251 002;0,0124;
15.06.2020;259 401;0,0126;
22.06.2020;243 974;0,0122;
29.06.2020;247 096;0,0126;
06.07.2020;236 880;0,0125;
13.07.2020;245 195;0,0130;
20.07.2020;248 621;0,0132;
27.07.2020;251 856;0,0134;
03.08.2020;250 711;0,0134;
10.08.2020;268 527;0,0142;
17.08.2020;278 336;0,0146;
24.08.2020;288 189;0,0151;
31.08.2020;308 212;0,0155;
07.09.2020;319 829;0,0148;
14.09.2020;315 082;0,0140;
21.09.2020;293 519;0,0128;
28.09.2020;294 633;0,0128;
05.10.2020;300 530;0,0127;
12.10.2020;308 306;0,0126;
19.10.2020;317 603;0,0127;
26.10.2020;326 640;0,0130;
02.11.2020;327 613;0,0131;
09.11.2020;357 988;0,0134;
16.11.2020;358 549;0,0131;
23.11.2020;375 176;0,0135;
30.11.2020;375 227;0,0142;
07.12.2020;391 698;0,0151;
14.12.2020;406 379;0,0157;
21.12.2020;392 395;0,0159;
28.12.2020;284 698;0,0143;
04.01.2021;340 157;0,0159;
11.01.2021;375 115;0,0152;
18.01.2021;360 213;0,0145;
25.01.2021;378 141;0,0152;
01.02.2021;376 854;0,0154;
08.02.2021;383 883;0,0152;
15.02.2021;386 134;0,0151;
22.02.2021;349 575;0,0143;
01.03.2021;342 507;0,0142;
08.03.2021;338 911;0,0138;
15.03.2021;360 568;0,0144;
22.03.2021;352 588;0,0148;
29.03.2021;353 256;0,0144;
05.04.2021;348 742;0,0137;
12.04.2021;328 459;0,0132;
19.04.2021;360 772;0,0143;
26.04.2021;321 192;0,0135;
03.05.2021;298 007;0,0136;
10.05.2021;313 509;0,0132;
17.05.2021;336 697;0,0137;
24.05.2021;363 121;0,0154;
31.05.2021;372 803;0,0160;
07.06.2021;366 400;0,0155;
14.06.2021;330 306;0,0146;
21.06.2021;319 928;0,0141;
28.06.2021;340 931;0,0152;
05.07.2021;336 848;0,0155;
12.07.2021;337 018;0,0156;
19.07.2021;360 398;0,0164;
26.07.2021;377 627;0,0171;
02.08.2021;406 447;0,0183;
09.08.2021;413 932;0,0186;
16.08.2021;430 910;0,0191;
23.08.2021;469 971;0,0205;
30.08.2021;510 951;0,0216;
06.09.2021;507 439;0,0212;
13.09.2021;504 590;0,0201;
20.09.2021;547 221;0,0212;
27.09.2021;509 699;0,0203;
04.10.2021;478 792;0,0190;
11.10.2021;491 244;0,0187;
