Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «купить куртку», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;80 548;0,0055;
8 января 2018 – 14 января 2018;95 767;0,0055;
15 января 2018 – 21 января 2018;100 180;0,0054;
22 января 2018 – 28 января 2018;110 260;0,0058;
29 января 2018 – 4 февраля 2018;93 546;0,0049;
5 февраля 2018 – 11 февраля 2018;94 106;0,0049;
12 февраля 2018 – 18 февраля 2018;91 961;0,0049;
19 февраля 2018 – 25 февраля 2018;104 634;0,0053;
26 февраля 2018 – 4 марта 2018;107 145;0,0053;
5 марта 2018 – 11 марта 2018;110 025;0,0060;
12 марта 2018 – 18 марта 2018;115 983;0,0059;
19 марта 2018 – 25 марта 2018;122 538;0,0065;
26 марта 2018 – 1 апреля 2018;109 038;0,0059;
2 апреля 2018 – 8 апреля 2018;110 230;0,0062;
9 апреля 2018 – 15 апреля 2018;91 822;0,0052;
16 апреля 2018 – 22 апреля 2018;76 674;0,0043;
23 апреля 2018 – 29 апреля 2018;65 780;0,0036;
30 апреля 2018 – 6 мая 2018;53 656;0,0034;
7 мая 2018 – 13 мая 2018;54 943;0,0033;
14 мая 2018 – 20 мая 2018;57 767;0,0033;
21 мая 2018 – 27 мая 2018;50 636;0,0030;
28 мая 2018 – 3 июня 2018;51 302;0,0030;
4 июня 2018 – 10 июня 2018;58 448;0,0034;
11 июня 2018 – 17 июня 2018;50 694;0,0032;
18 июня 2018 – 24 июня 2018;45 680;0,0028;
25 июня 2018 – 1 июля 2018;46 616;0,0029;
2 июля 2018 – 8 июля 2018;61 408;0,0038;
9 июля 2018 – 15 июля 2018;55 729;0,0036;
16 июля 2018 – 22 июля 2018;52 314;0,0033;
23 июля 2018 – 29 июля 2018;60 398;0,0038;
30 июля 2018 – 5 августа 2018;65 986;0,0041;
6 августа 2018 – 12 августа 2018;76 797;0,0048;
13 августа 2018 – 19 августа 2018;92 811;0,0058;
20 августа 2018 – 26 августа 2018;103 722;0,0066;
27 августа 2018 – 2 сентября 2018;88 732;0,0055;
3 сентября 2018 – 9 сентября 2018;92 152;0,0053;
10 сентября 2018 – 16 сентября 2018;126 375;0,0070;
17 сентября 2018 – 23 сентября 2018;150 373;0,0078;
24 сентября 2018 – 30 сентября 2018;210 287;0,0103;
1 октября 2018 – 7 октября 2018;184 195;0,0090;
8 октября 2018 – 14 октября 2018;175 127;0,0084;
15 октября 2018 – 21 октября 2018;154 042;0,0074;
22 октября 2018 – 28 октября 2018;194 245;0,0094;
29 октября 2018 – 4 ноября 2018;200 029;0,0099;
5 ноября 2018 – 11 ноября 2018;167 217;0,0087;
12 ноября 2018 – 18 ноября 2018;194 933;0,0098;
19 ноября 2018 – 25 ноября 2018;172 091;0,0087;
26 ноября 2018 – 2 декабря 2018;150 855;0,0076;
3 декабря 2018 – 9 декабря 2018;123 025;0,0060;
10 декабря 2018 – 16 декабря 2018;110 315;0,0055;
17 декабря 2018 – 23 декабря 2018;105 104;0,0053;
24 декабря 2018 – 30 декабря 2018;81 319;0,0045;
31 декабря 2018 – 6 января 2019;79 892;0,0050;
7 января 2019 – 13 января 2019;96 375;0,0050;
14 января 2019 – 20 января 2019;89 530;0,0043;
21 января 2019 – 27 января 2019;94 389;0,0044;
28 января 2019 – 3 февраля 2019;93 912;0,0045;
4 февраля 2019 – 10 февраля 2019;98 104;0,0046;
11 февраля 2019 – 17 февраля 2019;100 769;0,0048;
18 февраля 2019 – 24 февраля 2019;101 791;0,0049;
25 февраля 2019 – 3 марта 2019;111 819;0,0054;
4 марта 2019 – 10 марта 2019;104 955;0,0054;
11 марта 2019 – 17 марта 2019;119 421;0,0058;
18 марта 2019 – 24 марта 2019;119 369;0,0059;
25 марта 2019 – 31 марта 2019;107 702;0,0055;
1 апреля 2019 – 7 апреля 2019;102 435;0,0052;
8 апреля 2019 – 14 апреля 2019;87 336;0,0044;
15 апреля 2019 – 21 апреля 2019;76 243;0,0039;
22 апреля 2019 – 28 апреля 2019;58 066;0,0031;
29 апреля 2019 – 5 мая 2019;51 644;0,0030;
6 мая 2019 – 12 мая 2019;39 985;0,0024;
13 мая 2019 – 19 мая 2019;42 104;0,0022;
20 мая 2019 – 26 мая 2019;40 986;0,0022;
27 мая 2019 – 2 июня 2019;34 296;0,0019;
3 июня 2019 – 9 июня 2019;27 030;0,0015;
10 июня 2019 – 16 июня 2019;29 321;0,0017;
17 июня 2019 – 23 июня 2019;28 928;0,0017;
24 июня 2019 – 30 июня 2019;37 911;0,0022;
1 июля 2019 – 7 июля 2019;45 229;0,0027;
8 июля 2019 – 14 июля 2019;52 900;0,0032;
15 июля 2019 – 21 июля 2019;52 603;0,0032;
22 июля 2019 – 28 июля 2019;51 208;0,0031;
29 июля 2019 – 4 августа 2019;84 319;0,0051;
5 августа 2019 – 11 августа 2019;97 850;0,0058;
12 августа 2019 – 18 августа 2019;83 779;0,0051;
19 августа 2019 – 25 августа 2019;78 756;0,0048;
26 августа 2019 – 1 сентября 2019;95 648;0,0059;
2 сентября 2019 – 8 сентября 2019;93 278;0,0055;
9 сентября 2019 – 15 сентября 2019;114 346;0,0063;
16 сентября 2019 – 22 сентября 2019;208 465;0,0109;
23 сентября 2019 – 29 сентября 2019;206 315;0,0107;
30 сентября 2019 – 6 октября 2019;167 013;0,0085;
7 октября 2019 – 13 октября 2019;202 688;0,0102;
14 октября 2019 – 20 октября 2019;156 511;0,0078;
21 октября 2019 – 27 октября 2019;151 994;0,0076;
28 октября 2019 – 3 ноября 2019;209 469;0,0108;
4 ноября 2019 – 10 ноября 2019;178 410;0,0089;
11 ноября 2019 – 17 ноября 2019;163 526;0,0079;
18 ноября 2019 – 24 ноября 2019;189 641;0,0089;
25 ноября 2019 – 1 декабря 2019;168 134;0,0076;
2 декабря 2019 – 8 декабря 2019;142 151;0,0066;
9 декабря 2019 – 15 декабря 2019;130 629;0,0060;
16 декабря 2019 – 22 декабря 2019;118 142;0,0054;
23 декабря 2019 – 29 декабря 2019;106 669;0,0053;
30 декабря 2019 – 5 января 2020;97 505;0,0056;
6 января 2020 – 12 января 2020;126 083;0,0062;
13 января 2020 – 19 января 2020;116 250;0,0050;
20 января 2020 – 26 января 2020;112 160;0,0046;
27 января 2020 – 2 февраля 2020;102 089;0,0045;
3 февраля 2020 – 9 февраля 2020;103 300;0,0046;
10 февраля 2020 – 16 февраля 2020;110 571;0,0049;
17 февраля 2020 – 23 февраля 2020;127 441;0,0057;
24 февраля 2020 – 1 марта 2020;144 098;0,0065;
2 марта 2020 – 8 марта 2020;135 493;0,0063;
9 марта 2020 – 15 марта 2020;137 413;0,0062;
16 марта 2020 – 22 марта 2020;96 800;0,0043;
23 марта 2020 – 29 марта 2020;74 235;0,0033;
30 марта 2020 – 5 апреля 2020;51 447;0,0021;
6 апреля 2020 – 12 апреля 2020;57 095;0,0020;
13 апреля 2020 – 19 апреля 2020;59 453;0,0020;
20 апреля 2020 – 26 апреля 2020;70 112;0,0024;
27 апреля 2020 – 3 мая 2020;68 739;0,0026;
4 мая 2020 – 10 мая 2020;58 651;0,0025;
11 мая 2020 – 17 мая 2020;54 647;0,0020;
18 мая 2020 – 24 мая 2020;63 562;0,0024;
25 мая 2020 – 31 мая 2020;61 224;0,0026;
1 июня 2020 – 7 июня 2020;60 968;0,0027;
8 июня 2020 – 14 июня 2020;35 862;0,0017;
15 июня 2020 – 21 июня 2020;34 144;0,0016;
22 июня 2020 – 28 июня 2020;36 910;0,0018;
29 июня 2020 – 5 июля 2020;38 713;0,0019;
6 июля 2020 – 12 июля 2020;38 270;0,0020;
13 июля 2020 – 19 июля 2020;48 183;0,0025;
20 июля 2020 – 26 июля 2020;56 904;0,0030;
27 июля 2020 – 2 августа 2020;65 781;0,0035;
3 августа 2020 – 9 августа 2020;62 120;0,0033;
10 августа 2020 – 16 августа 2020;100 290;0,0053;
17 августа 2020 – 23 августа 2020;108 114;0,0057;
24 августа 2020 – 30 августа 2020;111 211;0,0058;
31 августа 2020 – 6 сентября 2020;118 316;0,0059;
7 сентября 2020 – 13 сентября 2020;173 552;0,0080;
14 сентября 2020 – 20 сентября 2020;203 997;0,0090;
21 сентября 2020 – 27 сентября 2020;165 229;0,0072;
28 сентября 2020 – 4 октября 2020;155 305;0,0067;
5 октября 2020 – 11 октября 2020;172 938;0,0073;
12 октября 2020 – 18 октября 2020;215 566;0,0088;
19 октября 2020 – 25 октября 2020;244 789;0,0097;
26 октября 2020 – 1 ноября 2020;204 178;0,0081;
2 ноября 2020 – 8 ноября 2020;211 713;0,0085;
9 ноября 2020 – 15 ноября 2020;242 066;0,0090;
16 ноября 2020 – 22 ноября 2020;251 123;0,0092;
23 ноября 2020 – 29 ноября 2020;192 940;0,0069;
30 ноября 2020 – 6 декабря 2020;181 123;0,0068;
7 декабря 2020 – 13 декабря 2020;166 836;0,0064;
14 декабря 2020 – 20 декабря 2020;138 786;0,0053;
21 декабря 2020 – 27 декабря 2020;126 769;0,0051;
28 декабря 2020 – 3 января 2021;96 056;0,0048;
4 января 2021 – 10 января 2021;134 630;0,0063;
11 января 2021 – 17 января 2021;133 487;0,0054;
18 января 2021 – 24 января 2021;119 882;0,0048;
25 января 2021 – 31 января 2021;123 243;0,0049;
1 февраля 2021 – 7 февраля 2021;123 805;0,0050;
8 февраля 2021 – 14 февраля 2021;122 639;0,0048;
15 февраля 2021 – 21 февраля 2021;120 618;0,0047;
22 февраля 2021 – 28 февраля 2021;130 014;0,0053;
1 марта 2021 – 7 марта 2021;138 712;0,0057;
8 марта 2021 – 14 марта 2021;136 512;0,0055;
15 марта 2021 – 21 марта 2021;164 653;0,0066;
22 марта 2021 – 28 марта 2021;184 972;0,0078;
29 марта 2021 – 4 апреля 2021;156 782;0,0063;
5 апреля 2021 – 11 апреля 2021;137 454;0,0054;
12 апреля 2021 – 18 апреля 2021;117 694;0,0047;
19 апреля 2021 – 25 апреля 2021;102 048;0,0040;
26 апреля 2021 – 2 мая 2021;85 129;0,0035;
3 мая 2021 – 9 мая 2021;87 208;0,0040;
10 мая 2021 – 16 мая 2021;84 202;0,0035;
17 мая 2021 – 23 мая 2021;74 384;0,0030;
24 мая 2021 – 30 мая 2021;66 304;0,0028;
31 мая 2021 – 6 июня 2021;63 113;0,0027;
7 июня 2021 – 13 июня 2021;58 497;0,0024;
14 июня 2021 – 20 июня 2021;44 641;0,0019;
21 июня 2021 – 27 июня 2021;44 565;0,0019;
28 июня 2021 – 4 июля 2021;45 221;0,0020;
5 июля 2021 – 11 июля 2021;45 947;0,0021;
12 июля 2021 – 18 июля 2021;51 492;0,0023;
19 июля 2021 – 25 июля 2021;68 988;0,0031;
26 июля 2021 – 1 августа 2021;74 936;0,0033;
2 августа 2021 – 8 августа 2021;93 984;0,0042;
9 августа 2021 – 15 августа 2021;107 079;0,0048;
16 августа 2021 – 22 августа 2021;113 326;0,0050;
23 августа 2021 – 29 августа 2021;163 028;0,0071;
30 августа 2021 – 5 сентября 2021;245 318;0,0104;
6 сентября 2021 – 12 сентября 2021;260 074;0,0109;
13 сентября 2021 – 19 сентября 2021;296 436;0,0118;
20 сентября 2021 – 26 сентября 2021;327 988;0,0127;
27 сентября 2021 – 3 октября 2021;270 914;0,0108;
4 октября 2021 – 10 октября 2021;267 246;0,0106;
11 октября 2021 – 17 октября 2021;267 220;0,0102;
18 октября 2021 – 24 октября 2021;283 771;0,0107;
25 октября 2021 – 31 октября 2021;260 649;0,0101;
1 ноября 2021 – 7 ноября 2021;261 972;0,0106;
8 ноября 2021 – 14 ноября 2021;317 796;0,0116;
15 ноября 2021 – 21 ноября 2021;297 009;0,0107;
22 ноября 2021 – 28 ноября 2021;273 258;0,0099;
29 ноября 2021 – 5 декабря 2021;238 563;0,0087;
6 декабря 2021 – 12 декабря 2021;224 658;0,0081;
13 декабря 2021 – 19 декабря 2021;195 379;0,0070;
20 декабря 2021 – 26 декабря 2021;188 122;0,0069;
27 декабря 2021 – 2 января 2022;141 074;0,0062;
3 января 2022 – 9 января 2022;177 379;0,0075;
10 января 2022 – 16 января 2022;167 877;0,0061;
17 января 2022 – 23 января 2022;166 470;0,0058;
24 января 2022 – 30 января 2022;154 731;0,0053;
31 января 2022 – 6 февраля 2022;160 881;0,0054;
7 февраля 2022 – 13 февраля 2022;175 934;0,0058;
14 февраля 2022 – 20 февраля 2022;189 313;0,0064;
21 февраля 2022 – 27 февраля 2022;173 642;0,0061;
28 февраля 2022 – 6 марта 2022;165 475;0,0057;
7 марта 2022 – 13 марта 2022;176 846;0,0063;
14 марта 2022 – 20 марта 2022;198 172;0,0068;
21 марта 2022 – 27 марта 2022;208 762;0,0073;
28 марта 2022 – 3 апреля 2022;179 147;0,0063;
4 апреля 2022 – 10 апреля 2022;183 772;0,0064;
11 апреля 2022 – 17 апреля 2022;145 054;0,0051;
18 апреля 2022 – 24 апреля 2022;126 088;0,0045;
25 апреля 2022 – 1 мая 2022;112 224;0,0042;
2 мая 2022 – 8 мая 2022;104 077;0,0041;
9 мая 2022 – 15 мая 2022;107 401;0,0039;
16 мая 2022 – 22 мая 2022;113 140;0,0039;
23 мая 2022 – 29 мая 2022;95 531;0,0035;
30 мая 2022 – 5 июня 2022;80 696;0,0031;
6 июня 2022 – 12 июня 2022;61 422;0,0024;
13 июня 2022 – 19 июня 2022;58 798;0,0023;
20 июня 2022 – 26 июня 2022;57 371;0,0022;
27 июня 2022 – 3 июля 2022;48 815;0,0020;
4 июля 2022 – 10 июля 2022;49 546;0,0021;
11 июля 2022 – 17 июля 2022;57 973;0,0024;
18 июля 2022 – 24 июля 2022;73 637;0,0031;
25 июля 2022 – 31 июля 2022;73 041;0,0030;
1 августа 2022 – 7 августа 2022;74 585;0,0031;
8 августа 2022 – 14 августа 2022;86 870;0,0036;
15 августа 2022 – 21 августа 2022;101 119;0,0041;
22 августа 2022 – 28 августа 2022;123 739;0,0050;
29 августа 2022 – 4 сентября 2022;217 031;0,0086;
5 сентября 2022 – 11 сентября 2022;304 083;0,0112;
12 сентября 2022 – 18 сентября 2022;242 409;0,0088;
19 сентября 2022 – 25 сентября 2022;195 846;0,0070;
26 сентября 2022 – 2 октября 2022;204 375;0,0075;
3 октября 2022 – 9 октября 2022;195 137;0,0071;
10 октября 2022 – 16 октября 2022;201 928;0,0073;
17 октября 2022 – 23 октября 2022;247 920;0,0085;
24 октября 2022 – 30 октября 2022;244 637;0,0086;
31 октября 2022 – 6 ноября 2022;286 825;0,0103;
7 ноября 2022 – 13 ноября 2022;220 775;0,0076;
14 ноября 2022 – 20 ноября 2022;258 777;0,0086;
21 ноября 2022 – 27 ноября 2022;210 245;0,0070;
28 ноября 2022 – 4 декабря 2022;193 925;0,0065;
5 декабря 2022 – 11 декабря 2022;160 025;0,0054;
12 декабря 2022 – 18 декабря 2022;129 332;0,0044;
19 декабря 2022 – 25 декабря 2022;115 789;0,0040;
