Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «купить собаку», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;96 283;0,0066;
08.01.2018;104 152;0,0060;
15.01.2018;96 591;0,0052;
22.01.2018;95 177;0,0050;
29.01.2018;91 456;0,0048;
05.02.2018;89 686;0,0046;
12.02.2018;83 511;0,0044;
19.02.2018;88 704;0,0045;
26.02.2018;94 450;0,0047;
05.03.2018;91 015;0,0049;
12.03.2018;94 446;0,0048;
19.03.2018;92 001;0,0049;
26.03.2018;90 097;0,0049;
02.04.2018;91 566;0,0052;
09.04.2018;95 762;0,0054;
16.04.2018;93 769;0,0052;
23.04.2018;89 781;0,0050;
30.04.2018;83 325;0,0053;
07.05.2018;78 215;0,0046;
14.05.2018;80 929;0,0046;
21.05.2018;76 822;0,0046;
28.05.2018;79 452;0,0047;
04.06.2018;80 522;0,0048;
11.06.2018;72 326;0,0046;
18.06.2018;74 073;0,0045;
25.06.2018;73 823;0,0046;
02.07.2018;76 765;0,0048;
09.07.2018;76 335;0,0050;
16.07.2018;78 884;0,0050;
23.07.2018;83 866;0,0053;
30.07.2018;85 082;0,0054;
06.08.2018;85 920;0,0054;
13.08.2018;87 535;0,0054;
20.08.2018;85 949;0,0055;
27.08.2018;82 478;0,0051;
03.09.2018;83 319;0,0048;
10.09.2018;84 985;0,0047;
17.09.2018;93 394;0,0048;
24.09.2018;98 787;0,0048;
01.10.2018;98 822;0,0048;
08.10.2018;105 051;0,0050;
15.10.2018;105 186;0,0050;
22.10.2018;108 137;0,0052;
29.10.2018;110 129;0,0054;
05.11.2018;102 023;0,0053;
12.11.2018;104 038;0,0052;
19.11.2018;106 898;0,0054;
26.11.2018;108 023;0,0055;
03.12.2018;113 144;0,0055;
10.12.2018;108 015;0,0054;
17.12.2018;108 353;0,0055;
24.12.2018;95 479;0,0053;
31.12.2018;79 282;0,0050;
07.01.2019;102 085;0,0053;
14.01.2019;104 474;0,0050;
21.01.2019;107 746;0,0050;
28.01.2019;106 380;0,0050;
04.02.2019;110 312;0,0052;
11.02.2019;105 300;0,0050;
18.02.2019;100 143;0,0049;
25.02.2019;107 368;0,0051;
04.03.2019;95 497;0,0049;
11.03.2019;108 164;0,0052;
18.03.2019;111 811;0,0055;
25.03.2019;116 236;0,0059;
01.04.2019;117 307;0,0060;
08.04.2019;117 772;0,0060;
15.04.2019;105 206;0,0053;
22.04.2019;92 570;0,0050;
29.04.2019;89 289;0,0053;
06.05.2019;84 844;0,0051;
13.05.2019;91 870;0,0048;
20.05.2019;89 565;0,0048;
27.05.2019;88 898;0,0050;
03.06.2019;87 224;0,0050;
10.06.2019;87 059;0,0051;
17.06.2019;85 629;0,0051;
24.06.2019;89 613;0,0053;
01.07.2019;90 165;0,0054;
08.07.2019;91 873;0,0056;
15.07.2019;90 101;0,0055;
22.07.2019;90 178;0,0055;
29.07.2019;95 161;0,0057;
05.08.2019;97 132;0,0058;
12.08.2019;94 095;0,0057;
19.08.2019;92 868;0,0057;
26.08.2019;91 301;0,0056;
02.09.2019;88 452;0,0052;
09.09.2019;94 483;0,0052;
16.09.2019;104 127;0,0054;
23.09.2019;105 775;0,0055;
30.09.2019;114 064;0,0058;
07.10.2019;114 618;0,0057;
14.10.2019;113 977;0,0057;
21.10.2019;120 784;0,0060;
28.10.2019;120 426;0,0062;
04.11.2019;121 445;0,0060;
11.11.2019;122 106;0,0059;
18.11.2019;123 694;0,0058;
25.11.2019;127 653;0,0058;
02.12.2019;132 333;0,0061;
09.12.2019;150 427;0,0069;
16.12.2019;147 423;0,0068;
23.12.2019;138 803;0,0069;
30.12.2019;120 619;0,0069;
06.01.2020;147 548;0,0073;
13.01.2020;165 177;0,0071;
20.01.2020;146 977;0,0060;
27.01.2020;124 148;0,0055;
03.02.2020;127 820;0,0057;
10.02.2020;140 302;0,0062;
17.02.2020;132 841;0,0059;
24.02.2020;138 385;0,0062;
02.03.2020;133 113;0,0062;
09.03.2020;144 110;0,0065;
16.03.2020;146 059;0,0065;
23.03.2020;130 851;0,0059;
30.03.2020;127 893;0,0054;
06.04.2020;138 597;0,0049;
13.04.2020;143 236;0,0050;
20.04.2020;163 456;0,0057;
27.04.2020;162 948;0,0062;
04.05.2020;153 251;0,0066;
11.05.2020;157 964;0,0060;
18.05.2020;163 786;0,0063;
25.05.2020;194 688;0,0085;
01.06.2020;164 021;0,0074;
08.06.2020;138 250;0,0068;
15.06.2020;137 620;0,0067;
22.06.2020;133 304;0,0066;
29.06.2020;138 285;0,0071;
06.07.2020;134 149;0,0071;
13.07.2020;134 929;0,0071;
20.07.2020;133 805;0,0071;
27.07.2020;134 334;0,0071;
03.08.2020;130 273;0,0069;
10.08.2020;130 158;0,0068;
17.08.2020;132 888;0,0070;
24.08.2020;149 589;0,0078;
31.08.2020;141 387;0,0071;
07.09.2020;200 585;0,0093;
14.09.2020;135 450;0,0060;
21.09.2020;131 366;0,0057;
28.09.2020;135 848;0,0059;
05.10.2020;145 102;0,0061;
12.10.2020;151 699;0,0062;
19.10.2020;150 973;0,0060;
26.10.2020;156 086;0,0062;
02.11.2020;168 306;0,0067;
09.11.2020;167 171;0,0062;
16.11.2020;168 418;0,0061;
23.11.2020;166 667;0,0060;
30.11.2020;164 035;0,0062;
07.12.2020;162 460;0,0062;
14.12.2020;163 809;0,0063;
21.12.2020;160 657;0,0065;
28.12.2020;124 475;0,0062;
04.01.2021;161 692;0,0075;
11.01.2021;163 108;0,0066;
18.01.2021;157 183;0,0063;
25.01.2021;156 380;0,0063;
01.02.2021;154 709;0,0063;
08.02.2021;156 047;0,0062;
15.02.2021;151 445;0,0059;
22.02.2021;146 781;0,0060;
01.03.2021;144 273;0,0059;
08.03.2021;152 630;0,0062;
15.03.2021;164 798;0,0066;
22.03.2021;171 457;0,0072;
29.03.2021;182 679;0,0074;
05.04.2021;183 732;0,0072;
12.04.2021;182 617;0,0073;
19.04.2021;177 058;0,0070;
26.04.2021;158 076;0,0066;
03.05.2021;152 855;0,0070;
10.05.2021;152 859;0,0064;
17.05.2021;151 524;0,0061;
24.05.2021;148 075;0,0062;
31.05.2021;147 846;0,0063;
07.06.2021;153 557;0,0065;
14.06.2021;149 021;0,0066;
21.06.2021;149 814;0,0066;
28.06.2021;155 018;0,0069;
05.07.2021;185 450;0,0085;
12.07.2021;157 977;0,0073;
19.07.2021;161 335;0,0073;
26.07.2021;162 056;0,0073;
02.08.2021;163 967;0,0073;
09.08.2021;168 092;0,0075;
16.08.2021;169 488;0,0075;
23.08.2021;173 739;0,0075;
30.08.2021;169 028;0,0071;
06.09.2021;166 664;0,0069;
13.09.2021;182 466;0,0072;
20.09.2021;191 540;0,0074;
27.09.2021;179 749;0,0071;
04.10.2021;178 790;0,0071;
11.10.2021;184 259;0,0070;
18.10.2021;185 418;0,0070;
25.10.2021;190 814;0,0074;
01.11.2021;211 443;0,0085;
08.11.2021;207 269;0,0076;
15.11.2021;201 393;0,0072;
22.11.2021;203 004;0,0073;
29.11.2021;206 006;0,0075;
06.12.2021;215 052;0,0078;
13.12.2021;216 141;0,0078;
20.12.2021;216 515;0,0079;
27.12.2021;173 637;0,0076;
03.01.2022;208 799;0,0089;
10.01.2022;227 010;0,0083;
17.01.2022;223 907;0,0079;
24.01.2022;228 034;0,0078;
31.01.2022;235 938;0,0080;
07.02.2022;233 509;0,0077;
14.02.2022;222 878;0,0075;
21.02.2022;225 414;0,0079;
28.02.2022;446 444;0,0155;
07.03.2022;459 187;0,0165;
14.03.2022;408 073;0,0140;
21.03.2022;344 043;0,0121;
28.03.2022;298 112;0,0104;
