Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «написать завещание», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;1 068;0,000073;
8 января 2018 – 14 января 2018;1 739;0,000101;
15 января 2018 – 21 января 2018;1 796;0,000098;
22 января 2018 – 28 января 2018;1 991;0,000105;
29 января 2018 – 4 февраля 2018;2 374;0,000126;
5 февраля 2018 – 11 февраля 2018;2 279;0,000119;
12 февраля 2018 – 18 февраля 2018;1 957;0,000104;
19 февраля 2018 – 25 февраля 2018;2 027;0,000104;
26 февраля 2018 – 4 марта 2018;2 394;0,000119;
5 марта 2018 – 11 марта 2018;1 810;0,000098;
12 марта 2018 – 18 марта 2018;2 637;0,000134;
19 марта 2018 – 25 марта 2018;2 178;0,000116;
26 марта 2018 – 1 апреля 2018;2 037;0,000111;
2 апреля 2018 – 8 апреля 2018;1 715;0,000097;
9 апреля 2018 – 15 апреля 2018;1 568;0,000089;
16 апреля 2018 – 22 апреля 2018;1 621;0,000091;
23 апреля 2018 – 29 апреля 2018;1 679;0,000093;
30 апреля 2018 – 6 мая 2018;1 149;0,000073;
7 мая 2018 – 13 мая 2018;1 360;0,000081;
14 мая 2018 – 20 мая 2018;1 526;0,000087;
21 мая 2018 – 27 мая 2018;1 435;0,000086;
28 мая 2018 – 3 июня 2018;1 602;0,000096;
4 июня 2018 – 10 июня 2018;2 165;0,000129;
11 июня 2018 – 17 июня 2018;1 339;0,000086;
18 июня 2018 – 24 июня 2018;1 480;0,000091;
25 июня 2018 – 1 июля 2018;1 456;0,000091;
2 июля 2018 – 8 июля 2018;1 371;0,000086;
9 июля 2018 – 15 июля 2018;1 368;0,000089;
16 июля 2018 – 22 июля 2018;1 375;0,000088;
23 июля 2018 – 29 июля 2018;1 422;0,000090;
30 июля 2018 – 5 августа 2018;1 463;0,000092;
6 августа 2018 – 12 августа 2018;1 425;0,000090;
13 августа 2018 – 19 августа 2018;1 448;0,000090;
20 августа 2018 – 26 августа 2018;1 521;0,000098;
27 августа 2018 – 2 сентября 2018;1 414;0,000088;
3 сентября 2018 – 9 сентября 2018;1 625;0,000093;
10 сентября 2018 – 16 сентября 2018;1 605;0,000089;
17 сентября 2018 – 23 сентября 2018;1 701;0,000089;
24 сентября 2018 – 30 сентября 2018;1 723;0,000085;
1 октября 2018 – 7 октября 2018;1 792;0,000087;
8 октября 2018 – 14 октября 2018;1 996;0,000096;
15 октября 2018 – 21 октября 2018;2 091;0,000100;
22 октября 2018 – 28 октября 2018;2 015;0,000097;
29 октября 2018 – 4 ноября 2018;1 966;0,000097;
5 ноября 2018 – 11 ноября 2018;1 907;0,000099;
12 ноября 2018 – 18 ноября 2018;1 967;0,000098;
19 ноября 2018 – 25 ноября 2018;2 012;0,000101;
26 ноября 2018 – 2 декабря 2018;1 954;0,000099;
3 декабря 2018 – 9 декабря 2018;2 365;0,000116;
10 декабря 2018 – 16 декабря 2018;2 229;0,000112;
