Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «озон», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;252 384;0,017;
08.01.2018;333 462;0,019;
15.01.2018;344 220;0,018;
22.01.2018;348 085;0,018;
29.01.2018;352 881;0,018;
05.02.2018;380 985;0,019;
12.02.2018;389 224;0,020;
19.02.2018;384 702;0,019;
26.02.2018;415 493;0,020;
05.03.2018;363 002;0,019;
12.03.2018;382 766;0,019;
19.03.2018;376 761;0,020;
26.03.2018;357 562;0,019;
02.04.2018;348 907;0,019;
09.04.2018;347 259;0,019;
16.04.2018;362 576;0,020;
23.04.2018;359 856;0,020;
30.04.2018;286 381;0,018;
07.05.2018;308 912;0,018;
14.05.2018;345 703;0,019;
21.05.2018;334 945;0,020;
28.05.2018;353 808;0,021;
04.06.2018;377 733;0,022;
11.06.2018;324 767;0,020;
18.06.2018;334 171;0,020;
25.06.2018;332 446;0,020;
02.07.2018;336 713;0,021;
09.07.2018;336 114;0,022;
16.07.2018;344 171;0,022;
23.07.2018;351 521;0,022;
30.07.2018;351 321;0,022;
06.08.2018;362 678;0,022;
13.08.2018;378 157;0,023;
20.08.2018;367 906;0,023;
27.08.2018;386 356;0,024;
03.09.2018;424 970;0,024;
10.09.2018;436 330;0,024;
17.09.2018;456 952;0,023;
24.09.2018;487 691;0,024;
01.10.2018;481 978;0,023;
08.10.2018;485 051;0,023;
15.10.2018;500 864;0,024;
22.10.2018;534 406;0,025;
29.10.2018;513 730;0,025;
05.11.2018;509 136;0,026;
12.11.2018;546 112;0,027;
19.11.2018;665 349;0,033;
26.11.2018;589 126;0,030;
03.12.2018;652 320;0,032;
10.12.2018;699 312;0,035;
17.12.2018;708 979;0,036;
24.12.2018;585 921;0,032;
31.12.2018;429 765;0,027;
07.01.2019;608 242;0,031;
14.01.2019;637 290;0,030;
21.01.2019;669 931;0,031;
28.01.2019;699 378;0,033;
04.02.2019;883 662;0,041;
11.02.2019;715 175;0,034;
18.02.2019;653 089;0,032;
25.02.2019;642 119;0,031;
04.03.2019;550 484;0,028;
11.03.2019;566 612;0,027;
18.03.2019;575 762;0,028;
25.03.2019;592 589;0,030;
01.04.2019;549 327;0,028;
