Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «помидора», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;237 954;0,016;
8 января 2018 – 14 января 2018;276 930;0,016;
15 января 2018 – 21 января 2018;290 943;0,015;
22 января 2018 – 28 января 2018;314 849;0,016;
29 января 2018 – 4 февраля 2018;348 413;0,018;
5 февраля 2018 – 11 февраля 2018;370 955;0,019;
12 февраля 2018 – 18 февраля 2018;358 289;0,019;
19 февраля 2018 – 25 февраля 2018;447 032;0,023;
26 февраля 2018 – 4 марта 2018;526 508;0,026;
5 марта 2018 – 11 марта 2018;556 566;0,030;
12 марта 2018 – 18 марта 2018;595 770;0,030;
19 марта 2018 – 25 марта 2018;588 169;0,031;
26 марта 2018 – 1 апреля 2018;511 721;0,028;
2 апреля 2018 – 8 апреля 2018;477 862;0,027;
9 апреля 2018 – 15 апреля 2018;494 493;0,028;
16 апреля 2018 – 22 апреля 2018;510 181;0,028;
23 апреля 2018 – 29 апреля 2018;535 313;0,029;
30 апреля 2018 – 6 мая 2018;610 095;0,038;
7 мая 2018 – 13 мая 2018;654 128;0,039;
14 мая 2018 – 20 мая 2018;733 720;0,042;
21 мая 2018 – 27 мая 2018;694 387;0,041;
28 мая 2018 – 3 июня 2018;712 139;0,042;
4 июня 2018 – 10 июня 2018;710 553;0,042;
11 июня 2018 – 17 июня 2018;671 808;0,043;
18 июня 2018 – 24 июня 2018;671 724;0,041;
25 июня 2018 – 1 июля 2018;681 327;0,042;
2 июля 2018 – 8 июля 2018;686 762;0,043;
9 июля 2018 – 15 июля 2018;719 478;0,047;
16 июля 2018 – 22 июля 2018;812 027;0,052;
23 июля 2018 – 29 июля 2018;1 006 174;0,064;
30 июля 2018 – 5 августа 2018;1 241 668;0,078;
6 августа 2018 – 12 августа 2018;1 572 969;0,099;
13 августа 2018 – 19 августа 2018;1 787 474;0,112;
20 августа 2018 – 26 августа 2018;1 899 703;0,122;
27 августа 2018 – 2 сентября 2018;1 761 656;0,110;
3 сентября 2018 – 9 сентября 2018;1 628 014;0,093;
10 сентября 2018 – 16 сентября 2018;1 450 667;0,080;
17 сентября 2018 – 23 сентября 2018;1 318 342;0,068;
24 сентября 2018 – 30 сентября 2018;1 196 481;0,059;
1 октября 2018 – 7 октября 2018;939 734;0,045;
8 октября 2018 – 14 октября 2018;737 948;0,035;
15 октября 2018 – 21 октября 2018;576 728;0,027;
22 октября 2018 – 28 октября 2018;463 263;0,022;
29 октября 2018 – 4 ноября 2018;385 895;0,019;
5 ноября 2018 – 11 ноября 2018;348 312;0,018;
12 ноября 2018 – 18 ноября 2018;304 621;0,015;
19 ноября 2018 – 25 ноября 2018;274 188;0,013;
26 ноября 2018 – 2 декабря 2018;261 732;0,013;
3 декабря 2018 – 9 декабря 2018;277 150;0,013;
10 декабря 2018 – 16 декабря 2018;250 159;0,012;
17 декабря 2018 – 23 декабря 2018;250 488;0,012;
24 декабря 2018 – 30 декабря 2018;345 078;0,019;
31 декабря 2018 – 6 января 2019;385 330;0,024;
