Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «порно», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;36 780 015;2,52;
8 января 2018 – 14 января 2018;38 067 998;2,22;
15 января 2018 – 21 января 2018;37 355 299;2,04;
22 января 2018 – 28 января 2018;37 110 211;1,97;
29 января 2018 – 4 февраля 2018;37 369 947;1,99;
5 февраля 2018 – 11 февраля 2018;37 562 054;1,96;
12 февраля 2018 – 18 февраля 2018;37 469 143;2,00;
19 февраля 2018 – 25 февраля 2018;39 668 075;2,04;
26 февраля 2018 – 4 марта 2018;41 341 257;2,05;
5 марта 2018 – 11 марта 2018;41 761 398;2,28;
12 марта 2018 – 18 марта 2018;41 073 031;2,09;
19 марта 2018 – 25 марта 2018;39 130 799;2,09;
26 марта 2018 – 1 апреля 2018;38 580 622;2,11;
2 апреля 2018 – 8 апреля 2018;38 670 329;2,19;
9 апреля 2018 – 15 апреля 2018;39 908 648;2,27;
16 апреля 2018 – 22 апреля 2018;39 512 343;2,22;
23 апреля 2018 – 29 апреля 2018;40 133 242;2,24;
30 апреля 2018 – 6 мая 2018;40 076 645;2,55;
7 мая 2018 – 13 мая 2018;40 071 502;2,40;
14 мая 2018 – 20 мая 2018;39 438 650;2,26;
21 мая 2018 – 27 мая 2018;39 350 871;2,36;
28 мая 2018 – 3 июня 2018;40 308 687;2,41;
4 июня 2018 – 10 июня 2018;39 624 590;2,36;
11 июня 2018 – 17 июня 2018;40 396 971;2,59;
18 июня 2018 – 24 июня 2018;42 160 207;2,60;
25 июня 2018 – 1 июля 2018;41 400 468;2,60;
2 июля 2018 – 8 июля 2018;41 776 448;2,63;
9 июля 2018 – 15 июля 2018;41 013 137;2,69;
16 июля 2018 – 22 июля 2018;42 335 684;2,72;
23 июля 2018 – 29 июля 2018;42 129 274;2,68;
30 июля 2018 – 5 августа 2018;42 338 165;2,68;
6 августа 2018 – 12 августа 2018;42 214 630;2,67;
13 августа 2018 – 19 августа 2018;41 952 119;2,63;
20 августа 2018 – 26 августа 2018;41 155 439;2,65;
27 августа 2018 – 2 сентября 2018;42 569 354;2,66;
3 сентября 2018 – 9 сентября 2018;43 786 890;2,52;
10 сентября 2018 – 16 сентября 2018;43 489 306;2,42;
17 сентября 2018 – 23 сентября 2018;45 392 771;2,37;
24 сентября 2018 – 30 сентября 2018;47 082 014;2,32;
1 октября 2018 – 7 октября 2018;46 886 306;2,29;
8 октября 2018 – 14 октября 2018;47 880 669;2,31;
15 октября 2018 – 21 октября 2018;47 011 669;2,27;
22 октября 2018 – 28 октября 2018;46 861 250;2,27;
29 октября 2018 – 4 ноября 2018;47 530 321;2,36;
5 ноября 2018 – 11 ноября 2018;45 495 654;2,37;
12 ноября 2018 – 18 ноября 2018;45 689 737;2,29;
