Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «развод», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;248 857;0,017;
8 января 2018 – 14 января 2018;330 665;0,019;
15 января 2018 – 21 января 2018;330 209;0,018;
22 января 2018 – 28 января 2018;350 490;0,018;
29 января 2018 – 4 февраля 2018;387 262;0,020;
5 февраля 2018 – 11 февраля 2018;369 035;0,019;
12 февраля 2018 – 18 февраля 2018;329 221;0,017;
19 февраля 2018 – 25 февраля 2018;339 530;0,017;
26 февраля 2018 – 4 марта 2018;359 061;0,017;
5 марта 2018 – 11 марта 2018;317 989;0,017;
12 марта 2018 – 18 марта 2018;345 664;0,017;
19 марта 2018 – 25 марта 2018;338 569;0,018;
26 марта 2018 – 1 апреля 2018;316 587;0,017;
2 апреля 2018 – 8 апреля 2018;316 855;0,018;
9 апреля 2018 – 15 апреля 2018;321 792;0,018;
16 апреля 2018 – 22 апреля 2018;309 220;0,017;
23 апреля 2018 – 29 апреля 2018;306 025;0,017;
30 апреля 2018 – 6 мая 2018;292 261;0,018;
7 мая 2018 – 13 мая 2018;301 398;0,018;
14 мая 2018 – 20 мая 2018;310 507;0,017;
21 мая 2018 – 27 мая 2018;310 293;0,018;
28 мая 2018 – 3 июня 2018;307 065;0,018;
4 июня 2018 – 10 июня 2018;305 793;0,018;
11 июня 2018 – 17 июня 2018;295 605;0,018;
18 июня 2018 – 24 июня 2018;307 288;0,018;
25 июня 2018 – 1 июля 2018;315 647;0,019;
2 июля 2018 – 8 июля 2018;336 428;0,021;
9 июля 2018 – 15 июля 2018;322 347;0,021;
16 июля 2018 – 22 июля 2018;332 434;0,021;
23 июля 2018 – 29 июля 2018;337 092;0,021;
30 июля 2018 – 5 августа 2018;383 427;0,024;
6 августа 2018 – 12 августа 2018;431 006;0,027;
13 августа 2018 – 19 августа 2018;380 419;0,023;
20 августа 2018 – 26 августа 2018;364 935;0,023;
27 августа 2018 – 2 сентября 2018;343 676;0,021;
3 сентября 2018 – 9 сентября 2018;370 644;0,021;
10 сентября 2018 – 16 сентября 2018;367 627;0,020;
17 сентября 2018 – 23 сентября 2018;388 507;0,020;
24 сентября 2018 – 30 сентября 2018;394 688;0,019;
1 октября 2018 – 7 октября 2018;374 907;0,018;
8 октября 2018 – 14 октября 2018;397 098;0,019;
15 октября 2018 – 21 октября 2018;382 089;0,018;
22 октября 2018 – 28 октября 2018;378 121;0,018;
29 октября 2018 – 4 ноября 2018;385 590;0,019;
5 ноября 2018 – 11 ноября 2018;363 004;0,018;
12 ноября 2018 – 18 ноября 2018;364 160;0,018;
19 ноября 2018 – 25 ноября 2018;355 344;0,017;
26 ноября 2018 – 2 декабря 2018;344 845;0,017;
3 декабря 2018 – 9 декабря 2018;348 630;0,017;
10 декабря 2018 – 16 декабря 2018;349 961;0,017;
17 декабря 2018 – 23 декабря 2018;352 111;0,017;
24 декабря 2018 – 30 декабря 2018;310 377;0,017;
31 декабря 2018 – 6 января 2019;291 641;0,018;
7 января 2019 – 13 января 2019;414 465;0,021;
14 января 2019 – 20 января 2019;415 362;0,020;
21 января 2019 – 27 января 2019;419 901;0,019;
28 января 2019 – 3 февраля 2019;420 951;0,020;
4 февраля 2019 – 10 февраля 2019;415 775;0,019;
11 февраля 2019 – 17 февраля 2019;403 763;0,019;
18 февраля 2019 – 24 февраля 2019;395 064;0,019;
25 февраля 2019 – 3 марта 2019;406 083;0,019;
4 марта 2019 – 10 марта 2019;358 296;0,018;
11 марта 2019 – 17 марта 2019;417 621;0,020;
18 марта 2019 – 24 марта 2019;431 170;0,021;
25 марта 2019 – 31 марта 2019;387 038;0,019;
1 апреля 2019 – 7 апреля 2019;383 632;0,019;
8 апреля 2019 – 14 апреля 2019;395 944;0,020;
15 апреля 2019 – 21 апреля 2019;383 137;0,019;
22 апреля 2019 – 28 апреля 2019;348 334;0,019;
29 апреля 2019 – 5 мая 2019;335 697;0,020;
6 мая 2019 – 12 мая 2019;327 526;0,019;
13 мая 2019 – 19 мая 2019;371 625;0,019;
20 мая 2019 – 26 мая 2019;364 433;0,019;
27 мая 2019 – 2 июня 2019;352 504;0,020;
3 июня 2019 – 9 июня 2019;711 004;0,041;
10 июня 2019 – 16 июня 2019;789 620;0,046;
17 июня 2019 – 23 июня 2019;455 695;0,027;
24 июня 2019 – 30 июня 2019;409 751;0,024;
1 июля 2019 – 7 июля 2019;395 612;0,023;
8 июля 2019 – 14 июля 2019;388 036;0,023;
15 июля 2019 – 21 июля 2019;401 481;0,024;
22 июля 2019 – 28 июля 2019;414 612;0,025;
29 июля 2019 – 4 августа 2019;374 893;0,022;
5 августа 2019 – 11 августа 2019;378 736;0,022;
12 августа 2019 – 18 августа 2019;362 171;0,022;
19 августа 2019 – 25 августа 2019;362 805;0,022;
26 августа 2019 – 1 сентября 2019;347 640;0,021;
2 сентября 2019 – 8 сентября 2019;341 758;0,020;
9 сентября 2019 – 15 сентября 2019;367 472;0,020;
16 сентября 2019 – 22 сентября 2019;359 909;0,018;
23 сентября 2019 – 29 сентября 2019;364 581;0,019;
30 сентября 2019 – 6 октября 2019;372 052;0,019;
7 октября 2019 – 13 октября 2019;387 630;0,019;
14 октября 2019 – 20 октября 2019;387 311;0,019;
21 октября 2019 – 27 октября 2019;377 024;0,018;
28 октября 2019 – 3 ноября 2019;362 877;0,018;
4 ноября 2019 – 10 ноября 2019;385 545;0,019;
11 ноября 2019 – 17 ноября 2019;389 062;0,018;
18 ноября 2019 – 24 ноября 2019;384 806;0,018;
25 ноября 2019 – 1 декабря 2019;385 193;0,017;
2 декабря 2019 – 8 декабря 2019;386 528;0,017;
9 декабря 2019 – 15 декабря 2019;381 155;0,017;
16 декабря 2019 – 22 декабря 2019;558 188;0,025;
23 декабря 2019 – 29 декабря 2019;381 915;0,019;
30 декабря 2019 – 5 января 2020;331 531;0,019;
6 января 2020 – 12 января 2020;433 955;0,021;
13 января 2020 – 19 января 2020;479 208;0,020;
20 января 2020 – 26 января 2020;500 334;0,020;
27 января 2020 – 2 февраля 2020;456 036;0,020;
3 февраля 2020 – 9 февраля 2020;493 388;0,022;
10 февраля 2020 – 16 февраля 2020;470 507;0,020;
17 февраля 2020 – 23 февраля 2020;447 105;0,020;
24 февраля 2020 – 1 марта 2020;461 904;0,020;
2 марта 2020 – 8 марта 2020;390 419;0,018;
9 марта 2020 – 15 марта 2020;428 514;0,019;
16 марта 2020 – 22 марта 2020;398 965;0,017;
23 марта 2020 – 29 марта 2020;394 172;0,017;
30 марта 2020 – 5 апреля 2020;410 133;0,017;
6 апреля 2020 – 12 апреля 2020;451 288;0,016;
13 апреля 2020 – 19 апреля 2020;436 451;0,015;
20 апреля 2020 – 26 апреля 2020;444 525;0,015;
27 апреля 2020 – 3 мая 2020;429 028;0,016;
4 мая 2020 – 10 мая 2020;409 586;0,017;
11 мая 2020 – 17 мая 2020;476 098;0,018;
18 мая 2020 – 24 мая 2020;532 474;0,020;
25 мая 2020 – 31 мая 2020;452 127;0,019;
1 июня 2020 – 7 июня 2020;465 737;0,021;
8 июня 2020 – 14 июня 2020;450 131;0,022;
15 июня 2020 – 21 июня 2020;465 311;0,022;
22 июня 2020 – 28 июня 2020;551 015;0,027;
29 июня 2020 – 5 июля 2020;458 746;0,023;
6 июля 2020 – 12 июля 2020;434 374;0,023;
13 июля 2020 – 19 июля 2020;445 523;0,023;
20 июля 2020 – 26 июля 2020;464 571;0,024;
27 июля 2020 – 2 августа 2020;443 612;0,023;
3 августа 2020 – 9 августа 2020;460 755;0,024;
10 августа 2020 – 16 августа 2020;451 943;0,023;
17 августа 2020 – 23 августа 2020;437 448;0,023;
24 августа 2020 – 30 августа 2020;426 958;0,022;
31 августа 2020 – 6 сентября 2020;427 914;0,021;
7 сентября 2020 – 13 сентября 2020;421 688;0,019;
14 сентября 2020 – 20 сентября 2020;437 740;0,019;
21 сентября 2020 – 27 сентября 2020;434 190;0,019;
28 сентября 2020 – 4 октября 2020;426 803;0,018;
5 октября 2020 – 11 октября 2020;448 303;0,019;
12 октября 2020 – 18 октября 2020;463 783;0,019;
19 октября 2020 – 25 октября 2020;453 425;0,018;
26 октября 2020 – 1 ноября 2020;479 796;0,019;
2 ноября 2020 – 8 ноября 2020;481 553;0,019;
9 ноября 2020 – 15 ноября 2020;486 941;0,018;
16 ноября 2020 – 22 ноября 2020;496 200;0,018;
23 ноября 2020 – 29 ноября 2020;488 851;0,017;
30 ноября 2020 – 6 декабря 2020;461 475;0,017;
7 декабря 2020 – 13 декабря 2020;455 620;0,017;
14 декабря 2020 – 20 декабря 2020;440 956;0,017;
21 декабря 2020 – 27 декабря 2020;434 736;0,017;
28 декабря 2020 – 3 января 2021;373 908;0,018;
4 января 2021 – 10 января 2021;459 156;0,021;
11 января 2021 – 17 января 2021;505 820;0,020;
18 января 2021 – 24 января 2021;473 363;0,019;
25 января 2021 – 31 января 2021;472 847;0,019;
1 февраля 2021 – 7 февраля 2021;462 053;0,018;
8 февраля 2021 – 14 февраля 2021;462 093;0,018;
15 февраля 2021 – 21 февраля 2021;457 540;0,017;
22 февраля 2021 – 28 февраля 2021;456 381;0,018;
1 марта 2021 – 7 марта 2021;450 502;0,018;
8 марта 2021 – 14 марта 2021;468 099;0,019;
15 марта 2021 – 21 марта 2021;478 961;0,019;
22 марта 2021 – 28 марта 2021;477 576;0,020;
29 марта 2021 – 4 апреля 2021;488 705;0,019;
5 апреля 2021 – 11 апреля 2021;506 653;0,019;
12 апреля 2021 – 18 апреля 2021;497 084;0,020;
19 апреля 2021 – 25 апреля 2021;538 412;0,021;
26 апреля 2021 – 2 мая 2021;475 690;0,020;
3 мая 2021 – 9 мая 2021;459 676;0,021;
10 мая 2021 – 16 мая 2021;494 510;0,020;
17 мая 2021 – 23 мая 2021;500 294;0,020;
24 мая 2021 – 30 мая 2021;496 366;0,021;
31 мая 2021 – 6 июня 2021;528 470;0,022;
7 июня 2021 – 13 июня 2021;541 229;0,023;
14 июня 2021 – 20 июня 2021;523 942;0,023;
21 июня 2021 – 27 июня 2021;533 228;0,023;
28 июня 2021 – 4 июля 2021;537 550;0,024;
5 июля 2021 – 11 июля 2021;527 032;0,024;
12 июля 2021 – 18 июля 2021;533 397;0,024;
19 июля 2021 – 25 июля 2021;543 101;0,024;
26 июля 2021 – 1 августа 2021;523 767;0,023;
2 августа 2021 – 8 августа 2021;524 810;0,023;
9 августа 2021 – 15 августа 2021;532 096;0,023;
16 августа 2021 – 22 августа 2021;554 749;0,024;
23 августа 2021 – 29 августа 2021;538 417;0,023;
30 августа 2021 – 5 сентября 2021;484 710;0,020;
6 сентября 2021 – 12 сентября 2021;468 162;0,019;
13 сентября 2021 – 19 сентября 2021;470 303;0,018;
20 сентября 2021 – 26 сентября 2021;480 597;0,018;
27 сентября 2021 – 3 октября 2021;471 882;0,018;
4 октября 2021 – 10 октября 2021;499 558;0,019;
11 октября 2021 – 17 октября 2021;504 131;0,019;
18 октября 2021 – 24 октября 2021;498 564;0,018;
25 октября 2021 – 31 октября 2021;476 637;0,018;
1 ноября 2021 – 7 ноября 2021;489 858;0,019;
8 ноября 2021 – 14 ноября 2021;494 834;0,018;
15 ноября 2021 – 21 ноября 2021;525 144;0,019;
22 ноября 2021 – 28 ноября 2021;519 080;0,018;
29 ноября 2021 – 5 декабря 2021;491 794;0,018;
6 декабря 2021 – 12 декабря 2021;515 836;0,018;
13 декабря 2021 – 19 декабря 2021;540 234;0,019;
20 декабря 2021 – 26 декабря 2021;531 079;0,019;
27 декабря 2021 – 2 января 2022;435 082;0,019;
3 января 2022 – 9 января 2022;582 658;0,024;
10 января 2022 – 16 января 2022;614 435;0,022;
17 января 2022 – 23 января 2022;599 342;0,021;
24 января 2022 – 30 января 2022;597 327;0,020;
31 января 2022 – 6 февраля 2022;577 848;0,019;
7 февраля 2022 – 13 февраля 2022;626 865;0,020;
14 февраля 2022 – 20 февраля 2022;561 818;0,019;
21 февраля 2022 – 27 февраля 2022;493 818;0,017;
28 февраля 2022 – 6 марта 2022;430 013;0,014;
7 марта 2022 – 13 марта 2022;470 079;0,016;
14 марта 2022 – 20 марта 2022;515 775;0,017;
21 марта 2022 – 27 марта 2022;548 472;0,019;
28 марта 2022 – 3 апреля 2022;542 326;0,019;
4 апреля 2022 – 10 апреля 2022;544 214;0,019;
11 апреля 2022 – 17 апреля 2022;535 780;0,019;
18 апреля 2022 – 24 апреля 2022;516 694;0,018;
25 апреля 2022 – 1 мая 2022;500 901;0,018;
2 мая 2022 – 8 мая 2022;507 720;0,020;
9 мая 2022 – 15 мая 2022;520 087;0,019;
16 мая 2022 – 22 мая 2022;572 419;0,020;
23 мая 2022 – 29 мая 2022;548 873;0,020;
30 мая 2022 – 5 июня 2022;530 129;0,020;
6 июня 2022 – 12 июня 2022;561 408;0,022;
13 июня 2022 – 19 июня 2022;590 393;0,024;
20 июня 2022 – 26 июня 2022;611 420;0,024;
27 июня 2022 – 3 июля 2022;610 885;0,025;
4 июля 2022 – 10 июля 2022;689 285;0,029;
11 июля 2022 – 17 июля 2022;726 420;0,030;
18 июля 2022 – 24 июля 2022;642 612;0,027;
25 июля 2022 – 31 июля 2022;652 680;0,027;
1 августа 2022 – 7 августа 2022;630 852;0,026;
8 августа 2022 – 14 августа 2022;617 995;0,026;
15 августа 2022 – 21 августа 2022;615 588;0,025;
22 августа 2022 – 28 августа 2022;590 262;0,024;
29 августа 2022 – 4 сентября 2022;545 838;0,021;
5 сентября 2022 – 11 сентября 2022;522 287;0,019;
12 сентября 2022 – 18 сентября 2022;517 704;0,018;
19 сентября 2022 – 25 сентября 2022;547 172;0,019;
26 сентября 2022 – 2 октября 2022;523 685;0,019;
3 октября 2022 – 9 октября 2022;724 601;0,026;
10 октября 2022 – 16 октября 2022;767 170;0,027;
17 октября 2022 – 23 октября 2022;636 963;0,021;
24 октября 2022 – 30 октября 2022;571 866;0,020;
31 октября 2022 – 6 ноября 2022;590 140;0,021;
7 ноября 2022 – 13 ноября 2022;571 717;0,019;
14 ноября 2022 – 20 ноября 2022;552 740;0,018;
21 ноября 2022 – 27 ноября 2022;573 363;0,019;
28 ноября 2022 – 4 декабря 2022;549 575;0,018;
5 декабря 2022 – 11 декабря 2022;516 688;0,017;
12 декабря 2022 – 18 декабря 2022;480 368;0,016;
19 декабря 2022 – 25 декабря 2022;473 609;0,016;
26 декабря 2022 – 1 января 2023;371 625;0,015;
2 января 2023 – 8 января 2023;493 961;0,020;
9 января 2023 – 15 января 2023;529 371;0,018;
16 января 2023 – 22 января 2023;531 660;0,018;
23 января 2023 – 29 января 2023;532 924;0,018;
30 января 2023 – 5 февраля 2023;528 512;0,018;
6 февраля 2023 – 12 февраля 2023;511 343;0,017;
13 февраля 2023 – 19 февраля 2023;509 644;0,017;
20 февраля 2023 – 26 февраля 2023;465 622;0,017;
27 февраля 2023 – 5 марта 2023;584 300;0,020;
6 марта 2023 – 12 марта 2023;509 324;0,018;
13 марта 2023 – 19 марта 2023;514 365;0,018;
20 марта 2023 – 26 марта 2023;498 278;0,018;
27 марта 2023 – 2 апреля 2023;501 010;0,018;
3 апреля 2023 – 9 апреля 2023;498 234;0,018;
10 апреля 2023 – 16 апреля 2023;496 267;0,018;
17 апреля 2023 – 23 апреля 2023;486 128;0,018;
24 апреля 2023 – 30 апреля 2023;458 146;0,017;
1 мая 2023 – 7 мая 2023;436 733;0,017;
8 мая 2023 – 14 мая 2023;447 208;0,017;
15 мая 2023 – 21 мая 2023;464 439;0,017;
22 мая 2023 – 28 мая 2023;457 051;0,018;
29 мая 2023 – 4 июня 2023;459 526;0,018;
5 июня 2023 – 11 июня 2023;561 981;0,023;
12 июня 2023 – 18 июня 2023;503 300;0,021;
19 июня 2023 – 25 июня 2023;474 829;0,019;
26 июня 2023 – 2 июля 2023;477 103;0,020;
3 июля 2023 – 9 июля 2023;489 325;0,021;
10 июля 2023 – 16 июля 2023;497 099;0,021;
17 июля 2023 – 23 июля 2023;493 304;0,021;
24 июля 2023 – 30 июля 2023;500 189;0,021;
31 июля 2023 – 6 августа 2023;506 047;0,022;
7 августа 2023 – 13 августа 2023;537 774;0,023;
14 августа 2023 – 20 августа 2023;504 527;0,022;
21 августа 2023 – 27 августа 2023;468 572;0,020;
28 августа 2023 – 3 сентября 2023;440 349;0,019;
4 сентября 2023 – 10 сентября 2023;450 152;0,018;
11 сентября 2023 – 17 сентября 2023;465 763;0,018;
18 сентября 2023 – 24 сентября 2023;481 179;0,018;
25 сентября 2023 – 1 октября 2023;491 709;0,018;
2 октября 2023 – 8 октября 2023;482 853;0,018;
9 октября 2023 – 15 октября 2023;488 656;0,018;
16 октября 2023 – 22 октября 2023;511 690;0,018;
23 октября 2023 – 29 октября 2023;503 701;0,018;
30 октября 2023 – 5 ноября 2023;503 180;0,019;
6 ноября 2023 – 12 ноября 2023;530 977;0,019;
13 ноября 2023 – 19 ноября 2023;532 150;0,019;
20 ноября 2023 – 26 ноября 2023;513 877;0,018;
27 ноября 2023 – 3 декабря 2023;513 317;0,018;
4 декабря 2023 – 10 декабря 2023;497 929;0,017;
11 декабря 2023 – 17 декабря 2023;508 451;0,018;
18 декабря 2023 – 24 декабря 2023;484 697;0,017;
25 декабря 2023 – 31 декабря 2023;387 027;0,016;
1 января 2024 – 7 января 2024;453 725;0,019;
8 января 2024 – 14 января 2024;546 725;0,020;
15 января 2024 – 21 января 2024;552 396;0,019;
22 января 2024 – 28 января 2024;570 667;0,020;
29 января 2024 – 4 февраля 2024;580 768;0,020;
5 февраля 2024 – 11 февраля 2024;566 985;0,019;
12 февраля 2024 – 18 февраля 2024;555 893;0,019;
19 февраля 2024 – 25 февраля 2024;535 167;0,019;
