Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ремонт ступицы», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;549;0,000037;
08.01.2018;718;0,000041;
15.01.2018;604;0,000033;
22.01.2018;642;0,000034;
29.01.2018;798;0,000042;
05.02.2018;727;0,000037;
12.02.2018;679;0,000036;
19.02.2018;719;0,000037;
26.02.2018;687;0,000034;
05.03.2018;778;0,000042;
12.03.2018;816;0,000041;
19.03.2018;801;0,000042;
26.03.2018;710;0,000038;
02.04.2018;889;0,000050;
09.04.2018;1 149;0,000065;
16.04.2018;1 282;0,000072;
23.04.2018;1 124;0,000062;
30.04.2018;996;0,000063;
07.05.2018;929;0,000055;
14.05.2018;988;0,000056;
21.05.2018;897;0,000053;
28.05.2018;896;0,000053;
04.06.2018;929;0,000055;
11.06.2018;926;0,000059;
18.06.2018;839;0,000051;
25.06.2018;799;0,000050;
02.07.2018;771;0,000048;
09.07.2018;722;0,000047;
16.07.2018;718;0,000046;
23.07.2018;803;0,000051;
30.07.2018;858;0,000054;
06.08.2018;796;0,000050;
13.08.2018;846;0,000053;
20.08.2018;709;0,000045;
27.08.2018;763;0,000047;
03.09.2018;831;0,000047;
10.09.2018;843;0,000046;
17.09.2018;938;0,000049;
24.09.2018;913;0,000045;
01.10.2018;840;0,000041;
08.10.2018;977;0,000047;
15.10.2018;935;0,000045;
22.10.2018;974;0,000047;
29.10.2018;977;0,000048;
05.11.2018;927;0,000048;
12.11.2018;763;0,000038;
19.11.2018;775;0,000039;
26.11.2018;773;0,000039;
03.12.2018;658;0,000032;
10.12.2018;618;0,000031;
17.12.2018;558;0,000028;
24.12.2018;507;0,000028;
31.12.2018;446;0,000028;
07.01.2019;563;0,000029;
14.01.2019;582;0,000028;
21.01.2019;603;0,000028;
28.01.2019;589;0,000028;
04.02.2019;688;0,000032;
11.02.2019;688;0,000032;
18.02.2019;599;0,000029;
25.02.2019;789;0,000038;
04.03.2019;682;0,000035;
11.03.2019;774;0,000037;
18.03.2019;1 007;0,000050;
25.03.2019;1 024;0,000052;
01.04.2019;969;0,000049;
08.04.2019;1 153;0,000059;
15.04.2019;1 213;0,000062;
22.04.2019;1 240;0,000067;
29.04.2019;864;0,000051;
06.05.2019;1 021;0,000061;
13.05.2019;1 082;0,000057;
20.05.2019;945;0,000050;
27.05.2019;847;0,000048;
03.06.2019;845;0,000048;
10.06.2019;803;0,000047;
17.06.2019;1 058;0,000063;
24.06.2019;808;0,000047;
01.07.2019;822;0,000049;
08.07.2019;698;0,000042;
15.07.2019;1 152;0,000070;
22.07.2019;804;0,000049;
29.07.2019;818;0,000049;
05.08.2019;818;0,000048;
12.08.2019;775;0,000047;
