Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «сделать аборт», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;9 276;0,00063;
8 января 2018 – 14 января 2018;10 906;0,00063;
15 января 2018 – 21 января 2018;10 895;0,00059;
22 января 2018 – 28 января 2018;10 860;0,00057;
29 января 2018 – 4 февраля 2018;11 029;0,00058;
5 февраля 2018 – 11 февраля 2018;10 995;0,00057;
12 февраля 2018 – 18 февраля 2018;9 657;0,00051;
19 февраля 2018 – 25 февраля 2018;11 230;0,00057;
26 февраля 2018 – 4 марта 2018;11 389;0,00056;
5 марта 2018 – 11 марта 2018;10 649;0,00058;
12 марта 2018 – 18 марта 2018;12 094;0,00061;
19 марта 2018 – 25 марта 2018;11 339;0,00060;
26 марта 2018 – 1 апреля 2018;10 070;0,00055;
2 апреля 2018 – 8 апреля 2018;9 665;0,00054;
9 апреля 2018 – 15 апреля 2018;9 547;0,00054;
16 апреля 2018 – 22 апреля 2018;8 965;0,00050;
23 апреля 2018 – 29 апреля 2018;10 080;0,00056;
30 апреля 2018 – 6 мая 2018;9 316;0,00059;
7 мая 2018 – 13 мая 2018;8 915;0,00053;
14 мая 2018 – 20 мая 2018;9 323;0,00053;
21 мая 2018 – 27 мая 2018;9 031;0,00054;
28 мая 2018 – 3 июня 2018;9 088;0,00054;
4 июня 2018 – 10 июня 2018;14 104;0,00084;
11 июня 2018 – 17 июня 2018;9 295;0,00059;
18 июня 2018 – 24 июня 2018;9 723;0,00059;
25 июня 2018 – 1 июля 2018;9 643;0,00060;
2 июля 2018 – 8 июля 2018;9 682;0,00061;
9 июля 2018 – 15 июля 2018;9 924;0,00065;
16 июля 2018 – 22 июля 2018;9 703;0,00062;
23 июля 2018 – 29 июля 2018;9 872;0,00062;
30 июля 2018 – 5 августа 2018;9 937;0,00063;
6 августа 2018 – 12 августа 2018;9 710;0,00061;
13 августа 2018 – 19 августа 2018;10 177;0,00063;
20 августа 2018 – 26 августа 2018;9 441;0,00060;
27 августа 2018 – 2 сентября 2018;9 242;0,00057;
3 сентября 2018 – 9 сентября 2018;9 882;0,00056;
10 сентября 2018 – 16 сентября 2018;9 424;0,00052;
17 сентября 2018 – 23 сентября 2018;9 622;0,00050;
24 сентября 2018 – 30 сентября 2018;9 861;0,00048;
1 октября 2018 – 7 октября 2018;9 977;0,00048;
8 октября 2018 – 14 октября 2018;10 456;0,00050;
15 октября 2018 – 21 октября 2018;11 114;0,00053;
22 октября 2018 – 28 октября 2018;11 272;0,00054;
29 октября 2018 – 4 ноября 2018;10 523;0,00052;
5 ноября 2018 – 11 ноября 2018;10 690;0,00055;
12 ноября 2018 – 18 ноября 2018;11 297;0,00056;
19 ноября 2018 – 25 ноября 2018;11 652;0,00058;
