Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «средство от поноса», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;3 314;0,000227;
8 января 2018 – 14 января 2018;2 962;0,000172;
15 января 2018 – 21 января 2018;2 652;0,000144;
22 января 2018 – 28 января 2018;2 989;0,000158;
29 января 2018 – 4 февраля 2018;2 856;0,000152;
5 февраля 2018 – 11 февраля 2018;2 985;0,000156;
12 февраля 2018 – 18 февраля 2018;3 219;0,000172;
19 февраля 2018 – 25 февраля 2018;3 106;0,000159;
26 февраля 2018 – 4 марта 2018;3 236;0,000161;
5 марта 2018 – 11 марта 2018;3 423;0,000186;
12 марта 2018 – 18 марта 2018;3 286;0,000167;
19 марта 2018 – 25 марта 2018;3 171;0,000169;
26 марта 2018 – 1 апреля 2018;3 061;0,000167;
2 апреля 2018 – 8 апреля 2018;2 753;0,000156;
9 апреля 2018 – 15 апреля 2018;2 945;0,000167;
16 апреля 2018 – 22 апреля 2018;3 036;0,000171;
23 апреля 2018 – 29 апреля 2018;2 946;0,000164;
30 апреля 2018 – 6 мая 2018;2 890;0,000184;
7 мая 2018 – 13 мая 2018;2 783;0,000167;
14 мая 2018 – 20 мая 2018;2 812;0,000161;
21 мая 2018 – 27 мая 2018;2 843;0,000171;
28 мая 2018 – 3 июня 2018;2 925;0,000175;
4 июня 2018 – 10 июня 2018;2 938;0,000175;
11 июня 2018 – 17 июня 2018;3 099;0,000199;
18 июня 2018 – 24 июня 2018;3 191;0,000196;
25 июня 2018 – 1 июля 2018;3 161;0,000198;
2 июля 2018 – 8 июля 2018;4 988;0,000314;
9 июля 2018 – 15 июля 2018;3 412;0,000224;
16 июля 2018 – 22 июля 2018;3 729;0,000240;
23 июля 2018 – 29 июля 2018;4 538;0,000288;
30 июля 2018 – 5 августа 2018;5 111;0,000324;
6 августа 2018 – 12 августа 2018;5 764;0,000365;
13 августа 2018 – 19 августа 2018;5 131;0,000321;
20 августа 2018 – 26 августа 2018;4 757;0,000306;
27 августа 2018 – 2 сентября 2018;4 527;0,000283;
3 сентября 2018 – 9 сентября 2018;4 451;0,000256;
10 сентября 2018 – 16 сентября 2018;4 479;0,000249;
17 сентября 2018 – 23 сентября 2018;4 231;0,000221;
24 сентября 2018 – 30 сентября 2018;3 776;0,000186;
1 октября 2018 – 7 октября 2018;3 518;0,000172;
8 октября 2018 – 14 октября 2018;3 300;0,000159;
15 октября 2018 – 21 октября 2018;3 171;0,000153;
22 октября 2018 – 28 октября 2018;2 907;0,000141;
29 октября 2018 – 4 ноября 2018;2 689;0,000133;
5 ноября 2018 – 11 ноября 2018;2 824;0,000147;
12 ноября 2018 – 18 ноября 2018;2 722;0,000136;
19 ноября 2018 – 25 ноября 2018;2 722;0,000137;
26 ноября 2018 – 2 декабря 2018;2 505;0,000127;
3 декабря 2018 – 9 декабря 2018;2 771;0,000135;
10 декабря 2018 – 16 декабря 2018;2 881;0,000145;
17 декабря 2018 – 23 декабря 2018;2 786;0,000141;
24 декабря 2018 – 30 декабря 2018;2 812;0,000156;
31 декабря 2018 – 6 января 2019;3 529;0,000222;
7 января 2019 – 13 января 2019;3 194;0,000167;
14 января 2019 – 20 января 2019;3 035;0,000146;
21 января 2019 – 27 января 2019;3 002;0,000141;
28 января 2019 – 3 февраля 2019;3 221;0,000154;
4 февраля 2019 – 10 февраля 2019;3 037;0,000143;
11 февраля 2019 – 17 февраля 2019;2 964;0,000142;
18 февраля 2019 – 24 февраля 2019;3 039;0,000149;
25 февраля 2019 – 3 марта 2019;2 955;0,000142;
4 марта 2019 – 10 марта 2019;3 125;0,000163;
11 марта 2019 – 17 марта 2019;3 241;0,000158;
18 марта 2019 – 24 марта 2019;3 016;0,000150;
25 марта 2019 – 31 марта 2019;3 206;0,000165;
1 апреля 2019 – 7 апреля 2019;3 085;0,000158;
8 апреля 2019 – 14 апреля 2019;3 201;0,000164;
15 апреля 2019 – 21 апреля 2019;3 204;0,000164;
22 апреля 2019 – 28 апреля 2019;3 049;0,000166;
29 апреля 2019 – 5 мая 2019;3 375;0,000201;
6 мая 2019 – 12 мая 2019;3 152;0,000190;
13 мая 2019 – 19 мая 2019;3 107;0,000165;
20 мая 2019 – 26 мая 2019;3 066;0,000165;
27 мая 2019 – 2 июня 2019;2 973;0,000168;
3 июня 2019 – 9 июня 2019;3 238;0,000187;
10 июня 2019 – 16 июня 2019;3 595;0,000213;
17 июня 2019 – 23 июня 2019;3 544;0,000213;
24 июня 2019 – 30 июня 2019;3 900;0,000231;
1 июля 2019 – 7 июля 2019;3 872;0,000233;
8 июля 2019 – 14 июля 2019;4 000;0,000244;
15 июля 2019 – 21 июля 2019;4 788;0,000294;
22 июля 2019 – 28 июля 2019;4 115;0,000253;
29 июля 2019 – 4 августа 2019;4 236;0,000256;
5 августа 2019 – 11 августа 2019;4 249;0,000254;
12 августа 2019 – 18 августа 2019;4 117;0,000251;
19 августа 2019 – 25 августа 2019;4 170;0,000259;
26 августа 2019 – 1 сентября 2019;4 068;0,000252;
2 сентября 2019 – 8 сентября 2019;4 149;0,000244;
9 сентября 2019 – 15 сентября 2019;4 085;0,000227;
16 сентября 2019 – 22 сентября 2019;4 028;0,000212;
23 сентября 2019 – 29 сентября 2019;3 532;0,000184;
30 сентября 2019 – 6 октября 2019;3 174;0,000163;
7 октября 2019 – 13 октября 2019;3 170;0,000160;
14 октября 2019 – 20 октября 2019;3 102;0,000155;
21 октября 2019 – 27 октября 2019;3 003;0,000150;
28 октября 2019 – 3 ноября 2019;2 927;0,000151;
4 ноября 2019 – 10 ноября 2019;2 964;0,000148;
11 ноября 2019 – 17 ноября 2019;2 895;0,000141;
18 ноября 2019 – 24 ноября 2019;2 975;0,000140;
25 ноября 2019 – 1 декабря 2019;3 001;0,000137;
2 декабря 2019 – 8 декабря 2019;3 119;0,000144;
9 декабря 2019 – 15 декабря 2019;3 336;0,000155;
16 декабря 2019 – 22 декабря 2019;3 510;0,000163;
23 декабря 2019 – 29 декабря 2019;3 204;0,000161;
30 декабря 2019 – 5 января 2020;3 674;0,000211;
6 января 2020 – 12 января 2020;3 854;0,000191;
13 января 2020 – 19 января 2020;3 353;0,000145;
20 января 2020 – 26 января 2020;3 635;0,000150;
27 января 2020 – 2 февраля 2020;3 389;0,000152;
3 февраля 2020 – 9 февраля 2020;3 527;0,000159;
10 февраля 2020 – 16 февраля 2020;3 324;0,000147;
17 февраля 2020 – 23 февраля 2020;3 299;0,000148;
24 февраля 2020 – 1 марта 2020;3 573;0,000162;
2 марта 2020 – 8 марта 2020;3 101;0,000144;
9 марта 2020 – 15 марта 2020;3 387;0,000154;
16 марта 2020 – 22 марта 2020;3 303;0,000148;
23 марта 2020 – 29 марта 2020;2 838;0,000128;
30 марта 2020 – 5 апреля 2020;2 950;0,000125;
6 апреля 2020 – 12 апреля 2020;2 492;0,000089;
13 апреля 2020 – 19 апреля 2020;2 495;0,000087;
20 апреля 2020 – 26 апреля 2020;2 754;0,000096;
27 апреля 2020 – 3 мая 2020;2 685;0,000103;
4 мая 2020 – 10 мая 2020;2 999;0,000130;
11 мая 2020 – 17 мая 2020;2 982;0,000114;
18 мая 2020 – 24 мая 2020;3 028;0,000117;
25 мая 2020 – 31 мая 2020;3 028;0,000132;
1 июня 2020 – 7 июня 2020;3 474;0,000158;
8 июня 2020 – 14 июня 2020;3 290;0,000162;
15 июня 2020 – 21 июня 2020;3 409;0,000166;
22 июня 2020 – 28 июня 2020;3 537;0,000177;
29 июня 2020 – 5 июля 2020;3 446;0,000176;
6 июля 2020 – 12 июля 2020;3 505;0,000185;
13 июля 2020 – 19 июля 2020;3 967;0,000211;
20 июля 2020 – 26 июля 2020;4 242;0,000225;
27 июля 2020 – 2 августа 2020;3 969;0,000211;
3 августа 2020 – 9 августа 2020;4 037;0,000215;
10 августа 2020 – 16 августа 2020;4 365;0,000231;
17 августа 2020 – 23 августа 2020;4 319;0,000228;
24 августа 2020 – 30 августа 2020;4 035;0,000211;
31 августа 2020 – 6 сентября 2020;3 946;0,000198;
7 сентября 2020 – 13 сентября 2020;3 799;0,000176;
14 сентября 2020 – 20 сентября 2020;3 914;0,000174;
21 сентября 2020 – 27 сентября 2020;3 767;0,000165;
28 сентября 2020 – 4 октября 2020;3 821;0,000166;
5 октября 2020 – 11 октября 2020;4 058;0,000172;
12 октября 2020 – 18 октября 2020;4 028;0,000165;
19 октября 2020 – 25 октября 2020;3 879;0,000155;
26 октября 2020 – 1 ноября 2020;4 090;0,000163;
2 ноября 2020 – 8 ноября 2020;3 886;0,000156;
9 ноября 2020 – 15 ноября 2020;3 824;0,000143;
16 ноября 2020 – 22 ноября 2020;3 508;0,000128;
23 ноября 2020 – 29 ноября 2020;3 575;0,000129;
30 ноября 2020 – 6 декабря 2020;3 434;0,000130;
7 декабря 2020 – 13 декабря 2020;3 291;0,000127;
14 декабря 2020 – 20 декабря 2020;3 330;0,000129;
21 декабря 2020 – 27 декабря 2020;3 124;0,000127;
28 декабря 2020 – 3 января 2021;3 145;0,000158;
4 января 2021 – 10 января 2021;3 799;0,000178;
11 января 2021 – 17 января 2021;3 329;0,000135;
18 января 2021 – 24 января 2021;3 211;0,000129;
25 января 2021 – 31 января 2021;3 467;0,000140;
1 февраля 2021 – 7 февраля 2021;3 402;0,000139;
8 февраля 2021 – 14 февраля 2021;3 593;0,000142;
15 февраля 2021 – 21 февраля 2021;3 264;0,000128;
22 февраля 2021 – 28 февраля 2021;3 430;0,000141;
1 марта 2021 – 7 марта 2021;3 438;0,000142;
8 марта 2021 – 14 марта 2021;3 796;0,000154;
15 марта 2021 – 21 марта 2021;3 943;0,000158;
22 марта 2021 – 28 марта 2021;3 667;0,000154;
29 марта 2021 – 4 апреля 2021;4 168;0,000170;
5 апреля 2021 – 11 апреля 2021;4 503;0,000177;
12 апреля 2021 – 18 апреля 2021;4 361;0,000175;
19 апреля 2021 – 25 апреля 2021;4 604;0,000182;
26 апреля 2021 – 2 мая 2021;4 375;0,000184;
3 мая 2021 – 9 мая 2021;4 910;0,000225;
10 мая 2021 – 16 мая 2021;4 329;0,000182;
17 мая 2021 – 23 мая 2021;4 631;0,000188;
24 мая 2021 – 30 мая 2021;4 610;0,000195;
31 мая 2021 – 6 июня 2021;4 762;0,000205;
7 июня 2021 – 13 июня 2021;5 623;0,000239;
14 июня 2021 – 20 июня 2021;6 138;0,000272;
21 июня 2021 – 27 июня 2021;6 369;0,000281;
28 июня 2021 – 4 июля 2021;6 868;0,000307;
5 июля 2021 – 11 июля 2021;6 860;0,000316;
12 июля 2021 – 18 июля 2021;7 499;0,000347;
19 июля 2021 – 25 июля 2021;8 769;0,000401;
26 июля 2021 – 1 августа 2021;9 112;0,000412;
2 августа 2021 – 8 августа 2021;8 991;0,000404;
9 августа 2021 – 15 августа 2021;9 888;0,000444;
16 августа 2021 – 22 августа 2021;9 962;0,000442;
23 августа 2021 – 29 августа 2021;9 687;0,000422;
30 августа 2021 – 5 сентября 2021;8 247;0,000350;
6 сентября 2021 – 12 сентября 2021;6 643;0,000278;
13 сентября 2021 – 19 сентября 2021;6 284;0,000250;
20 сентября 2021 – 26 сентября 2021;5 439;0,000211;
27 сентября 2021 – 3 октября 2021;5 072;0,000202;
4 октября 2021 – 10 октября 2021;4 756;0,000189;
11 октября 2021 – 17 октября 2021;4 916;0,000187;
18 октября 2021 – 24 октября 2021;4 660;0,000176;
25 октября 2021 – 31 октября 2021;4 518;0,000176;
1 ноября 2021 – 7 ноября 2021;4 598;0,000186;
8 ноября 2021 – 14 ноября 2021;4 119;0,000151;
15 ноября 2021 – 21 ноября 2021;4 140;0,000150;
22 ноября 2021 – 28 ноября 2021;4 154;0,000151;
29 ноября 2021 – 5 декабря 2021;4 000;0,000147;
6 декабря 2021 – 12 декабря 2021;3 908;0,000142;
13 декабря 2021 – 19 декабря 2021;4 065;0,000146;
20 декабря 2021 – 26 декабря 2021;4 180;0,000153;
27 декабря 2021 – 2 января 2022;4 211;0,000186;
3 января 2022 – 9 января 2022;5 057;0,000216;
10 января 2022 – 16 января 2022;4 388;0,000160;
17 января 2022 – 23 января 2022;4 530;0,000160;
24 января 2022 – 30 января 2022;4 839;0,000167;
31 января 2022 – 6 февраля 2022;5 003;0,000169;
7 февраля 2022 – 13 февраля 2022;5 139;0,000170;
14 февраля 2022 – 20 февраля 2022;4 905;0,000166;
21 февраля 2022 – 27 февраля 2022;4 694;0,000166;
28 февраля 2022 – 6 марта 2022;4 345;0,000151;
7 марта 2022 – 13 марта 2022;4 608;0,000165;
14 марта 2022 – 20 марта 2022;4 626;0,000158;
21 марта 2022 – 27 марта 2022;4 879;0,000172;
28 марта 2022 – 3 апреля 2022;4 924;0,000173;
4 апреля 2022 – 10 апреля 2022;4 788;0,000168;
11 апреля 2022 – 17 апреля 2022;4 872;0,000174;
18 апреля 2022 – 24 апреля 2022;4 706;0,000170;
25 апреля 2022 – 1 мая 2022;4 933;0,000186;
2 мая 2022 – 8 мая 2022;5 310;0,000212;
9 мая 2022 – 15 мая 2022;4 886;0,000181;
16 мая 2022 – 22 мая 2022;4 591;0,000161;
23 мая 2022 – 29 мая 2022;4 498;0,000164;
30 мая 2022 – 5 июня 2022;4 475;0,000176;
6 июня 2022 – 12 июня 2022;4 804;0,000194;
13 июня 2022 – 19 июня 2022;5 012;0,000203;
20 июня 2022 – 26 июня 2022;5 013;0,000197;
27 июня 2022 – 3 июля 2022;5 359;0,000224;
4 июля 2022 – 10 июля 2022;5 692;0,000244;
11 июля 2022 – 17 июля 2022;6 829;0,000288;
18 июля 2022 – 24 июля 2022;7 131;0,000302;
25 июля 2022 – 31 июля 2022;7 228;0,000306;
1 августа 2022 – 7 августа 2022;7 782;0,000330;
8 августа 2022 – 14 августа 2022;7 912;0,000334;
15 августа 2022 – 21 августа 2022;8 231;0,000339;
22 августа 2022 – 28 августа 2022;8 148;0,000334;
29 августа 2022 – 4 сентября 2022;7 744;0,000307;
5 сентября 2022 – 11 сентября 2022;6 882;0,000254;
12 сентября 2022 – 18 сентября 2022;6 074;0,000222;
19 сентября 2022 – 25 сентября 2022;5 810;0,000209;
26 сентября 2022 – 2 октября 2022;5 931;0,000218;
3 октября 2022 – 9 октября 2022;5 231;0,000192;
10 октября 2022 – 16 октября 2022;4 909;0,000178;
17 октября 2022 – 23 октября 2022;4 735;0,000163;
24 октября 2022 – 30 октября 2022;4 507;0,000159;
31 октября 2022 – 6 ноября 2022;4 687;0,000169;
7 ноября 2022 – 13 ноября 2022;4 577;0,000159;
14 ноября 2022 – 20 ноября 2022;4 318;0,000144;
21 ноября 2022 – 27 ноября 2022;4 055;0,000135;
28 ноября 2022 – 4 декабря 2022;4 072;0,000137;
5 декабря 2022 – 11 декабря 2022;4 149;0,000140;
12 декабря 2022 – 18 декабря 2022;4 129;0,000140;
19 декабря 2022 – 25 декабря 2022;4 035;0,000139;
26 декабря 2022 – 1 января 2023;3 805;0,000158;
2 января 2023 – 8 января 2023;4 450;0,000183;
9 января 2023 – 15 января 2023;4 021;0,000141;
16 января 2023 – 22 января 2023;4 007;0,000138;
23 января 2023 – 29 января 2023;4 302;0,000148;
30 января 2023 – 5 февраля 2023;4 296;0,000149;
6 февраля 2023 – 12 февраля 2023;4 373;0,000151;
13 февраля 2023 – 19 февраля 2023;4 648;0,000161;
20 февраля 2023 – 26 февраля 2023;4 780;0,000176;
27 февраля 2023 – 5 марта 2023;4 730;0,000164;
6 марта 2023 – 12 марта 2023;4 702;0,000171;
13 марта 2023 – 19 марта 2023;4 568;0,000160;
20 марта 2023 – 26 марта 2023;4 718;0,000171;
27 марта 2023 – 2 апреля 2023;4 950;0,000181;
3 апреля 2023 – 9 апреля 2023;4 587;0,000167;
10 апреля 2023 – 16 апреля 2023;4 898;0,000181;
17 апреля 2023 – 23 апреля 2023;5 327;0,000198;
24 апреля 2023 – 30 апреля 2023;4 805;0,000182;
1 мая 2023 – 7 мая 2023;4 626;0,000182;
8 мая 2023 – 14 мая 2023;4 724;0,000188;
15 мая 2023 – 21 мая 2023;4 428;0,000170;
22 мая 2023 – 28 мая 2023;4 600;0,000184;
29 мая 2023 – 4 июня 2023;4 649;0,000190;
5 июня 2023 – 11 июня 2023;5 170;0,000215;
12 июня 2023 – 18 июня 2023;5 072;0,000217;
19 июня 2023 – 25 июня 2023;5 003;0,000209;
26 июня 2023 – 2 июля 2023;5 093;0,000219;
3 июля 2023 – 9 июля 2023;5 037;0,000223;
10 июля 2023 – 16 июля 2023;5 786;0,000252;
17 июля 2023 – 23 июля 2023;5 912;0,000260;
24 июля 2023 – 30 июля 2023;6 216;0,000272;
31 июля 2023 – 6 августа 2023;6 508;0,000291;
7 августа 2023 – 13 августа 2023;6 825;0,000299;
14 августа 2023 – 20 августа 2023;6 811;0,000303;
21 августа 2023 – 27 августа 2023;6 422;0,000287;
28 августа 2023 – 3 сентября 2023;5 826;0,000261;
4 сентября 2023 – 10 сентября 2023;5 972;0,000245;
11 сентября 2023 – 17 сентября 2023;5 541;0,000219;
18 сентября 2023 – 24 сентября 2023;5 099;0,000198;
25 сентября 2023 – 1 октября 2023;4 902;0,000188;
2 октября 2023 – 8 октября 2023;4 744;0,000180;
9 октября 2023 – 15 октября 2023;4 431;0,000165;
16 октября 2023 – 22 октября 2023;4 529;0,000165;
23 октября 2023 – 29 октября 2023;4 288;0,000159;
30 октября 2023 – 5 ноября 2023;4 234;0,000166;
6 ноября 2023 – 12 ноября 2023;4 405;0,000165;
13 ноября 2023 – 19 ноября 2023;4 061;0,000147;
20 ноября 2023 – 26 ноября 2023;4 102;0,000147;
27 ноября 2023 – 3 декабря 2023;4 101;0,000145;
4 декабря 2023 – 10 декабря 2023;3 885;0,000136;
11 декабря 2023 – 17 декабря 2023;3 938;0,000141;
18 декабря 2023 – 24 декабря 2023;4 279;0,000156;
25 декабря 2023 – 31 декабря 2023;4 110;0,000172;
1 января 2024 – 7 января 2024;4 887;0,000209;
8 января 2024 – 14 января 2024;4 534;0,000168;
15 января 2024 – 21 января 2024;4 186;0,000148;
22 января 2024 – 28 января 2024;4 541;0,000159;
29 января 2024 – 4 февраля 2024;4 585;0,000160;
5 февраля 2024 – 11 февраля 2024;5 189;0,000179;
12 февраля 2024 – 18 февраля 2024;5 170;0,000179;
19 февраля 2024 – 25 февраля 2024;5 112;0,000185;
