Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «телеграмм», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;174 376;0,0119;
8 января 2018 – 14 января 2018;237 716;0,0138;
15 января 2018 – 21 января 2018;250 127;0,0136;
22 января 2018 – 28 января 2018;259 396;0,0137;
29 января 2018 – 4 февраля 2018;267 183;0,0142;
5 февраля 2018 – 11 февраля 2018;282 302;0,0147;
12 февраля 2018 – 18 февраля 2018;279 236;0,0149;
19 февраля 2018 – 25 февраля 2018;273 524;0,0140;
26 февраля 2018 – 4 марта 2018;301 020;0,0149;
5 марта 2018 – 11 марта 2018;276 076;0,0150;
12 марта 2018 – 18 марта 2018;309 373;0,0157;
19 марта 2018 – 25 марта 2018;301 949;0,0161;
26 марта 2018 – 1 апреля 2018;345 632;0,0189;
2 апреля 2018 – 8 апреля 2018;287 555;0,0163;
9 апреля 2018 – 15 апреля 2018;397 094;0,0226;
16 апреля 2018 – 22 апреля 2018;660 092;0,0372;
23 апреля 2018 – 29 апреля 2018;408 987;0,0228;
30 апреля 2018 – 6 мая 2018;249 619;0,0159;
7 мая 2018 – 13 мая 2018;209 369;0,0125;
14 мая 2018 – 20 мая 2018;216 071;0,0124;
21 мая 2018 – 27 мая 2018;195 578;0,0117;
28 мая 2018 – 3 июня 2018;209 454;0,0125;
4 июня 2018 – 10 июня 2018;221 795;0,0132;
11 июня 2018 – 17 июня 2018;161 100;0,0103;
18 июня 2018 – 24 июня 2018;162 029;0,0099;
25 июня 2018 – 1 июля 2018;154 883;0,0097;
2 июля 2018 – 8 июля 2018;147 466;0,0093;
9 июля 2018 – 15 июля 2018;151 494;0,0099;
16 июля 2018 – 22 июля 2018;192 985;0,0124;
23 июля 2018 – 29 июля 2018;180 278;0,0114;
30 июля 2018 – 5 августа 2018;161 021;0,0102;
6 августа 2018 – 12 августа 2018;164 170;0,0103;
13 августа 2018 – 19 августа 2018;161 617;0,0101;
20 августа 2018 – 26 августа 2018;158 566;0,0102;
27 августа 2018 – 2 сентября 2018;175 045;0,0109;
3 сентября 2018 – 9 сентября 2018;179 250;0,0103;
10 сентября 2018 – 16 сентября 2018;179 169;0,0099;
17 сентября 2018 – 23 сентября 2018;187 664;0,0098;
24 сентября 2018 – 30 сентября 2018;195 282;0,0096;
1 октября 2018 – 7 октября 2018;199 159;0,0097;
8 октября 2018 – 14 октября 2018;213 572;0,0103;
15 октября 2018 – 21 октября 2018;211 849;0,0102;
22 октября 2018 – 28 октября 2018;206 907;0,0100;
29 октября 2018 – 4 ноября 2018;206 333;0,0102;
5 ноября 2018 – 11 ноября 2018;198 086;0,0103;
12 ноября 2018 – 18 ноября 2018;192 932;0,0097;
19 ноября 2018 – 25 ноября 2018;191 397;0,0096;
26 ноября 2018 – 2 декабря 2018;193 043;0,0098;
3 декабря 2018 – 9 декабря 2018;223 947;0,0109;
10 декабря 2018 – 16 декабря 2018;173 712;0,0087;
17 декабря 2018 – 23 декабря 2018;163 900;0,0083;
24 декабря 2018 – 30 декабря 2018;162 654;0,0090;
31 декабря 2018 – 6 января 2019;131 421;0,0082;
7 января 2019 – 13 января 2019;178 436;0,0093;
14 января 2019 – 20 января 2019;184 862;0,0089;
21 января 2019 – 27 января 2019;210 783;0,0099;
28 января 2019 – 3 февраля 2019;187 015;0,0089;
4 февраля 2019 – 10 февраля 2019;187 735;0,0088;
11 февраля 2019 – 17 февраля 2019;196 936;0,0094;
18 февраля 2019 – 24 февраля 2019;187 950;0,0092;
25 февраля 2019 – 3 марта 2019;196 711;0,0095;
4 марта 2019 – 10 марта 2019;194 765;0,0101;
11 марта 2019 – 17 марта 2019;271 008;0,0132;
18 марта 2019 – 24 марта 2019;299 060;0,0149;
25 марта 2019 – 31 марта 2019;292 393;0,0150;
1 апреля 2019 – 7 апреля 2019;288 530;0,0148;
8 апреля 2019 – 14 апреля 2019;287 471;0,0147;
15 апреля 2019 – 21 апреля 2019;300 432;0,0154;
22 апреля 2019 – 28 апреля 2019;284 751;0,0155;
29 апреля 2019 – 5 мая 2019;260 204;0,0155;
6 мая 2019 – 12 мая 2019;267 473;0,0161;
13 мая 2019 – 19 мая 2019;300 667;0,0160;
20 мая 2019 – 26 мая 2019;290 096;0,0156;
27 мая 2019 – 2 июня 2019;279 728;0,0158;
3 июня 2019 – 9 июня 2019;283 706;0,0164;
10 июня 2019 – 16 июня 2019;294 015;0,0174;
17 июня 2019 – 23 июня 2019;280 639;0,0169;
24 июня 2019 – 30 июня 2019;286 997;0,0170;
1 июля 2019 – 7 июля 2019;285 799;0,0172;
8 июля 2019 – 14 июля 2019;289 459;0,0176;
15 июля 2019 – 21 июля 2019;284 023;0,0174;
22 июля 2019 – 28 июля 2019;296 027;0,0182;
29 июля 2019 – 4 августа 2019;305 941;0,0185;
5 августа 2019 – 11 августа 2019;324 989;0,0194;
12 августа 2019 – 18 августа 2019;337 008;0,0206;
