Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «уехать из россии», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;2 289;0,000157;
8 января 2018 – 14 января 2018;2 478;0,000144;
15 января 2018 – 21 января 2018;2 369;0,000129;
22 января 2018 – 28 января 2018;2 547;0,000135;
29 января 2018 – 4 февраля 2018;2 473;0,000131;
5 февраля 2018 – 11 февраля 2018;2 349;0,000122;
12 февраля 2018 – 18 февраля 2018;2 264;0,000121;
19 февраля 2018 – 25 февраля 2018;2 728;0,000140;
26 февраля 2018 – 4 марта 2018;2 747;0,000136;
5 марта 2018 – 11 марта 2018;2 553;0,000139;
12 марта 2018 – 18 марта 2018;3 075;0,000156;
19 марта 2018 – 25 марта 2018;3 669;0,000196;
26 марта 2018 – 1 апреля 2018;3 556;0,000194;
2 апреля 2018 – 8 апреля 2018;2 668;0,000151;
9 апреля 2018 – 15 апреля 2018;2 780;0,000158;
16 апреля 2018 – 22 апреля 2018;2 766;0,000156;
23 апреля 2018 – 29 апреля 2018;2 257;0,000126;
30 апреля 2018 – 6 мая 2018;2 257;0,000144;
7 мая 2018 – 13 мая 2018;2 357;0,000141;
14 мая 2018 – 20 мая 2018;2 176;0,000125;
21 мая 2018 – 27 мая 2018;2 131;0,000128;
28 мая 2018 – 3 июня 2018;2 425;0,000145;
4 июня 2018 – 10 июня 2018;2 232;0,000133;
11 июня 2018 – 17 июня 2018;3 711;0,000238;
18 июня 2018 – 24 июня 2018;3 937;0,000242;
25 июня 2018 – 1 июля 2018;3 313;0,000208;
2 июля 2018 – 8 июля 2018;3 549;0,000223;
9 июля 2018 – 15 июля 2018;3 402;0,000223;
16 июля 2018 – 22 июля 2018;3 482;0,000224;
23 июля 2018 – 29 июля 2018;3 298;0,000209;
30 июля 2018 – 5 августа 2018;3 108;0,000197;
6 августа 2018 – 12 августа 2018;3 071;0,000194;
13 августа 2018 – 19 августа 2018;3 118;0,000195;
20 августа 2018 – 26 августа 2018;2 888;0,000186;
27 августа 2018 – 2 сентября 2018;3 223;0,000201;
3 сентября 2018 – 9 сентября 2018;2 994;0,000172;
10 сентября 2018 – 16 сентября 2018;3 059;0,000170;
17 сентября 2018 – 23 сентября 2018;2 827;0,000147;
24 сентября 2018 – 30 сентября 2018;3 175;0,000156;
1 октября 2018 – 7 октября 2018;3 072;0,000150;
8 октября 2018 – 14 октября 2018;2 867;0,000138;
15 октября 2018 – 21 октября 2018;2 890;0,000139;
22 октября 2018 – 28 октября 2018;3 017;0,000146;
29 октября 2018 – 4 ноября 2018;3 093;0,000153;
5 ноября 2018 – 11 ноября 2018;3 072;0,000160;
12 ноября 2018 – 18 ноября 2018;3 275;0,000164;
19 ноября 2018 – 25 ноября 2018;3 248;0,000164;
26 ноября 2018 – 2 декабря 2018;3 045;0,000155;
3 декабря 2018 – 9 декабря 2018;3 143;0,000154;
10 декабря 2018 – 16 декабря 2018;2 976;0,000150;
17 декабря 2018 – 23 декабря 2018;2 930;0,000149;
24 декабря 2018 – 30 декабря 2018;2 456;0,000137;
31 декабря 2018 – 6 января 2019;3 237;0,000204;
7 января 2019 – 13 января 2019;4 164;0,000218;
14 января 2019 – 20 января 2019;4 021;0,000194;
21 января 2019 – 27 января 2019;4 249;0,000200;
28 января 2019 – 3 февраля 2019;4 084;0,000195;
4 февраля 2019 – 10 февраля 2019;4 500;0,000212;
11 февраля 2019 – 17 февраля 2019;3 945;0,000189;
18 февраля 2019 – 24 февраля 2019;3 771;0,000185;
25 февраля 2019 – 3 марта 2019;3 467;0,000167;
4 марта 2019 – 10 марта 2019;3 155;0,000164;
11 марта 2019 – 17 марта 2019;3 805;0,000186;
18 марта 2019 – 24 марта 2019;3 487;0,000174;
25 марта 2019 – 31 марта 2019;3 435;0,000177;
1 апреля 2019 – 7 апреля 2019;3 223;0,000165;
8 апреля 2019 – 14 апреля 2019;2 976;0,000152;
15 апреля 2019 – 21 апреля 2019;2 912;0,000149;
22 апреля 2019 – 28 апреля 2019;2 378;0,000129;
29 апреля 2019 – 5 мая 2019;2 849;0,000169;
6 мая 2019 – 12 мая 2019;2 507;0,000151;
13 мая 2019 – 19 мая 2019;2 514;0,000133;
20 мая 2019 – 26 мая 2019;2 459;0,000132;
27 мая 2019 – 2 июня 2019;2 363;0,000134;
3 июня 2019 – 9 июня 2019;2 294;0,000132;
10 июня 2019 – 16 июня 2019;2 738;0,000162;
17 июня 2019 – 23 июня 2019;2 755;0,000166;
24 июня 2019 – 30 июня 2019;2 494;0,000147;
1 июля 2019 – 7 июля 2019;2 713;0,000163;
8 июля 2019 – 14 июля 2019;2 344;0,000143;
15 июля 2019 – 21 июля 2019;2 340;0,000143;
22 июля 2019 – 28 июля 2019;2 663;0,000163;
29 июля 2019 – 4 августа 2019;2 951;0,000178;
5 августа 2019 – 11 августа 2019;2 712;0,000162;
12 августа 2019 – 18 августа 2019;2 499;0,000152;
19 августа 2019 – 25 августа 2019;2 388;0,000148;
26 августа 2019 – 1 сентября 2019;2 232;0,000138;
2 сентября 2019 – 8 сентября 2019;2 423;0,000142;
9 сентября 2019 – 15 сентября 2019;2 576;0,000143;
16 сентября 2019 – 22 сентября 2019;2 583;0,000136;
23 сентября 2019 – 29 сентября 2019;2 487;0,000129;
30 сентября 2019 – 6 октября 2019;2 518;0,000129;
7 октября 2019 – 13 октября 2019;2 581;0,000130;
14 октября 2019 – 20 октября 2019;2 441;0,000122;
21 октября 2019 – 27 октября 2019;2 646;0,000132;
28 октября 2019 – 3 ноября 2019;2 701;0,000139;
4 ноября 2019 – 10 ноября 2019;2 719;0,000136;
11 ноября 2019 – 17 ноября 2019;2 624;0,000128;
18 ноября 2019 – 24 ноября 2019;2 564;0,000121;
25 ноября 2019 – 1 декабря 2019;2 982;0,000136;
2 декабря 2019 – 8 декабря 2019;3 194;0,000148;
9 декабря 2019 – 15 декабря 2019;3 063;0,000142;
16 декабря 2019 – 22 декабря 2019;3 011;0,000139;
23 декабря 2019 – 29 декабря 2019;2 482;0,000124;
30 декабря 2019 – 5 января 2020;2 679;0,000154;
6 января 2020 – 12 января 2020;3 798;0,000188;
13 января 2020 – 19 января 2020;3 778;0,000164;
20 января 2020 – 26 января 2020;3 538;0,000146;
27 января 2020 – 2 февраля 2020;2 926;0,000131;
3 февраля 2020 – 9 февраля 2020;2 853;0,000129;
10 февраля 2020 – 16 февраля 2020;2 829;0,000125;
17 февраля 2020 – 23 февраля 2020;2 615;0,000117;
24 февраля 2020 – 1 марта 2020;2 552;0,000115;
2 марта 2020 – 8 марта 2020;2 191;0,000102;
9 марта 2020 – 15 марта 2020;4 021;0,000183;
16 марта 2020 – 22 марта 2020;5 177;0,000232;
23 марта 2020 – 29 марта 2020;3 495;0,000157;
30 марта 2020 – 5 апреля 2020;3 416;0,000145;
6 апреля 2020 – 12 апреля 2020;3 397;0,000121;
13 апреля 2020 – 19 апреля 2020;3 664;0,000128;
20 апреля 2020 – 26 апреля 2020;4 737;0,000165;
27 апреля 2020 – 3 мая 2020;4 026;0,000155;
4 мая 2020 – 10 мая 2020;4 191;0,000182;
11 мая 2020 – 17 мая 2020;4 029;0,000154;
18 мая 2020 – 24 мая 2020;3 896;0,000150;
25 мая 2020 – 31 мая 2020;3 894;0,000170;
1 июня 2020 – 7 июня 2020;3 679;0,000167;
8 июня 2020 – 14 июня 2020;3 699;0,000182;
15 июня 2020 – 21 июня 2020;5 250;0,000256;
22 июня 2020 – 28 июня 2020;5 187;0,000259;
29 июня 2020 – 5 июля 2020;6 126;0,000314;
6 июля 2020 – 12 июля 2020;4 157;0,000220;
13 июля 2020 – 19 июля 2020;3 613;0,000192;
20 июля 2020 – 26 июля 2020;3 856;0,000204;
27 июля 2020 – 2 августа 2020;3 975;0,000211;
3 августа 2020 – 9 августа 2020;3 925;0,000209;
