Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что подарить на день рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;65 250;0,0044;
8 января 2018 – 14 января 2018;93 388;0,0054;
15 января 2018 – 21 января 2018;99 797;0,0054;
22 января 2018 – 28 января 2018;101 110;0,0053;
29 января 2018 – 4 февраля 2018;96 773;0,0051;
5 февраля 2018 – 11 февраля 2018;95 624;0,0049;
12 февраля 2018 – 18 февраля 2018;83 260;0,0044;
19 февраля 2018 – 25 февраля 2018;87 067;0,0044;
26 февраля 2018 – 4 марта 2018;105 105;0,0052;
5 марта 2018 – 11 марта 2018;81 772;0,0044;
12 марта 2018 – 18 марта 2018;91 578;0,0046;
19 марта 2018 – 25 марта 2018;88 962;0,0047;
26 марта 2018 – 1 апреля 2018;82 189;0,0044;
2 апреля 2018 – 8 апреля 2018;77 606;0,0044;
9 апреля 2018 – 15 апреля 2018;78 807;0,0044;
16 апреля 2018 – 22 апреля 2018;82 480;0,0046;
23 апреля 2018 – 29 апреля 2018;84 649;0,0047;
30 апреля 2018 – 6 мая 2018;73 111;0,0046;
7 мая 2018 – 13 мая 2018;78 844;0,0047;
14 мая 2018 – 20 мая 2018;83 819;0,0048;
21 мая 2018 – 27 мая 2018;84 944;0,0051;
28 мая 2018 – 3 июня 2018;85 262;0,0051;
4 июня 2018 – 10 июня 2018;92 998;0,0055;
11 июня 2018 – 17 июня 2018;80 451;0,0051;
18 июня 2018 – 24 июня 2018;83 729;0,0051;
25 июня 2018 – 1 июля 2018;85 623;0,0053;
2 июля 2018 – 8 июля 2018;93 649;0,0059;
9 июля 2018 – 15 июля 2018;91 201;0,0059;
16 июля 2018 – 22 июля 2018;91 478;0,0058;
23 июля 2018 – 29 июля 2018;89 924;0,0057;
30 июля 2018 – 5 августа 2018;93 344;0,0059;
6 августа 2018 – 12 августа 2018;94 661;0,0059;
13 августа 2018 – 19 августа 2018;90 525;0,0056;
20 августа 2018 – 26 августа 2018;85 946;0,0055;
27 августа 2018 – 2 сентября 2018;81 878;0,0051;
3 сентября 2018 – 9 сентября 2018;92 209;0,0053;
10 сентября 2018 – 16 сентября 2018;102 661;0,0057;
17 сентября 2018 – 23 сентября 2018;105 790;0,0055;
24 сентября 2018 – 30 сентября 2018;109 665;0,0054;
1 октября 2018 – 7 октября 2018;115 316;0,0056;
8 октября 2018 – 14 октября 2018;116 881;0,0056;
15 октября 2018 – 21 октября 2018;110 467;0,0053;
22 октября 2018 – 28 октября 2018;111 518;0,0054;
29 октября 2018 – 4 ноября 2018;113 197;0,0056;
5 ноября 2018 – 11 ноября 2018;107 985;0,0056;
12 ноября 2018 – 18 ноября 2018;112 277;0,0056;
