Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «шашлыки», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;160 580;0,0110;
8 января 2018 – 14 января 2018;123 652;0,0072;
15 января 2018 – 21 января 2018;119 841;0,0065;
22 января 2018 – 28 января 2018;127 783;0,0067;
29 января 2018 – 4 февраля 2018;136 583;0,0072;
5 февраля 2018 – 11 февраля 2018;141 728;0,0074;
12 февраля 2018 – 18 февраля 2018;152 747;0,0081;
19 февраля 2018 – 25 февраля 2018;218 976;0,0112;
26 февраля 2018 – 4 марта 2018;147 551;0,0073;
5 марта 2018 – 11 марта 2018;254 307;0,0138;
12 марта 2018 – 18 марта 2018;155 414;0,0079;
19 марта 2018 – 25 марта 2018;162 158;0,0086;
26 марта 2018 – 1 апреля 2018;163 708;0,0089;
2 апреля 2018 – 8 апреля 2018;250 875;0,0142;
9 апреля 2018 – 15 апреля 2018;249 027;0,0141;
16 апреля 2018 – 22 апреля 2018;253 122;0,0142;
23 апреля 2018 – 29 апреля 2018;456 118;0,0255;
30 апреля 2018 – 6 мая 2018;656 819;0,0419;
7 мая 2018 – 13 мая 2018;532 698;0,0320;
14 мая 2018 – 20 мая 2018;309 127;0,0177;
21 мая 2018 – 27 мая 2018;321 859;0,0193;
28 мая 2018 – 3 июня 2018;289 581;0,0173;
4 июня 2018 – 10 июня 2018;301 335;0,0179;
11 июня 2018 – 17 июня 2018;320 872;0,0206;
18 июня 2018 – 24 июня 2018;282 612;0,0174;
25 июня 2018 – 1 июля 2018;274 242;0,0172;
2 июля 2018 – 8 июля 2018;257 001;0,0162;
9 июля 2018 – 15 июля 2018;279 110;0,0183;
16 июля 2018 – 22 июля 2018;263 708;0,0169;
23 июля 2018 – 29 июля 2018;280 106;0,0178;
30 июля 2018 – 5 августа 2018;271 722;0,0172;
6 августа 2018 – 12 августа 2018;265 636;0,0168;
13 августа 2018 – 19 августа 2018;239 319;0,0150;
20 августа 2018 – 26 августа 2018;224 758;0,0144;
27 августа 2018 – 2 сентября 2018;207 636;0,0129;
3 сентября 2018 – 9 сентября 2018;189 814;0,0109;
10 сентября 2018 – 16 сентября 2018;176 966;0,0098;
17 сентября 2018 – 23 сентября 2018;185 034;0,0096;
24 сентября 2018 – 30 сентября 2018;164 023;0,0081;
1 октября 2018 – 7 октября 2018;157 543;0,0077;
8 октября 2018 – 14 октября 2018;170 722;0,0082;
15 октября 2018 – 21 октября 2018;165 940;0,0080;
22 октября 2018 – 28 октября 2018;149 582;0,0072;
29 октября 2018 – 4 ноября 2018;165 484;0,0082;
5 ноября 2018 – 11 ноября 2018;142 559;0,0074;
12 ноября 2018 – 18 ноября 2018;133 573;0,0067;
19 ноября 2018 – 25 ноября 2018;137 224;0,0069;
26 ноября 2018 – 2 декабря 2018;127 090;0,0064;
3 декабря 2018 – 9 декабря 2018;137 426;0,0067;
10 декабря 2018 – 16 декабря 2018;135 193;0,0068;
17 декабря 2018 – 23 декабря 2018;139 369;0,0070;
24 декабря 2018 – 30 декабря 2018;221 736;0,0123;
31 декабря 2018 – 6 января 2019;218 950;0,0138;
7 января 2019 – 13 января 2019;161 066;0,0084;
14 января 2019 – 20 января 2019;165 875;0,0080;
21 января 2019 – 27 января 2019;158 937;0,0075;
28 января 2019 – 3 февраля 2019;160 839;0,0077;
4 февраля 2019 – 10 февраля 2019;164 840;0,0077;
11 февраля 2019 – 17 февраля 2019;184 103;0,0088;
18 февраля 2019 – 24 февраля 2019;250 410;0,0122;
25 февраля 2019 – 3 марта 2019;185 012;0,0089;
4 марта 2019 – 10 марта 2019;303 586;0,0158;
11 марта 2019 – 17 марта 2019;185 720;0,0090;
