Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ютуб», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
01.01.2018;11 941 310;0,82;
08.01.2018;11 736 575;0,68;
15.01.2018;11 789 569;0,64;
22.01.2018;12 209 428;0,64;
29.01.2018;12 071 992;0,64;
05.02.2018;12 219 690;0,63;
12.02.2018;12 812 886;0,68;
19.02.2018;12 800 447;0,65;
26.02.2018;12 673 943;0,63;
05.03.2018;12 749 561;0,69;
12.03.2018;12 528 902;0,63;
19.03.2018;12 178 880;0,65;
26.03.2018;12 950 434;0,70;
02.04.2018;11 309 214;0,64;
09.04.2018;11 027 237;0,62;
16.04.2018;11 154 472;0,62;
23.04.2018;13 206 233;0,73;
30.04.2018;11 121 970;0,70;
07.05.2018;10 552 725;0,63;
14.05.2018;10 277 340;0,59;
21.05.2018;10 348 803;0,62;
28.05.2018;10 754 343;0,64;
04.06.2018;10 531 793;0,62;
11.06.2018;10 076 144;0,64;
18.06.2018;10 135 538;0,62;
25.06.2018;9 987 287;0,62;
02.07.2018;9 880 241;0,62;
09.07.2018;9 670 290;0,63;
16.07.2018;10 491 787;0,67;
23.07.2018;10 336 707;0,65;
30.07.2018;10 300 935;0,65;
06.08.2018;10 520 348;0,66;
13.08.2018;10 571 363;0,66;
20.08.2018;10 393 112;0,67;
27.08.2018;11 116 680;0,69;
03.09.2018;10 842 430;0,62;
10.09.2018;11 162 685;0,62;
17.09.2018;12 105 490;0,63;
24.09.2018;12 829 833;0,63;
01.10.2018;12 902 302;0,63;
08.10.2018;12 794 053;0,61;
15.10.2018;13 064 199;0,63;
22.10.2018;12 735 474;0,61;
29.10.2018;13 725 356;0,68;
05.11.2018;11 995 081;0,62;
12.11.2018;12 042 358;0,60;
19.11.2018;12 022 909;0,60;
26.11.2018;12 080 566;0,61;
03.12.2018;12 600 604;0,61;
10.12.2018;12 205 908;0,61;
17.12.2018;12 258 956;0,62;
24.12.2018;12 347 193;0,68;
31.12.2018;12 024 707;0,75;
07.01.2019;12 754 057;0,66;
14.01.2019;12 376 345;0,59;
21.01.2019;12 822 732;0,60;
28.01.2019;12 480 152;0,59;
04.02.2019;12 329 480;0,58;
11.02.2019;12 002 777;0,57;
18.02.2019;11 754 253;0,57;
25.02.2019;11 581 126;0,56;
04.03.2019;11 477 500;0,59;
11.03.2019;11 771 323;0,57;
18.03.2019;12 006 167;0,60;
25.03.2019;12 398 841;0,63;
01.04.2019;11 071 308;0,57;
08.04.2019;10 970 244;0,56;
15.04.2019;10 591 268;0,54;
22.04.2019;9 828 285;0,53;
29.04.2019;9 974 501;0,59;
06.05.2019;9 357 183;0,56;
13.05.2019;9 553 736;0,50;
20.05.2019;9 629 925;0,51;
27.05.2019;9 704 499;0,55;
03.06.2019;9 371 481;0,54;
10.06.2019;9 266 803;0,54;
17.06.2019;9 106 021;0,54;
24.06.2019;9 304 885;0,55;
01.07.2019;9 134 017;0,55;
08.07.2019;9 350 830;0,57;
15.07.2019;9 323 188;0,57;
22.07.2019;9 385 424;0,57;
29.07.2019;9 611 165;0,58;
05.08.2019;9 723 480;0,58;
12.08.2019;9 355 269;0,57;
19.08.2019;9 145 420;0,56;
26.08.2019;9 414 967;0,58;
02.09.2019;9 984 949;0,58;
09.09.2019;9 210 978;0,51;
16.09.2019;9 745 632;0,51;
23.09.2019;10 175 188;0,53;
30.09.2019;10 332 505;0,53;
07.10.2019;10 548 703;0,53;
14.10.2019;10 557 834;0,52;
21.10.2019;10 751 467;0,53;
28.10.2019;11 775 278;0,60;
04.11.2019;11 282 397;0,56;
11.11.2019;11 254 512;0,54;
18.11.2019;11 857 915;0,56;
25.11.2019;12 075 003;0,55;
02.12.2019;11 653 396;0,54;
09.12.2019;11 603 633;0,53;
16.12.2019;11 662 217;0,54;
23.12.2019;11 752 179;0,59;
30.12.2019;11 673 522;0,67;
06.01.2020;14 276 350;0,70;
13.01.2020;14 395 984;0,62;
20.01.2020;14 557 068;0,60;
27.01.2020;14 482 218;0,65;
03.02.2020;12 809 173;0,58;
10.02.2020;12 454 799;0,55;
17.02.2020;12 189 507;0,54;
24.02.2020;12 000 046;0,54;
02.03.2020;11 704 672;0,54;
09.03.2020;11 935 874;0,54;
16.03.2020;12 674 719;0,56;
23.03.2020;13 580 709;0,61;
30.03.2020;15 579 254;0,66;
06.04.2020;15 432 583;0,55;
13.04.2020;14 572 607;0,51;
20.04.2020;14 398 754;0,50;
27.04.2020;13 468 241;0,52;
04.05.2020;12 494 542;0,54;
11.05.2020;12 543 414;0,48;
18.05.2020;12 596 815;0,48;
25.05.2020;11 860 475;0,52;
01.06.2020;11 663 448;0,53;
08.06.2020;10 949 159;0,54;
15.06.2020;10 980 610;0,53;
22.06.2020;10 615 929;0,53;
29.06.2020;10 703 404;0,54;
06.07.2020;10 218 316;0,54;
13.07.2020;10 303 680;0,54;
20.07.2020;10 189 509;0,54;
27.07.2020;10 249 444;0,54;
03.08.2020;10 298 958;0,55;
10.08.2020;10 626 630;0,56;
17.08.2020;10 486 613;0,55;
24.08.2020;10 564 334;0,55;
31.08.2020;10 128 178;0,50;
07.09.2020;10 458 042;0,48;
14.09.2020;11 018 056;0,49;
21.09.2020;10 817 496;0,47;
28.09.2020;11 044 756;0,48;
05.10.2020;11 736 604;0,49;
12.10.2020;11 967 266;0,49;
19.10.2020;12 530 955;0,50;
26.10.2020;13 497 092;0,54;
02.11.2020;13 937 245;0,55;
09.11.2020;13 955 045;0,52;
16.11.2020;13 993 605;0,51;
23.11.2020;13 927 318;0,50;
30.11.2020;13 530 427;0,51;
07.12.2020;13 380 894;0,51;
14.12.2020;14 533 658;0,56;
21.12.2020;13 210 177;0,53;
28.12.2020;12 836 220;0,64;
04.01.2021;13 066 707;0,61;
11.01.2021;13 056 959;0,53;
18.01.2021;13 873 100;0,56;
25.01.2021;13 562 211;0,54;
01.02.2021;13 450 674;0,55;
08.02.2021;13 717 962;0,54;
15.02.2021;13 752 088;0,53;
22.02.2021;13 876 116;0,57;
01.03.2021;13 361 831;0,55;
08.03.2021;13 699 503;0,55;
15.03.2021;13 615 259;0,54;
22.03.2021;13 738 885;0,57;
29.03.2021;13 316 463;0,54;
05.04.2021;12 984 931;0,51;
12.04.2021;12 504 853;0,50;
19.04.2021;12 883 914;0,51;
26.04.2021;12 149 986;0,51;
03.05.2021;12 311 127;0,56;
10.05.2021;11 689 126;0,49;
17.05.2021;11 840 681;0,48;
24.05.2021;12 122 245;0,51;
31.05.2021;12 033 636;0,51;
07.06.2021;11 982 239;0,50;
14.06.2021;11 649 723;0,51;
21.06.2021;11 658 037;0,51;
28.06.2021;11 439 652;0,51;
05.07.2021;11 040 706;0,50;
12.07.2021;11 087 539;0,51;
19.07.2021;11 157 297;0,51;
26.07.2021;11 124 533;0,50;
02.08.2021;11 188 942;0,50;
09.08.2021;11 307 266;0,50;
16.08.2021;11 331 800;0,50;
23.08.2021;11 110 253;0,48;
30.08.2021;10 915 877;0,46;
06.09.2021;10 415 998;0,43;
13.09.2021;11 740 904;0,46;
20.09.2021;12 042 548;0,46;
27.09.2021;11 653 417;0,46;
04.10.2021;11 828 778;0,47;
11.10.2021;12 022 741;0,45;
18.10.2021;12 207 585;0,46;
25.10.2021;12 993 372;0,50;
