Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «porn», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;804 901;0,055;
8 января 2018 – 14 января 2018;820 928;0,047;
15 января 2018 – 21 января 2018;803 031;0,043;
22 января 2018 – 28 января 2018;825 616;0,043;
29 января 2018 – 4 февраля 2018;823 595;0,043;
5 февраля 2018 – 11 февраля 2018;824 244;0,043;
12 февраля 2018 – 18 февраля 2018;825 568;0,044;
19 февраля 2018 – 25 февраля 2018;873 680;0,044;
26 февраля 2018 – 4 марта 2018;887 711;0,044;
5 марта 2018 – 11 марта 2018;905 289;0,049;
12 марта 2018 – 18 марта 2018;874 480;0,044;
19 марта 2018 – 25 марта 2018;830 736;0,044;
26 марта 2018 – 1 апреля 2018;845 909;0,046;
2 апреля 2018 – 8 апреля 2018;876 303;0,049;
9 апреля 2018 – 15 апреля 2018;863 714;0,049;
16 апреля 2018 – 22 апреля 2018;878 352;0,049;
23 апреля 2018 – 29 апреля 2018;879 932;0,049;
30 апреля 2018 – 6 мая 2018;902 845;0,057;
7 мая 2018 – 13 мая 2018;890 266;0,053;
14 мая 2018 – 20 мая 2018;870 615;0,050;
21 мая 2018 – 27 мая 2018;873 058;0,052;
28 мая 2018 – 3 июня 2018;899 696;0,053;
4 июня 2018 – 10 июня 2018;899 041;0,053;
11 июня 2018 – 17 июня 2018;918 141;0,058;
18 июня 2018 – 24 июня 2018;953 938;0,058;
25 июня 2018 – 1 июля 2018;935 971;0,058;
2 июля 2018 – 8 июля 2018;932 562;0,058;
9 июля 2018 – 15 июля 2018;929 546;0,061;
16 июля 2018 – 22 июля 2018;953 611;0,061;
23 июля 2018 – 29 июля 2018;963 892;0,061;
30 июля 2018 – 5 августа 2018;978 074;0,062;
6 августа 2018 – 12 августа 2018;971 994;0,061;
13 августа 2018 – 19 августа 2018;963 978;0,060;
20 августа 2018 – 26 августа 2018;959 354;0,061;
27 августа 2018 – 2 сентября 2018;1 001 164;0,062;
3 сентября 2018 – 9 сентября 2018;1 030 300;0,059;
10 сентября 2018 – 16 сентября 2018;1 025 777;0,057;
17 сентября 2018 – 23 сентября 2018;1 067 648;0,055;
24 сентября 2018 – 30 сентября 2018;1 127 112;0,055;
1 октября 2018 – 7 октября 2018;1 132 795;0,055;
8 октября 2018 – 14 октября 2018;1 170 180;0,056;
