Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «бессонница», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;53 878;0,0037;
8 января 2018 – 14 января 2018;71 944;0,0041;
15 января 2018 – 21 января 2018;58 666;0,0032;
22 января 2018 – 28 января 2018;54 555;0,0029;
29 января 2018 – 4 февраля 2018;55 483;0,0029;
5 февраля 2018 – 11 февраля 2018;54 591;0,0028;
12 февраля 2018 – 18 февраля 2018;48 078;0,0025;
19 февраля 2018 – 25 февраля 2018;49 470;0,0025;
26 февраля 2018 – 4 марта 2018;51 081;0,0025;
5 марта 2018 – 11 марта 2018;52 359;0,0028;
12 марта 2018 – 18 марта 2018;50 563;0,0025;
19 марта 2018 – 25 марта 2018;44 100;0,0023;
26 марта 2018 – 1 апреля 2018;42 700;0,0023;
2 апреля 2018 – 8 апреля 2018;39 613;0,0022;
9 апреля 2018 – 15 апреля 2018;37 233;0,0021;
16 апреля 2018 – 22 апреля 2018;37 935;0,0021;
23 апреля 2018 – 29 апреля 2018;39 626;0,0022;
30 апреля 2018 – 6 мая 2018;37 872;0,0024;
7 мая 2018 – 13 мая 2018;38 988;0,0023;
14 мая 2018 – 20 мая 2018;38 002;0,0021;
21 мая 2018 – 27 мая 2018;36 245;0,0021;
28 мая 2018 – 3 июня 2018;37 374;0,0022;
4 июня 2018 – 10 июня 2018;37 855;0,0022;
11 июня 2018 – 17 июня 2018;39 537;0,0025;
18 июня 2018 – 24 июня 2018;40 711;0,0025;
25 июня 2018 – 1 июля 2018;39 560;0,0024;
2 июля 2018 – 8 июля 2018;38 814;0,0024;
9 июля 2018 – 15 июля 2018;38 464;0,0025;
16 июля 2018 – 22 июля 2018;45 931;0,0029;
23 июля 2018 – 29 июля 2018;41 586;0,0026;
30 июля 2018 – 5 августа 2018;39 642;0,0025;
6 августа 2018 – 12 августа 2018;43 276;0,0027;
13 августа 2018 – 19 августа 2018;44 950;0,0028;
20 августа 2018 – 26 августа 2018;42 240;0,0027;
27 августа 2018 – 2 сентября 2018;42 467;0,0026;
3 сентября 2018 – 9 сентября 2018;40 727;0,0023;
10 сентября 2018 – 16 сентября 2018;41 576;0,0023;
17 сентября 2018 – 23 сентября 2018;42 937;0,0022;
24 сентября 2018 – 30 сентября 2018;43 507;0,0021;
1 октября 2018 – 7 октября 2018;45 762;0,0022;
8 октября 2018 – 14 октября 2018;52 903;0,0025;
15 октября 2018 – 21 октября 2018;55 346;0,0026;
22 октября 2018 – 28 октября 2018;53 092;0,0025;
29 октября 2018 – 4 ноября 2018;51 872;0,0025;
5 ноября 2018 – 11 ноября 2018;54 322;0,0028;
12 ноября 2018 – 18 ноября 2018;51 218;0,0025;
19 ноября 2018 – 25 ноября 2018;55 091;0,0027;
26 ноября 2018 – 2 декабря 2018;54 295;0,0027;
3 декабря 2018 – 9 декабря 2018;58 974;0,0028;
10 декабря 2018 – 16 декабря 2018;56 637;0,0028;
17 декабря 2018 – 23 декабря 2018;53 955;0,0027;
24 декабря 2018 – 30 декабря 2018;47 751;0,0026;
31 декабря 2018 – 6 января 2019;49 954;0,0031;
7 января 2019 – 13 января 2019;77 641;0,0040;
14 января 2019 – 20 января 2019;70 871;0,0034;
21 января 2019 – 27 января 2019;61 841;0,0029;
28 января 2019 – 3 февраля 2019;62 032;0,0029;
4 февраля 2019 – 10 февраля 2019;65 012;0,0030;
11 февраля 2019 – 17 февраля 2019;60 693;0,0029;
18 февраля 2019 – 24 февраля 2019;53 481;0,0026;
25 февраля 2019 – 3 марта 2019;58 650;0,0028;
4 марта 2019 – 10 марта 2019;50 945;0,0026;
11 марта 2019 – 17 марта 2019;53 765;0,0026;
18 марта 2019 – 24 марта 2019;50 260;0,0025;
25 марта 2019 – 31 марта 2019;49 948;0,0025;
1 апреля 2019 – 7 апреля 2019;51 959;0,0026;
