Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «две полоски тест», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;3 595;0,00024;
8 января 2018 – 14 января 2018;4 383;0,00025;
15 января 2018 – 21 января 2018;4 386;0,00023;
22 января 2018 – 28 января 2018;4 557;0,00024;
29 января 2018 – 4 февраля 2018;4 592;0,00024;
5 февраля 2018 – 11 февраля 2018;4 272;0,00022;
12 февраля 2018 – 18 февраля 2018;4 219;0,00022;
19 февраля 2018 – 25 февраля 2018;4 191;0,00021;
26 февраля 2018 – 4 марта 2018;4 385;0,00021;
5 марта 2018 – 11 марта 2018;4 285;0,00023;
12 марта 2018 – 18 марта 2018;4 681;0,00023;
19 марта 2018 – 25 марта 2018;4 139;0,00022;
26 марта 2018 – 1 апреля 2018;5 832;0,00031;
2 апреля 2018 – 8 апреля 2018;4 145;0,00023;
9 апреля 2018 – 15 апреля 2018;3 636;0,00020;
16 апреля 2018 – 22 апреля 2018;3 611;0,00020;
23 апреля 2018 – 29 апреля 2018;3 683;0,00020;
30 апреля 2018 – 6 мая 2018;3 450;0,00022;
7 мая 2018 – 13 мая 2018;3 587;0,00021;
14 мая 2018 – 20 мая 2018;3 615;0,00020;
21 мая 2018 – 27 мая 2018;3 578;0,00021;
28 мая 2018 – 3 июня 2018;3 507;0,00021;
4 июня 2018 – 10 июня 2018;3 545;0,00021;
11 июня 2018 – 17 июня 2018;3 831;0,00024;
18 июня 2018 – 24 июня 2018;3 565;0,00021;
25 июня 2018 – 1 июля 2018;3 666;0,00023;
2 июля 2018 – 8 июля 2018;3 790;0,00023;
9 июля 2018 – 15 июля 2018;3 728;0,00024;
16 июля 2018 – 22 июля 2018;3 595;0,00023;
23 июля 2018 – 29 июля 2018;3 775;0,00024;
30 июля 2018 – 5 августа 2018;3 669;0,00023;
6 августа 2018 – 12 августа 2018;3 727;0,00023;
13 августа 2018 – 19 августа 2018;3 572;0,00022;
20 августа 2018 – 26 августа 2018;3 497;0,00022;
27 августа 2018 – 2 сентября 2018;3 668;0,00022;
3 сентября 2018 – 9 сентября 2018;3 665;0,00021;
10 сентября 2018 – 16 сентября 2018;3 857;0,00021;
17 сентября 2018 – 23 сентября 2018;3 778;0,00019;
24 сентября 2018 – 30 сентября 2018;3 714;0,00018;
1 октября 2018 – 7 октября 2018;3 967;0,00019;
8 октября 2018 – 14 октября 2018;4 089;0,00019;
15 октября 2018 – 21 октября 2018;4 162;0,00020;
22 октября 2018 – 28 октября 2018;4 231;0,00020;
29 октября 2018 – 4 ноября 2018;4 233;0,00021;
5 ноября 2018 – 11 ноября 2018;4 448;0,00023;
12 ноября 2018 – 18 ноября 2018;4 659;0,00023;
19 ноября 2018 – 25 ноября 2018;6 324;0,00031;
26 ноября 2018 – 2 декабря 2018;5 206;0,00026;
3 декабря 2018 – 9 декабря 2018;5 402;0,00026;
10 декабря 2018 – 16 декабря 2018;5 059;0,00025;
17 декабря 2018 – 23 декабря 2018;5 011;0,00025;
24 декабря 2018 – 30 декабря 2018;4 175;0,00023;
31 декабря 2018 – 6 января 2019;4 352;0,00027;
7 января 2019 – 13 января 2019;5 940;0,00031;
14 января 2019 – 20 января 2019;5 609;0,00027;
21 января 2019 – 27 января 2019;5 907;0,00027;
28 января 2019 – 3 февраля 2019;5 922;0,00028;
4 февраля 2019 – 10 февраля 2019;5 860;0,00027;
11 февраля 2019 – 17 февраля 2019;5 542;0,00026;
18 февраля 2019 – 24 февраля 2019;4 713;0,00023;
25 февраля 2019 – 3 марта 2019;5 253;0,00025;
4 марта 2019 – 10 марта 2019;4 206;0,00021;
11 марта 2019 – 17 марта 2019;4 945;0,00024;
18 марта 2019 – 24 марта 2019;4 824;0,00024;
25 марта 2019 – 31 марта 2019;5 069;0,00026;
1 апреля 2019 – 7 апреля 2019;8 200;0,00042;
8 апреля 2019 – 14 апреля 2019;4 569;0,00023;
15 апреля 2019 – 21 апреля 2019;4 601;0,00023;
22 апреля 2019 – 28 апреля 2019;4 197;0,00022;
29 апреля 2019 – 5 мая 2019;4 538;0,00027;
6 мая 2019 – 12 мая 2019;4 260;0,00025;
13 мая 2019 – 19 мая 2019;4 608;0,00024;
20 мая 2019 – 26 мая 2019;4 762;0,00025;
27 мая 2019 – 2 июня 2019;4 584;0,00026;
3 июня 2019 – 9 июня 2019;4 387;0,00025;
10 июня 2019 – 16 июня 2019;4 231;0,00025;
17 июня 2019 – 23 июня 2019;4 475;0,00026;
24 июня 2019 – 30 июня 2019;4 291;0,00025;
1 июля 2019 – 7 июля 2019;4 437;0,00026;
8 июля 2019 – 14 июля 2019;4 256;0,00026;
15 июля 2019 – 21 июля 2019;4 454;0,00027;
22 июля 2019 – 28 июля 2019;4 499;0,00027;
29 июля 2019 – 4 августа 2019;4 666;0,00028;
5 августа 2019 – 11 августа 2019;4 522;0,00027;
12 августа 2019 – 18 августа 2019;4 808;0,00029;
19 августа 2019 – 25 августа 2019;4 477;0,00027;
26 августа 2019 – 1 сентября 2019;4 606;0,00028;
2 сентября 2019 – 8 сентября 2019;4 384;0,00025;
9 сентября 2019 – 15 сентября 2019;4 667;0,00025;
16 сентября 2019 – 22 сентября 2019;4 825;0,00025;
23 сентября 2019 – 29 сентября 2019;4 620;0,00024;
30 сентября 2019 – 6 октября 2019;4 929;0,00025;
7 октября 2019 – 13 октября 2019;5 308;0,00026;
14 октября 2019 – 20 октября 2019;5 075;0,00025;
21 октября 2019 – 27 октября 2019;5 354;0,00026;
28 октября 2019 – 3 ноября 2019;5 377;0,00027;
4 ноября 2019 – 10 ноября 2019;5 366;0,00026;
11 ноября 2019 – 17 ноября 2019;5 474;0,00026;
18 ноября 2019 – 24 ноября 2019;5 766;0,00027;
25 ноября 2019 – 1 декабря 2019;5 779;0,00026;
2 декабря 2019 – 8 декабря 2019;5 861;0,00027;
9 декабря 2019 – 15 декабря 2019;5 436;0,00025;
16 декабря 2019 – 22 декабря 2019;5 442;0,00025;
23 декабря 2019 – 29 декабря 2019;4 922;0,00024;
30 декабря 2019 – 5 января 2020;4 431;0,00025;
6 января 2020 – 12 января 2020;5 592;0,00027;
13 января 2020 – 19 января 2020;6 264;0,00027;
20 января 2020 – 26 января 2020;6 660;0,00027;
27 января 2020 – 2 февраля 2020;6 113;0,00027;
3 февраля 2020 – 9 февраля 2020;5 579;0,00025;
10 февраля 2020 – 16 февраля 2020;5 341;0,00023;
17 февраля 2020 – 23 февраля 2020;5 448;0,00024;
24 февраля 2020 – 1 марта 2020;5 324;0,00024;
2 марта 2020 – 8 марта 2020;4 702;0,00021;
9 марта 2020 – 15 марта 2020;5 305;0,00024;
16 марта 2020 – 22 марта 2020;5 081;0,00022;
23 марта 2020 – 29 марта 2020;5 201;0,00023;
30 марта 2020 – 5 апреля 2020;11 613;0,00049;
6 апреля 2020 – 12 апреля 2020;5 710;0,00020;
13 апреля 2020 – 19 апреля 2020;5 621;0,00019;
20 апреля 2020 – 26 апреля 2020;5 802;0,00020;
27 апреля 2020 – 3 мая 2020;5 251;0,00020;
4 мая 2020 – 10 мая 2020;5 179;0,00022;
11 мая 2020 – 17 мая 2020;5 033;0,00019;
18 мая 2020 – 24 мая 2020;5 332;0,00020;
25 мая 2020 – 31 мая 2020;5 285;0,00023;
1 июня 2020 – 7 июня 2020;5 043;0,00023;
8 июня 2020 – 14 июня 2020;4 669;0,00023;
15 июня 2020 – 21 июня 2020;5 127;0,00025;
22 июня 2020 – 28 июня 2020;4 984;0,00024;
29 июня 2020 – 5 июля 2020;4 816;0,00024;
6 июля 2020 – 12 июля 2020;4 567;0,00024;
13 июля 2020 – 19 июля 2020;4 830;0,00025;
20 июля 2020 – 26 июля 2020;4 912;0,00026;
27 июля 2020 – 2 августа 2020;5 252;0,00027;
3 августа 2020 – 9 августа 2020;5 425;0,00029;
10 августа 2020 – 16 августа 2020;5 122;0,00027;
17 августа 2020 – 23 августа 2020;4 980;0,00026;
24 августа 2020 – 30 августа 2020;5 093;0,00026;
31 августа 2020 – 6 сентября 2020;4 662;0,00023;
7 сентября 2020 – 13 сентября 2020;5 042;0,00023;
14 сентября 2020 – 20 сентября 2020;5 323;0,00023;
21 сентября 2020 – 27 сентября 2020;5 013;0,00022;
28 сентября 2020 – 4 октября 2020;5 215;0,00022;
5 октября 2020 – 11 октября 2020;5 451;0,00023;
12 октября 2020 – 18 октября 2020;5 700;0,00023;
19 октября 2020 – 25 октября 2020;5 720;0,00022;
26 октября 2020 – 1 ноября 2020;5 811;0,00023;
2 ноября 2020 – 8 ноября 2020;5 967;0,00023;
9 ноября 2020 – 15 ноября 2020;6 016;0,00022;
16 ноября 2020 – 22 ноября 2020;6 062;0,00022;
23 ноября 2020 – 29 ноября 2020;6 158;0,00022;
30 ноября 2020 – 6 декабря 2020;6 147;0,00023;
7 декабря 2020 – 13 декабря 2020;5 762;0,00022;
14 декабря 2020 – 20 декабря 2020;5 665;0,00022;
21 декабря 2020 – 27 декабря 2020;5 094;0,00020;
28 декабря 2020 – 3 января 2021;4 742;0,00023;
4 января 2021 – 10 января 2021;6 326;0,00029;
11 января 2021 – 17 января 2021;6 345;0,00025;
18 января 2021 – 24 января 2021;6 315;0,00025;
25 января 2021 – 31 января 2021;6 467;0,00026;
1 февраля 2021 – 7 февраля 2021;6 386;0,00026;
8 февраля 2021 – 14 февраля 2021;6 125;0,00024;
15 февраля 2021 – 21 февраля 2021;5 541;0,00021;
22 февраля 2021 – 28 февраля 2021;5 951;0,00024;
1 марта 2021 – 7 марта 2021;5 616;0,00023;
8 марта 2021 – 14 марта 2021;5 822;0,00023;
15 марта 2021 – 21 марта 2021;5 897;0,00023;
22 марта 2021 – 28 марта 2021;6 020;0,00025;
29 марта 2021 – 4 апреля 2021;12 022;0,00049;
5 апреля 2021 – 11 апреля 2021;5 886;0,00023;
12 апреля 2021 – 18 апреля 2021;5 844;0,00023;
19 апреля 2021 – 25 апреля 2021;5 761;0,00022;
26 апреля 2021 – 2 мая 2021;5 212;0,00022;
3 мая 2021 – 9 мая 2021;5 703;0,00026;
10 мая 2021 – 16 мая 2021;6 378;0,00026;
17 мая 2021 – 23 мая 2021;6 148;0,00025;
24 мая 2021 – 30 мая 2021;5 733;0,00024;
31 мая 2021 – 6 июня 2021;5 884;0,00025;
7 июня 2021 – 13 июня 2021;5 937;0,00025;
14 июня 2021 – 20 июня 2021;6 073;0,00026;
21 июня 2021 – 27 июня 2021;5 671;0,00025;
28 июня 2021 – 4 июля 2021;5 618;0,00025;
5 июля 2021 – 11 июля 2021;5 666;0,00026;
12 июля 2021 – 18 июля 2021;5 692;0,00026;
19 июля 2021 – 25 июля 2021;5 959;0,00027;
26 июля 2021 – 1 августа 2021;5 985;0,00027;
2 августа 2021 – 8 августа 2021;5 694;0,00025;
9 августа 2021 – 15 августа 2021;6 086;0,00027;
16 августа 2021 – 22 августа 2021;6 018;0,00026;
23 августа 2021 – 29 августа 2021;5 994;0,00026;
30 августа 2021 – 5 сентября 2021;5 362;0,00022;
6 сентября 2021 – 12 сентября 2021;4 998;0,00020;
13 сентября 2021 – 19 сентября 2021;5 252;0,00020;
20 сентября 2021 – 26 сентября 2021;5 117;0,00019;
27 сентября 2021 – 3 октября 2021;5 169;0,00020;
4 октября 2021 – 10 октября 2021;5 455;0,00021;
11 октября 2021 – 17 октября 2021;5 768;0,00022;
18 октября 2021 – 24 октября 2021;6 006;0,00022;
25 октября 2021 – 31 октября 2021;5 882;0,00022;
1 ноября 2021 – 7 ноября 2021;6 057;0,00024;
8 ноября 2021 – 14 ноября 2021;5 723;0,00021;
15 ноября 2021 – 21 ноября 2021;6 080;0,00022;
22 ноября 2021 – 28 ноября 2021;5 820;0,00021;
29 ноября 2021 – 5 декабря 2021;5 849;0,00021;
6 декабря 2021 – 12 декабря 2021;5 543;0,00020;
13 декабря 2021 – 19 декабря 2021;5 541;0,00020;
20 декабря 2021 – 26 декабря 2021;5 199;0,00019;
27 декабря 2021 – 2 января 2022;4 755;0,00021;
3 января 2022 – 9 января 2022;5 952;0,00025;
10 января 2022 – 16 января 2022;6 401;0,00023;
17 января 2022 – 23 января 2022;7 602;0,00026;
24 января 2022 – 30 января 2022;8 725;0,00030;
31 января 2022 – 6 февраля 2022;7 965;0,00027;
7 февраля 2022 – 13 февраля 2022;7 084;0,00023;
14 февраля 2022 – 20 февраля 2022;6 166;0,00020;
21 февраля 2022 – 27 февраля 2022;5 640;0,00019;
28 февраля 2022 – 6 марта 2022;5 013;0,00017;
7 марта 2022 – 13 марта 2022;5 338;0,00019;
14 марта 2022 – 20 марта 2022;5 552;0,00019;
21 марта 2022 – 27 марта 2022;5 686;0,00020;
28 марта 2022 – 3 апреля 2022;10 209;0,00035;
4 апреля 2022 – 10 апреля 2022;5 474;0,00019;
11 апреля 2022 – 17 апреля 2022;5 407;0,00019;
18 апреля 2022 – 24 апреля 2022;5 327;0,00019;
25 апреля 2022 – 1 мая 2022;4 863;0,00018;
2 мая 2022 – 8 мая 2022;5 111;0,00020;
9 мая 2022 – 15 мая 2022;5 332;0,00019;
16 мая 2022 – 22 мая 2022;5 746;0,00020;
23 мая 2022 – 29 мая 2022;5 441;0,00019;
30 мая 2022 – 5 июня 2022;5 229;0,00020;
6 июня 2022 – 12 июня 2022;4 769;0,00019;
13 июня 2022 – 19 июня 2022;5 019;0,00020;
20 июня 2022 – 26 июня 2022;5 194;0,00020;
27 июня 2022 – 3 июля 2022;4 978;0,00020;
4 июля 2022 – 10 июля 2022;5 153;0,00022;
11 июля 2022 – 17 июля 2022;5 444;0,00022;
18 июля 2022 – 24 июля 2022;5 452;0,00023;
25 июля 2022 – 31 июля 2022;5 672;0,00024;
1 августа 2022 – 7 августа 2022;5 454;0,00023;
8 августа 2022 – 14 августа 2022;5 953;0,00025;
15 августа 2022 – 21 августа 2022;6 073;0,00025;
22 августа 2022 – 28 августа 2022;6 094;0,00024;
29 августа 2022 – 4 сентября 2022;5 834;0,00023;
5 сентября 2022 – 11 сентября 2022;5 814;0,00021;
12 сентября 2022 – 18 сентября 2022;5 696;0,00020;
19 сентября 2022 – 25 сентября 2022;5 435;0,00019;
26 сентября 2022 – 2 октября 2022;5 072;0,00018;
3 октября 2022 – 9 октября 2022;5 483;0,00020;
10 октября 2022 – 16 октября 2022;5 907;0,00021;
17 октября 2022 – 23 октября 2022;6 235;0,00021;
24 октября 2022 – 30 октября 2022;6 093;0,00021;
31 октября 2022 – 6 ноября 2022;6 465;0,00023;
7 ноября 2022 – 13 ноября 2022;6 194;0,00021;
14 ноября 2022 – 20 ноября 2022;6 095;0,00020;
21 ноября 2022 – 27 ноября 2022;6 030;0,00020;
28 ноября 2022 – 4 декабря 2022;5 813;0,00019;
5 декабря 2022 – 11 декабря 2022;5 697;0,00019;
12 декабря 2022 – 18 декабря 2022;5 498;0,00018;
19 декабря 2022 – 25 декабря 2022;5 147;0,00017;
26 декабря 2022 – 1 января 2023;4 210;0,00017;
2 января 2023 – 8 января 2023;5 116;0,00021;
9 января 2023 – 15 января 2023;5 631;0,00019;
16 января 2023 – 22 января 2023;5 559;0,00019;
23 января 2023 – 29 января 2023;5 736;0,00019;
30 января 2023 – 5 февраля 2023;5 575;0,00019;
6 февраля 2023 – 12 февраля 2023;5 272;0,00018;
13 февраля 2023 – 19 февраля 2023;5 205;0,00018;
20 февраля 2023 – 26 февраля 2023;5 128;0,00018;
27 февраля 2023 – 5 марта 2023;5 402;0,00018;
6 марта 2023 – 12 марта 2023;5 123;0,00018;
13 марта 2023 – 19 марта 2023;5 737;0,00020;
20 марта 2023 – 26 марта 2023;6 157;0,00022;
27 марта 2023 – 2 апреля 2023;9 798;0,00035;
3 апреля 2023 – 9 апреля 2023;5 478;0,00020;
