Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зачатие», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;113 935;0,0078;
8 января 2018 – 14 января 2018;136 719;0,0079;
15 января 2018 – 21 января 2018;134 870;0,0073;
22 января 2018 – 28 января 2018;136 139;0,0072;
29 января 2018 – 4 февраля 2018;135 614;0,0072;
5 февраля 2018 – 11 февраля 2018;131 058;0,0068;
12 февраля 2018 – 18 февраля 2018;116 356;0,0062;
19 февраля 2018 – 25 февраля 2018;122 886;0,0063;
26 февраля 2018 – 4 марта 2018;128 971;0,0064;
5 марта 2018 – 11 марта 2018;119 203;0,0065;
12 марта 2018 – 18 марта 2018;127 636;0,0064;
19 марта 2018 – 25 марта 2018;118 011;0,0063;
26 марта 2018 – 1 апреля 2018;111 467;0,0061;
2 апреля 2018 – 8 апреля 2018;108 496;0,0061;
9 апреля 2018 – 15 апреля 2018;120 406;0,0068;
16 апреля 2018 – 22 апреля 2018;109 091;0,0061;
23 апреля 2018 – 29 апреля 2018;108 423;0,0060;
30 апреля 2018 – 6 мая 2018;105 868;0,0067;
7 мая 2018 – 13 мая 2018;105 598;0,0063;
14 мая 2018 – 20 мая 2018;107 289;0,0061;
21 мая 2018 – 27 мая 2018;104 084;0,0062;
28 мая 2018 – 3 июня 2018;106 838;0,0064;
4 июня 2018 – 10 июня 2018;105 731;0,0063;
11 июня 2018 – 17 июня 2018;100 898;0,0064;
18 июня 2018 – 24 июня 2018;104 026;0,0064;
25 июня 2018 – 1 июля 2018;103 670;0,0065;
2 июля 2018 – 8 июля 2018;110 437;0,0069;
9 июля 2018 – 15 июля 2018;108 443;0,0071;
16 июля 2018 – 22 июля 2018;110 098;0,0070;
23 июля 2018 – 29 июля 2018;114 138;0,0072;
30 июля 2018 – 5 августа 2018;114 111;0,0072;
6 августа 2018 – 12 августа 2018;115 372;0,0073;
13 августа 2018 – 19 августа 2018;111 158;0,0069;
20 августа 2018 – 26 августа 2018;111 451;0,0071;
27 августа 2018 – 2 сентября 2018;107 491;0,0067;
3 сентября 2018 – 9 сентября 2018;111 270;0,0064;
10 сентября 2018 – 16 сентября 2018;110 918;0,0061;
17 сентября 2018 – 23 сентября 2018;118 508;0,0062;
24 сентября 2018 – 30 сентября 2018;117 914;0,0058;
1 октября 2018 – 7 октября 2018;124 362;0,0060;
8 октября 2018 – 14 октября 2018;134 093;0,0064;
15 октября 2018 – 21 октября 2018;135 847;0,0065;
22 октября 2018 – 28 октября 2018;132 517;0,0064;
29 октября 2018 – 4 ноября 2018;130 445;0,0064;
5 ноября 2018 – 11 ноября 2018;133 518;0,0069;
12 ноября 2018 – 18 ноября 2018;128 353;0,0064;
19 ноября 2018 – 25 ноября 2018;125 295;0,0063;
26 ноября 2018 – 2 декабря 2018;124 015;0,0063;
3 декабря 2018 – 9 декабря 2018;130 828;0,0064;
10 декабря 2018 – 16 декабря 2018;118 683;0,0059;
17 декабря 2018 – 23 декабря 2018;115 250;0,0058;
24 декабря 2018 – 30 декабря 2018;101 528;0,0056;
31 декабря 2018 – 6 января 2019;115 151;0,0072;
7 января 2019 – 13 января 2019;150 309;0,0078;
14 января 2019 – 20 января 2019;150 023;0,0072;
21 января 2019 – 27 января 2019;146 630;0,0069;
28 января 2019 – 3 февраля 2019;144 811;0,0069;
4 февраля 2019 – 10 февраля 2019;141 092;0,0066;
11 февраля 2019 – 17 февраля 2019;135 261;0,0064;
18 февраля 2019 – 24 февраля 2019;126 390;0,0062;
25 февраля 2019 – 3 марта 2019;129 069;0,0062;
4 марта 2019 – 10 марта 2019;114 439;0,0059;
11 марта 2019 – 17 марта 2019;130 751;0,0063;
18 марта 2019 – 24 марта 2019;126 609;0,0063;
25 марта 2019 – 31 марта 2019;121 697;0,0062;
1 апреля 2019 – 7 апреля 2019;118 544;0,0061;
8 апреля 2019 – 14 апреля 2019;114 017;0,0058;
15 апреля 2019 – 21 апреля 2019;114 001;0,0058;
22 апреля 2019 – 28 апреля 2019;104 472;0,0057;
29 апреля 2019 – 5 мая 2019;106 200;0,0063;
6 мая 2019 – 12 мая 2019;101 325;0,0061;
13 мая 2019 – 19 мая 2019;112 868;0,0060;
20 мая 2019 – 26 мая 2019;112 432;0,0060;
27 мая 2019 – 2 июня 2019;107 622;0,0061;
3 июня 2019 – 9 июня 2019;109 324;0,0063;
10 июня 2019 – 16 июня 2019;108 688;0,0064;
17 июня 2019 – 23 июня 2019;109 415;0,0065;
24 июня 2019 – 30 июня 2019;116 257;0,0068;
1 июля 2019 – 7 июля 2019;115 760;0,0069;
8 июля 2019 – 14 июля 2019;112 940;0,0069;
15 июля 2019 – 21 июля 2019;116 441;0,0071;
22 июля 2019 – 28 июля 2019;116 189;0,0071;
29 июля 2019 – 4 августа 2019;117 669;0,0071;
5 августа 2019 – 11 августа 2019;116 334;0,0069;
12 августа 2019 – 18 августа 2019;116 084;0,0071;
19 августа 2019 – 25 августа 2019;114 116;0,0070;
26 августа 2019 – 1 сентября 2019;109 843;0,0068;
2 сентября 2019 – 8 сентября 2019;107 193;0,0063;
9 сентября 2019 – 15 сентября 2019;111 792;0,0062;
16 сентября 2019 – 22 сентября 2019;117 064;0,0061;
23 сентября 2019 – 29 сентября 2019;116 019;0,0060;
30 сентября 2019 – 6 октября 2019;127 457;0,0065;
7 октября 2019 – 13 октября 2019;126 708;0,0064;
14 октября 2019 – 20 октября 2019;126 427;0,0063;
21 октября 2019 – 27 октября 2019;128 013;0,0064;
28 октября 2019 – 3 ноября 2019;125 468;0,0064;
4 ноября 2019 – 10 ноября 2019;131 144;0,0065;
11 ноября 2019 – 17 ноября 2019;130 284;0,0063;
18 ноября 2019 – 24 ноября 2019;127 899;0,0060;
25 ноября 2019 – 1 декабря 2019;132 289;0,0060;
2 декабря 2019 – 8 декабря 2019;130 906;0,0060;
9 декабря 2019 – 15 декабря 2019;120 826;0,0056;
16 декабря 2019 – 22 декабря 2019;123 379;0,0057;
23 декабря 2019 – 29 декабря 2019;105 111;0,0052;
30 декабря 2019 – 5 января 2020;106 522;0,0061;
6 января 2020 – 12 января 2020;146 635;0,0072;
13 января 2020 – 19 января 2020;164 020;0,0071;
20 января 2020 – 26 января 2020;166 559;0,0068;
27 января 2020 – 2 февраля 2020;144 396;0,0064;
3 февраля 2020 – 9 февраля 2020;139 546;0,0063;
10 февраля 2020 – 16 февраля 2020;132 538;0,0058;
17 февраля 2020 – 23 февраля 2020;134 782;0,0060;
24 февраля 2020 – 1 марта 2020;132 182;0,0060;
2 марта 2020 – 8 марта 2020;116 396;0,0054;
9 марта 2020 – 15 марта 2020;125 412;0,0057;
16 марта 2020 – 22 марта 2020;117 094;0,0052;
23 марта 2020 – 29 марта 2020;108 338;0,0048;
30 марта 2020 – 5 апреля 2020;110 921;0,0047;
6 апреля 2020 – 12 апреля 2020;116 259;0,0041;
13 апреля 2020 – 19 апреля 2020;115 233;0,0040;
20 апреля 2020 – 26 апреля 2020;118 836;0,0041;
27 апреля 2020 – 3 мая 2020;114 619;0,0044;
4 мая 2020 – 10 мая 2020;113 070;0,0049;
11 мая 2020 – 17 мая 2020;118 213;0,0045;
18 мая 2020 – 24 мая 2020;121 256;0,0046;
25 мая 2020 – 31 мая 2020;116 181;0,0050;
1 июня 2020 – 7 июня 2020;115 398;0,0052;
8 июня 2020 – 14 июня 2020;106 495;0,0052;
15 июня 2020 – 21 июня 2020;111 447;0,0054;
22 июня 2020 – 28 июня 2020;114 351;0,0057;
29 июня 2020 – 5 июля 2020;112 394;0,0057;
6 июля 2020 – 12 июля 2020;110 005;0,0058;
13 июля 2020 – 19 июля 2020;111 326;0,0059;
20 июля 2020 – 26 июля 2020;118 380;0,0062;
27 июля 2020 – 2 августа 2020;119 312;0,0063;
3 августа 2020 – 9 августа 2020;121 832;0,0065;
10 августа 2020 – 16 августа 2020;118 342;0,0062;
17 августа 2020 – 23 августа 2020;120 377;0,0063;
24 августа 2020 – 30 августа 2020;115 591;0,0060;
31 августа 2020 – 6 сентября 2020;110 304;0,0055;
7 сентября 2020 – 13 сентября 2020;115 147;0,0053;
14 сентября 2020 – 20 сентября 2020;118 968;0,0052;
21 сентября 2020 – 27 сентября 2020;120 675;0,0052;
28 сентября 2020 – 4 октября 2020;119 601;0,0052;
5 октября 2020 – 11 октября 2020;123 964;0,0052;
12 октября 2020 – 18 октября 2020;126 718;0,0051;
19 октября 2020 – 25 октября 2020;126 759;0,0050;
26 октября 2020 – 1 ноября 2020;132 434;0,0053;
2 ноября 2020 – 8 ноября 2020;134 285;0,0053;
9 ноября 2020 – 15 ноября 2020;129 620;0,0048;
16 ноября 2020 – 22 ноября 2020;130 182;0,0047;
23 ноября 2020 – 29 ноября 2020;128 780;0,0046;
30 ноября 2020 – 6 декабря 2020;128 282;0,0048;
7 декабря 2020 – 13 декабря 2020;123 429;0,0047;
14 декабря 2020 – 20 декабря 2020;119 160;0,0046;
21 декабря 2020 – 27 декабря 2020;116 187;0,0047;
28 декабря 2020 – 3 января 2021;98 279;0,0049;
4 января 2021 – 10 января 2021;148 300;0,0069;
11 января 2021 – 17 января 2021;146 835;0,0059;
18 января 2021 – 24 января 2021;137 141;0,0055;
25 января 2021 – 31 января 2021;137 434;0,0055;
1 февраля 2021 – 7 февраля 2021;131 432;0,0053;
8 февраля 2021 – 14 февраля 2021;125 812;0,0050;
15 февраля 2021 – 21 февраля 2021;126 993;0,0049;
22 февраля 2021 – 28 февраля 2021;127 161;0,0052;
1 марта 2021 – 7 марта 2021;118 786;0,0049;
8 марта 2021 – 14 марта 2021;124 515;0,0050;
15 марта 2021 – 21 марта 2021;130 118;0,0052;
22 марта 2021 – 28 марта 2021;127 542;0,0053;
29 марта 2021 – 4 апреля 2021;125 067;0,0051;
5 апреля 2021 – 11 апреля 2021;125 693;0,0049;
12 апреля 2021 – 18 апреля 2021;117 298;0,0047;
19 апреля 2021 – 25 апреля 2021;120 931;0,0047;
26 апреля 2021 – 2 мая 2021;109 678;0,0046;
3 мая 2021 – 9 мая 2021;115 293;0,0052;
10 мая 2021 – 16 мая 2021;115 250;0,0048;
17 мая 2021 – 23 мая 2021;116 646;0,0047;
24 мая 2021 – 30 мая 2021;115 810;0,0049;
31 мая 2021 – 6 июня 2021;118 369;0,0050;
7 июня 2021 – 13 июня 2021;118 757;0,0050;
14 июня 2021 – 20 июня 2021;117 946;0,0052;
21 июня 2021 – 27 июня 2021;118 031;0,0052;
28 июня 2021 – 4 июля 2021;119 922;0,0053;
5 июля 2021 – 11 июля 2021;115 889;0,0053;
12 июля 2021 – 18 июля 2021;120 451;0,0055;
19 июля 2021 – 25 июля 2021;124 429;0,0056;
26 июля 2021 – 1 августа 2021;125 840;0,0057;
2 августа 2021 – 8 августа 2021;125 951;0,0056;
9 августа 2021 – 15 августа 2021;127 431;0,0057;
16 августа 2021 – 22 августа 2021;129 054;0,0057;
23 августа 2021 – 29 августа 2021;129 204;0,0056;
30 августа 2021 – 5 сентября 2021;120 711;0,0051;
6 сентября 2021 – 12 сентября 2021;115 281;0,0048;
13 сентября 2021 – 19 сентября 2021;121 315;0,0048;
20 сентября 2021 – 26 сентября 2021;124 159;0,0048;
27 сентября 2021 – 3 октября 2021;123 646;0,0049;
4 октября 2021 – 10 октября 2021;129 636;0,0051;
11 октября 2021 – 17 октября 2021;130 776;0,0049;
18 октября 2021 – 24 октября 2021;128 023;0,0048;
25 октября 2021 – 31 октября 2021;127 713;0,0049;
1 ноября 2021 – 7 ноября 2021;136 450;0,0055;
8 ноября 2021 – 14 ноября 2021;130 752;0,0048;
15 ноября 2021 – 21 ноября 2021;128 992;0,0046;
22 ноября 2021 – 28 ноября 2021;127 699;0,0046;
29 ноября 2021 – 5 декабря 2021;125 940;0,0046;
6 декабря 2021 – 12 декабря 2021;127 550;0,0046;
13 декабря 2021 – 19 декабря 2021;124 263;0,0044;
20 декабря 2021 – 26 декабря 2021;123 491;0,0045;
27 декабря 2021 – 2 января 2022;98 001;0,0043;
3 января 2022 – 9 января 2022;148 826;0,0063;
10 января 2022 – 16 января 2022;148 065;0,0054;
17 января 2022 – 23 января 2022;146 692;0,0051;
24 января 2022 – 30 января 2022;141 261;0,0048;
31 января 2022 – 6 февраля 2022;133 387;0,0045;
7 февраля 2022 – 13 февраля 2022;130 695;0,0043;
14 февраля 2022 – 20 февраля 2022;123 563;0,0041;
21 февраля 2022 – 27 февраля 2022;112 747;0,0039;
28 февраля 2022 – 6 марта 2022;101 463;0,0035;
7 марта 2022 – 13 марта 2022;112 330;0,0040;
14 марта 2022 – 20 марта 2022;123 133;0,0042;
21 марта 2022 – 27 марта 2022;135 024;0,0047;
28 марта 2022 – 3 апреля 2022;137 131;0,0048;
4 апреля 2022 – 10 апреля 2022;133 852;0,0047;
11 апреля 2022 – 17 апреля 2022;129 676;0,0046;
18 апреля 2022 – 24 апреля 2022;127 985;0,0046;
25 апреля 2022 – 1 мая 2022;125 481;0,0047;
2 мая 2022 – 8 мая 2022;122 815;0,0049;
9 мая 2022 – 15 мая 2022;133 287;0,0049;
16 мая 2022 – 22 мая 2022;132 006;0,0046;
23 мая 2022 – 29 мая 2022;127 440;0,0046;
30 мая 2022 – 5 июня 2022;122 565;0,0048;
6 июня 2022 – 12 июня 2022;119 004;0,0048;
13 июня 2022 – 19 июня 2022;127 327;0,0051;
20 июня 2022 – 26 июня 2022;126 615;0,0049;
27 июня 2022 – 3 июля 2022;122 146;0,0051;
4 июля 2022 – 10 июля 2022;122 217;0,0052;
11 июля 2022 – 17 июля 2022;128 901;0,0054;
18 июля 2022 – 24 июля 2022;134 023;0,0056;
25 июля 2022 – 31 июля 2022;136 266;0,0057;
1 августа 2022 – 7 августа 2022;135 097;0,0057;
8 августа 2022 – 14 августа 2022;136 878;0,0057;
15 августа 2022 – 21 августа 2022;141 852;0,0058;
22 августа 2022 – 28 августа 2022;140 487;0,0057;
29 августа 2022 – 4 сентября 2022;135 344;0,0053;
5 сентября 2022 – 11 сентября 2022;130 111;0,0048;
12 сентября 2022 – 18 сентября 2022;129 964;0,0047;
19 сентября 2022 – 25 сентября 2022;126 784;0,0045;
26 сентября 2022 – 2 октября 2022;126 713;0,0046;
3 октября 2022 – 9 октября 2022;139 503;0,0051;
10 октября 2022 – 16 октября 2022;135 115;0,0049;
17 октября 2022 – 23 октября 2022;142 732;0,0049;
24 октября 2022 – 30 октября 2022;143 208;0,0050;
31 октября 2022 – 6 ноября 2022;146 400;0,0053;
7 ноября 2022 – 13 ноября 2022;144 803;0,0050;
14 ноября 2022 – 20 ноября 2022;141 403;0,0047;
21 ноября 2022 – 27 ноября 2022;135 175;0,0045;
28 ноября 2022 – 4 декабря 2022;131 390;0,0044;
5 декабря 2022 – 11 декабря 2022;128 625;0,0043;
12 декабря 2022 – 18 декабря 2022;120 769;0,0041;
19 декабря 2022 – 25 декабря 2022;125 823;0,0043;
26 декабря 2022 – 1 января 2023;88 980;0,0037;
2 января 2023 – 8 января 2023;135 375;0,0055;
9 января 2023 – 15 января 2023;138 881;0,0049;
16 января 2023 – 22 января 2023;137 572;0,0047;
23 января 2023 – 29 января 2023;139 040;0,0047;
30 января 2023 – 5 февраля 2023;134 643;0,0046;
6 февраля 2023 – 12 февраля 2023;126 072;0,0043;
13 февраля 2023 – 19 февраля 2023;124 788;0,0043;
20 февраля 2023 – 26 февраля 2023;121 528;0,0044;
27 февраля 2023 – 5 марта 2023;123 390;0,0042;
6 марта 2023 – 12 марта 2023;117 758;0,0043;
13 марта 2023 – 19 марта 2023;125 944;0,0044;
20 марта 2023 – 26 марта 2023;124 210;0,0045;
27 марта 2023 – 2 апреля 2023;122 821;0,0045;
3 апреля 2023 – 9 апреля 2023;118 939;0,0043;
10 апреля 2023 – 16 апреля 2023;111 925;0,0041;
17 апреля 2023 – 23 апреля 2023;111 273;0,0041;
24 апреля 2023 – 30 апреля 2023;107 924;0,0040;
1 мая 2023 – 7 мая 2023;105 374;0,0041;
8 мая 2023 – 14 мая 2023;106 436;0,0042;
15 мая 2023 – 21 мая 2023;108 612;0,0041;
22 мая 2023 – 28 мая 2023;105 716;0,0042;
29 мая 2023 – 4 июня 2023;105 332;0,0043;
5 июня 2023 – 11 июня 2023;104 891;0,0043;
12 июня 2023 – 18 июня 2023;105 436;0,0045;
19 июня 2023 – 25 июня 2023;107 278;0,0044;
26 июня 2023 – 2 июля 2023;109 770;0,0047;
3 июля 2023 – 9 июля 2023;107 949;0,0047;
10 июля 2023 – 16 июля 2023;111 837;0,0048;
17 июля 2023 – 23 июля 2023;114 225;0,0050;
24 июля 2023 – 30 июля 2023;116 432;0,0050;
31 июля 2023 – 6 августа 2023;112 280;0,0050;
7 августа 2023 – 13 августа 2023;114 544;0,0050;
14 августа 2023 – 20 августа 2023;113 834;0,0050;
21 августа 2023 – 27 августа 2023;110 016;0,0049;
28 августа 2023 – 3 сентября 2023;103 849;0,0046;
4 сентября 2023 – 10 сентября 2023;105 508;0,0043;
11 сентября 2023 – 17 сентября 2023;107 489;0,0042;
18 сентября 2023 – 24 сентября 2023;110 856;0,0043;
25 сентября 2023 – 1 октября 2023;112 491;0,0043;
2 октября 2023 – 8 октября 2023;115 599;0,0043;
9 октября 2023 – 15 октября 2023;116 911;0,0043;
16 октября 2023 – 22 октября 2023;118 150;0,0043;
23 октября 2023 – 29 октября 2023;116 471;0,0043;
30 октября 2023 – 5 ноября 2023;116 835;0,0046;
6 ноября 2023 – 12 ноября 2023;123 443;0,0046;
13 ноября 2023 – 19 ноября 2023;120 639;0,0043;
20 ноября 2023 – 26 ноября 2023;118 303;0,0042;
27 ноября 2023 – 3 декабря 2023;117 850;0,0041;
4 декабря 2023 – 10 декабря 2023;118 093;0,0041;
11 декабря 2023 – 17 декабря 2023;107 210;0,0038;
18 декабря 2023 – 24 декабря 2023;113 114;0,0041;
25 декабря 2023 – 31 декабря 2023;88 038;0,0037;
1 января 2024 – 7 января 2024;119 228;0,0051;
8 января 2024 – 14 января 2024;133 671;0,0049;
15 января 2024 – 21 января 2024;133 616;0,0047;
22 января 2024 – 28 января 2024;131 173;0,0046;
29 января 2024 – 4 февраля 2024;129 442;0,0045;
5 февраля 2024 – 11 февраля 2024;125 066;0,0043;
12 февраля 2024 – 18 февраля 2024;122 210;0,0042;
19 февраля 2024 – 25 февраля 2024;118 803;0,0043;
