Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «организация похорон», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;866;0,000059;
8 января 2018 – 14 января 2018;1 480;0,000086;
15 января 2018 – 21 января 2018;1 845;0,000100;
22 января 2018 – 28 января 2018;1 213;0,000064;
29 января 2018 – 4 февраля 2018;1 274;0,000067;
5 февраля 2018 – 11 февраля 2018;1 243;0,000064;
12 февраля 2018 – 18 февраля 2018;1 073;0,000057;
19 февраля 2018 – 25 февраля 2018;1 271;0,000065;
26 февраля 2018 – 4 марта 2018;1 293;0,000064;
5 марта 2018 – 11 марта 2018;1 253;0,000068;
12 марта 2018 – 18 марта 2018;1 435;0,000073;
19 марта 2018 – 25 марта 2018;1 717;0,000091;
26 марта 2018 – 1 апреля 2018;1 252;0,000068;
2 апреля 2018 – 8 апреля 2018;1 217;0,000069;
9 апреля 2018 – 15 апреля 2018;1 199;0,000068;
16 апреля 2018 – 22 апреля 2018;1 140;0,000064;
23 апреля 2018 – 29 апреля 2018;1 297;0,000072;
30 апреля 2018 – 6 мая 2018;971;0,000061;
7 мая 2018 – 13 мая 2018;1 366;0,000082;
14 мая 2018 – 20 мая 2018;1 059;0,000060;
21 мая 2018 – 27 мая 2018;1 130;0,000067;
28 мая 2018 – 3 июня 2018;1 617;0,000096;
4 июня 2018 – 10 июня 2018;1 539;0,000091;
11 июня 2018 – 17 июня 2018;6 226;0,000399;
18 июня 2018 – 24 июня 2018;1 264;0,000077;
25 июня 2018 – 1 июля 2018;1 096;0,000068;
2 июля 2018 – 8 июля 2018;1 032;0,000065;
9 июля 2018 – 15 июля 2018;973;0,000064;
16 июля 2018 – 22 июля 2018;1 191;0,000076;
23 июля 2018 – 29 июля 2018;1 018;0,000064;
30 июля 2018 – 5 августа 2018;1 214;0,000077;
6 августа 2018 – 12 августа 2018;1 199;0,000075;
13 августа 2018 – 19 августа 2018;1 111;0,000069;
20 августа 2018 – 26 августа 2018;1 196;0,000077;
27 августа 2018 – 2 сентября 2018;1 232;0,000077;
3 сентября 2018 – 9 сентября 2018;1 195;0,000068;
10 сентября 2018 – 16 сентября 2018;1 229;0,000068;
17 сентября 2018 – 23 сентября 2018;1 506;0,000078;
24 сентября 2018 – 30 сентября 2018;1 276;0,000063;
1 октября 2018 – 7 октября 2018;1 414;0,000069;
8 октября 2018 – 14 октября 2018;1 704;0,000082;
15 октября 2018 – 21 октября 2018;1 720;0,000083;
22 октября 2018 – 28 октября 2018;1 511;0,000073;
29 октября 2018 – 4 ноября 2018;1 626;0,000080;
5 ноября 2018 – 11 ноября 2018;1 499;0,000078;
12 ноября 2018 – 18 ноября 2018;1 719;0,000086;
19 ноября 2018 – 25 ноября 2018;2 358;0,000119;
26 ноября 2018 – 2 декабря 2018;1 406;0,000071;
3 декабря 2018 – 9 декабря 2018;1 712;0,000084;
10 декабря 2018 – 16 декабря 2018;2 021;0,000101;
17 декабря 2018 – 23 декабря 2018;1 652;0,000084;
24 декабря 2018 – 30 декабря 2018;1 578;0,000088;
31 декабря 2018 – 6 января 2019;1 275;0,000080;
7 января 2019 – 13 января 2019;1 441;0,000075;
14 января 2019 – 20 января 2019;1 606;0,000077;
21 января 2019 – 27 января 2019;1 395;0,000065;
28 января 2019 – 3 февраля 2019;1 396;0,000066;
4 февраля 2019 – 10 февраля 2019;1 814;0,000085;
11 февраля 2019 – 17 февраля 2019;2 408;0,000115;
18 февраля 2019 – 24 февраля 2019;2 541;0,000124;
25 февраля 2019 – 3 марта 2019;2 989;0,000144;
4 марта 2019 – 10 марта 2019;2 179;0,000113;
11 марта 2019 – 17 марта 2019;1 573;0,000076;
18 марта 2019 – 24 марта 2019;1 927;0,000096;
25 марта 2019 – 31 марта 2019;2 288;0,000118;
1 апреля 2019 – 7 апреля 2019;8 677;0,000446;
8 апреля 2019 – 14 апреля 2019;13 472;0,000691;
15 апреля 2019 – 21 апреля 2019;12 114;0,000621;
22 апреля 2019 – 28 апреля 2019;9 800;0,000535;
29 апреля 2019 – 5 мая 2019;9 778;0,000583;
6 мая 2019 – 12 мая 2019;7 451;0,000450;
13 мая 2019 – 19 мая 2019;4 522;0,000240;
20 мая 2019 – 26 мая 2019;3 738;0,000201;
27 мая 2019 – 2 июня 2019;3 656;0,000207;
3 июня 2019 – 9 июня 2019;3 671;0,000212;
10 июня 2019 – 16 июня 2019;5 806;0,000344;
17 июня 2019 – 23 июня 2019;8 991;0,000541;
24 июня 2019 – 30 июня 2019;5 974;0,000354;
