Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «последствия аборта», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;692;0,000047;
8 января 2018 – 14 января 2018;1 021;0,000059;
15 января 2018 – 21 января 2018;1 063;0,000058;
22 января 2018 – 28 января 2018;1 067;0,000056;
29 января 2018 – 4 февраля 2018;1 159;0,000061;
5 февраля 2018 – 11 февраля 2018;1 125;0,000058;
12 февраля 2018 – 18 февраля 2018;952;0,000050;
19 февраля 2018 – 25 февраля 2018;1 007;0,000051;
26 февраля 2018 – 4 марта 2018;1 036;0,000051;
5 марта 2018 – 11 марта 2018;902;0,000049;
12 марта 2018 – 18 марта 2018;1 140;0,000058;
19 марта 2018 – 25 марта 2018;1 073;0,000057;
26 марта 2018 – 1 апреля 2018;913;0,000049;
2 апреля 2018 – 8 апреля 2018;869;0,000049;
9 апреля 2018 – 15 апреля 2018;935;0,000053;
16 апреля 2018 – 22 апреля 2018;972;0,000054;
23 апреля 2018 – 29 апреля 2018;914;0,000051;
30 апреля 2018 – 6 мая 2018;828;0,000052;
7 мая 2018 – 13 мая 2018;836;0,000050;
14 мая 2018 – 20 мая 2018;1 084;0,000062;
21 мая 2018 – 27 мая 2018;1 021;0,000061;
28 мая 2018 – 3 июня 2018;988;0,000059;
4 июня 2018 – 10 июня 2018;931;0,000055;
11 июня 2018 – 17 июня 2018;891;0,000057;
18 июня 2018 – 24 июня 2018;856;0,000052;
25 июня 2018 – 1 июля 2018;881;0,000055;
2 июля 2018 – 8 июля 2018;915;0,000057;
9 июля 2018 – 15 июля 2018;764;0,000050;
16 июля 2018 – 22 июля 2018;821;0,000052;
23 июля 2018 – 29 июля 2018;875;0,000055;
30 июля 2018 – 5 августа 2018;847;0,000053;
6 августа 2018 – 12 августа 2018;831;0,000052;
13 августа 2018 – 19 августа 2018;801;0,000050;
20 августа 2018 – 26 августа 2018;854;0,000055;
27 августа 2018 – 2 сентября 2018;732;0,000045;
3 сентября 2018 – 9 сентября 2018;809;0,000046;
10 сентября 2018 – 16 сентября 2018;792;0,000044;
17 сентября 2018 – 23 сентября 2018;843;0,000044;
24 сентября 2018 – 30 сентября 2018;935;0,000046;
1 октября 2018 – 7 октября 2018;1 039;0,000050;
8 октября 2018 – 14 октября 2018;1 081;0,000052;
15 октября 2018 – 21 октября 2018;1 097;0,000052;
22 октября 2018 – 28 октября 2018;1 295;0,000062;
29 октября 2018 – 4 ноября 2018;1 082;0,000053;
5 ноября 2018 – 11 ноября 2018;1 118;0,000058;
12 ноября 2018 – 18 ноября 2018;1 141;0,000057;
19 ноября 2018 – 25 ноября 2018;1 063;0,000053;
26 ноября 2018 – 2 декабря 2018;1 078;0,000055;
3 декабря 2018 – 9 декабря 2018;1 164;0,000057;
10 декабря 2018 – 16 декабря 2018;960;0,000048;
17 декабря 2018 – 23 декабря 2018;1 023;0,000052;
24 декабря 2018 – 30 декабря 2018;886;0,000049;
31 декабря 2018 – 6 января 2019;641;0,000040;
7 января 2019 – 13 января 2019;1 116;0,000058;
14 января 2019 – 20 января 2019;1 212;0,000058;
21 января 2019 – 27 января 2019;1 136;0,000053;
28 января 2019 – 3 февраля 2019;1 145;0,000054;
4 февраля 2019 – 10 февраля 2019;1 094;0,000051;
11 февраля 2019 – 17 февраля 2019;1 111;0,000053;
18 февраля 2019 – 24 февраля 2019;1 215;0,000059;
25 февраля 2019 – 3 марта 2019;1 107;0,000053;
4 марта 2019 – 10 марта 2019;1 098;0,000057;
11 марта 2019 – 17 марта 2019;1 162;0,000056;
18 марта 2019 – 24 марта 2019;1 158;0,000057;
25 марта 2019 – 31 марта 2019;1 151;0,000059;
1 апреля 2019 – 7 апреля 2019;1 144;0,000058;
8 апреля 2019 – 14 апреля 2019;1 010;0,000051;
15 апреля 2019 – 21 апреля 2019;1 004;0,000051;
22 апреля 2019 – 28 апреля 2019;1 085;0,000059;
29 апреля 2019 – 5 мая 2019;829;0,000049;
6 мая 2019 – 12 мая 2019;1 037;0,000062;
13 мая 2019 – 19 мая 2019;1 239;0,000066;
