Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «похороны», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;134 033;0,0092;
8 января 2018 – 14 января 2018;179 257;0,0104;
15 января 2018 – 21 января 2018;215 463;0,0117;
22 января 2018 – 28 января 2018;214 745;0,0114;
29 января 2018 – 4 февраля 2018;183 366;0,0097;
5 февраля 2018 – 11 февраля 2018;195 090;0,0101;
12 февраля 2018 – 18 февраля 2018;136 603;0,0073;
19 февраля 2018 – 25 февраля 2018;154 681;0,0079;
26 февраля 2018 – 4 марта 2018;160 123;0,0079;
5 марта 2018 – 11 марта 2018;155 738;0,0085;
12 марта 2018 – 18 марта 2018;494 493;0,0251;
19 марта 2018 – 25 марта 2018;176 473;0,0094;
26 марта 2018 – 1 апреля 2018;580 536;0,0317;
2 апреля 2018 – 8 апреля 2018;179 868;0,0102;
9 апреля 2018 – 15 апреля 2018;139 322;0,0079;
16 апреля 2018 – 22 апреля 2018;145 200;0,0081;
23 апреля 2018 – 29 апреля 2018;173 369;0,0097;
30 апреля 2018 – 6 мая 2018;122 483;0,0078;
7 мая 2018 – 13 мая 2018;115 379;0,0069;
14 мая 2018 – 20 мая 2018;122 673;0,0070;
21 мая 2018 – 27 мая 2018;130 024;0,0078;
28 мая 2018 – 3 июня 2018;114 177;0,0068;
4 июня 2018 – 10 июня 2018;118 151;0,0070;
11 июня 2018 – 17 июня 2018;713 948;0,0458;
18 июня 2018 – 24 июня 2018;138 475;0,0085;
25 июня 2018 – 1 июля 2018;137 765;0,0086;
2 июля 2018 – 8 июля 2018;122 257;0,0077;
9 июля 2018 – 15 июля 2018;109 641;0,0072;
16 июля 2018 – 22 июля 2018;135 067;0,0086;
23 июля 2018 – 29 июля 2018;134 791;0,0085;
30 июля 2018 – 5 августа 2018;130 432;0,0082;
6 августа 2018 – 12 августа 2018;144 048;0,0091;
13 августа 2018 – 19 августа 2018;144 942;0,0090;
20 августа 2018 – 26 августа 2018;114 157;0,0073;
27 августа 2018 – 2 сентября 2018;462 552;0,0289;
3 сентября 2018 – 9 сентября 2018;477 867;0,0275;
10 сентября 2018 – 16 сентября 2018;150 944;0,0084;
17 сентября 2018 – 23 сентября 2018;141 358;0,0073;
24 сентября 2018 – 30 сентября 2018;158 866;0,0078;
1 октября 2018 – 7 октября 2018;173 165;0,0084;
8 октября 2018 – 14 октября 2018;151 672;0,0073;
15 октября 2018 – 21 октября 2018;264 277;0,0127;
22 октября 2018 – 28 октября 2018;229 390;0,0111;
29 октября 2018 – 4 ноября 2018;404 184;0,0201;
5 ноября 2018 – 11 ноября 2018;156 712;0,0081;
12 ноября 2018 – 18 ноября 2018;147 139;0,0073;
