Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «с днем рождения», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;3 715 848;0,25;
8 января 2018 – 14 января 2018;4 572 092;0,26;
15 января 2018 – 21 января 2018;5 023 000;0,27;
22 января 2018 – 28 января 2018;5 419 781;0,28;
29 января 2018 – 4 февраля 2018;5 419 758;0,28;
5 февраля 2018 – 11 февраля 2018;5 421 897;0,28;
12 февраля 2018 – 18 февраля 2018;4 970 913;0,26;
19 февраля 2018 – 25 февраля 2018;5 347 146;0,27;
26 февраля 2018 – 4 марта 2018;6 024 007;0,29;
5 марта 2018 – 11 марта 2018;5 524 883;0,30;
12 марта 2018 – 18 марта 2018;5 547 673;0,28;
19 марта 2018 – 25 марта 2018;5 156 507;0,27;
26 марта 2018 – 1 апреля 2018;5 078 633;0,27;
2 апреля 2018 – 8 апреля 2018;4 887 228;0,27;
9 апреля 2018 – 15 апреля 2018;5 053 854;0,28;
16 апреля 2018 – 22 апреля 2018;5 159 122;0,29;
23 апреля 2018 – 29 апреля 2018;5 041 228;0,28;
30 апреля 2018 – 6 мая 2018;4 613 013;0,29;
7 мая 2018 – 13 мая 2018;4 746 703;0,28;
14 мая 2018 – 20 мая 2018;4 922 899;0,28;
21 мая 2018 – 27 мая 2018;4 755 424;0,28;
28 мая 2018 – 3 июня 2018;4 852 235;0,29;
4 июня 2018 – 10 июня 2018;4 957 567;0,29;
11 июня 2018 – 17 июня 2018;4 483 711;0,28;
18 июня 2018 – 24 июня 2018;4 576 430;0,28;
25 июня 2018 – 1 июля 2018;4 514 439;0,28;
2 июля 2018 – 8 июля 2018;4 624 875;0,29;
9 июля 2018 – 15 июля 2018;4 506 272;0,29;
16 июля 2018 – 22 июля 2018;4 535 609;0,29;
23 июля 2018 – 29 июля 2018;4 616 732;0,29;
30 июля 2018 – 5 августа 2018;4 813 629;0,30;
6 августа 2018 – 12 августа 2018;4 716 424;0,29;
13 августа 2018 – 19 августа 2018;4 598 785;0,28;
20 августа 2018 – 26 августа 2018;4 416 025;0,28;
27 августа 2018 – 2 сентября 2018;4 403 608;0,27;
3 сентября 2018 – 9 сентября 2018;4 596 532;0,26;
10 сентября 2018 – 16 сентября 2018;4 805 071;0,26;
17 сентября 2018 – 23 сентября 2018;5 111 414;0,26;
24 сентября 2018 – 30 сентября 2018;6 253 153;0,30;
1 октября 2018 – 7 октября 2018;5 693 316;0,27;
8 октября 2018 – 14 октября 2018;5 700 878;0,27;
15 октября 2018 – 21 октября 2018;5 438 311;0,26;
22 октября 2018 – 28 октября 2018;5 508 708;0,26;
29 октября 2018 – 4 ноября 2018;5 645 173;0,28;
5 ноября 2018 – 11 ноября 2018;5 463 725;0,28;
12 ноября 2018 – 18 ноября 2018;5 593 397;0,28;
19 ноября 2018 – 25 ноября 2018;5 566 715;0,28;
26 ноября 2018 – 2 декабря 2018;5 625 398;0,28;
3 декабря 2018 – 9 декабря 2018;5 770 062;0,28;
10 декабря 2018 – 16 декабря 2018;5 311 017;0,26;
17 декабря 2018 – 23 декабря 2018;4 997 046;0,25;
24 декабря 2018 – 30 декабря 2018;4 295 899;0,23;
31 декабря 2018 – 6 января 2019;4 658 783;0,29;
7 января 2019 – 13 января 2019;5 811 148;0,30;
14 января 2019 – 20 января 2019;6 290 566;0,30;
21 января 2019 – 27 января 2019;6 765 273;0,31;
28 января 2019 – 3 февраля 2019;6 841 780;0,32;
4 февраля 2019 – 10 февраля 2019;7 017 000;0,33;
11 февраля 2019 – 17 февраля 2019;6 634 087;0,31;
18 февраля 2019 – 24 февраля 2019;6 328 537;0,31;
25 февраля 2019 – 3 марта 2019;6 840 713;0,33;
4 марта 2019 – 10 марта 2019;6 166 925;0,32;
11 марта 2019 – 17 марта 2019;6 622 004;0,32;
18 марта 2019 – 24 марта 2019;6 358 983;0,31;
25 марта 2019 – 31 марта 2019;6 215 602;0,32;
1 апреля 2019 – 7 апреля 2019;6 273 303;0,32;
8 апреля 2019 – 14 апреля 2019;6 256 405;0,32;
15 апреля 2019 – 21 апреля 2019;6 207 518;0,31;
22 апреля 2019 – 28 апреля 2019;5 791 107;0,31;
29 апреля 2019 – 5 мая 2019;5 792 327;0,34;
6 мая 2019 – 12 мая 2019;5 470 386;0,33;
13 мая 2019 – 19 мая 2019;5 986 613;0,31;
20 мая 2019 – 26 мая 2019;5 895 743;0,31;
27 мая 2019 – 2 июня 2019;5 799 025;0,32;
3 июня 2019 – 9 июня 2019;5 738 192;0,33;
10 июня 2019 – 16 июня 2019;5 651 023;0,33;
17 июня 2019 – 23 июня 2019;5 645 019;0,34;
24 июня 2019 – 30 июня 2019;5 604 963;0,33;
1 июля 2019 – 7 июля 2019;5 675 962;0,34;
8 июля 2019 – 14 июля 2019;5 487 081;0,33;
15 июля 2019 – 21 июля 2019;5 469 055;0,33;
22 июля 2019 – 28 июля 2019;5 465 322;0,33;
29 июля 2019 – 4 августа 2019;5 890 204;0,35;
5 августа 2019 – 11 августа 2019;5 751 609;0,34;
12 августа 2019 – 18 августа 2019;5 559 934;0,34;
19 августа 2019 – 25 августа 2019;5 439 828;0,33;
26 августа 2019 – 1 сентября 2019;5 388 528;0,33;
2 сентября 2019 – 8 сентября 2019;5 234 190;0,30;
9 сентября 2019 – 15 сентября 2019;5 588 558;0,31;
16 сентября 2019 – 22 сентября 2019;5 828 256;0,30;
23 сентября 2019 – 29 сентября 2019;5 977 614;0,31;
30 сентября 2019 – 6 октября 2019;6 283 346;0,32;
7 октября 2019 – 13 октября 2019;6 333 659;0,32;
14 октября 2019 – 20 октября 2019;6 094 852;0,30;
21 октября 2019 – 27 октября 2019;5 960 687;0,29;
28 октября 2019 – 3 ноября 2019;6 162 732;0,31;
4 ноября 2019 – 10 ноября 2019;6 409 424;0,32;
11 ноября 2019 – 17 ноября 2019;6 422 417;0,31;
18 ноября 2019 – 24 ноября 2019;6 399 370;0,30;
25 ноября 2019 – 1 декабря 2019;6 690 548;0,30;
2 декабря 2019 – 8 декабря 2019;6 801 931;0,31;
9 декабря 2019 – 15 декабря 2019;6 407 227;0,29;
16 декабря 2019 – 22 декабря 2019;6 152 891;0,28;
23 декабря 2019 – 29 декабря 2019;5 486 276;0,27;
30 декабря 2019 – 5 января 2020;5 168 605;0,29;
6 января 2020 – 12 января 2020;6 500 874;0,32;
13 января 2020 – 19 января 2020;7 162 895;0,31;
20 января 2020 – 26 января 2020;7 710 582;0,31;
27 января 2020 – 2 февраля 2020;7 676 425;0,34;
3 февраля 2020 – 9 февраля 2020;7 477 271;0,33;
10 февраля 2020 – 16 февраля 2020;7 306 881;0,32;
17 февраля 2020 – 23 февраля 2020;7 113 261;0,31;
24 февраля 2020 – 1 марта 2020;6 551 805;0,29;
2 марта 2020 – 8 марта 2020;7 169 071;0,33;
9 марта 2020 – 15 марта 2020;7 161 462;0,32;
16 марта 2020 – 22 марта 2020;7 089 907;0,31;
23 марта 2020 – 29 марта 2020;6 788 122;0,30;
30 марта 2020 – 5 апреля 2020;7 289 525;0,31;
6 апреля 2020 – 12 апреля 2020;7 770 618;0,27;
13 апреля 2020 – 19 апреля 2020;7 818 543;0,27;
20 апреля 2020 – 26 апреля 2020;8 591 581;0,30;
27 апреля 2020 – 3 мая 2020;8 185 826;0,31;
4 мая 2020 – 10 мая 2020;8 152 515;0,35;
11 мая 2020 – 17 мая 2020;8 330 866;0,31;
18 мая 2020 – 24 мая 2020;8 760 507;0,33;
25 мая 2020 – 31 мая 2020;8 357 079;0,36;
1 июня 2020 – 7 июня 2020;8 367 821;0,38;
8 июня 2020 – 14 июня 2020;7 531 191;0,37;
15 июня 2020 – 21 июня 2020;7 525 983;0,36;
22 июня 2020 – 28 июня 2020;7 345 823;0,36;
29 июня 2020 – 5 июля 2020;7 326 186;0,37;
6 июля 2020 – 12 июля 2020;7 180 694;0,38;
13 июля 2020 – 19 июля 2020;7 156 553;0,38;
20 июля 2020 – 26 июля 2020;7 279 648;0,38;
27 июля 2020 – 2 августа 2020;7 584 226;0,40;
3 августа 2020 – 9 августа 2020;7 585 759;0,40;
10 августа 2020 – 16 августа 2020;7 352 316;0,38;
17 августа 2020 – 23 августа 2020;7 324 657;0,38;
24 августа 2020 – 30 августа 2020;6 998 534;0,36;
31 августа 2020 – 6 сентября 2020;6 847 769;0,34;
7 сентября 2020 – 13 сентября 2020;7 185 171;0,33;
14 сентября 2020 – 20 сентября 2020;7 294 821;0,32;
21 сентября 2020 – 27 сентября 2020;7 279 178;0,31;
28 сентября 2020 – 4 октября 2020;7 501 911;0,32;
5 октября 2020 – 11 октября 2020;7 999 243;0,34;
12 октября 2020 – 18 октября 2020;7 804 914;0,32;
19 октября 2020 – 25 октября 2020;7 761 567;0,31;
26 октября 2020 – 1 ноября 2020;8 200 382;0,32;
2 ноября 2020 – 8 ноября 2020;8 467 877;0,34;
9 ноября 2020 – 15 ноября 2020;8 552 574;0,32;
16 ноября 2020 – 22 ноября 2020;8 697 043;0,31;
23 ноября 2020 – 29 ноября 2020;8 368 259;0,30;
30 ноября 2020 – 6 декабря 2020;8 706 753;0,33;
7 декабря 2020 – 13 декабря 2020;7 942 449;0,30;
14 декабря 2020 – 20 декабря 2020;7 560 331;0,29;
21 декабря 2020 – 27 декабря 2020;6 904 313;0,28;
28 декабря 2020 – 3 января 2021;6 019 839;0,30;
4 января 2021 – 10 января 2021;7 438 114;0,34;
11 января 2021 – 17 января 2021;8 268 250;0,33;
18 января 2021 – 24 января 2021;8 560 994;0,34;
25 января 2021 – 31 января 2021;8 960 139;0,36;
1 февраля 2021 – 7 февраля 2021;8 872 258;0,36;
8 февраля 2021 – 14 февраля 2021;8 716 078;0,34;
15 февраля 2021 – 21 февраля 2021;8 427 583;0,33;
22 февраля 2021 – 28 февраля 2021;8 637 168;0,35;
1 марта 2021 – 7 марта 2021;8 869 880;0,36;
8 марта 2021 – 14 марта 2021;8 542 203;0,34;
15 марта 2021 – 21 марта 2021;8 922 180;0,35;
22 марта 2021 – 28 марта 2021;8 613 854;0,36;
29 марта 2021 – 4 апреля 2021;9 375 804;0,38;
5 апреля 2021 – 11 апреля 2021;9 402 720;0,37;
12 апреля 2021 – 18 апреля 2021;9 400 801;0,37;
19 апреля 2021 – 25 апреля 2021;10 021 466;0,39;
26 апреля 2021 – 2 мая 2021;8 820 354;0,37;
3 мая 2021 – 9 мая 2021;8 725 320;0,40;
10 мая 2021 – 16 мая 2021;8 378 856;0,35;
17 мая 2021 – 23 мая 2021;8 749 470;0,35;
24 мая 2021 – 30 мая 2021;8 707 869;0,36;
31 мая 2021 – 6 июня 2021;9 031 558;0,38;
7 июня 2021 – 13 июня 2021;8 992 594;0,38;
14 июня 2021 – 20 июня 2021;8 692 666;0,38;
21 июня 2021 – 27 июня 2021;8 543 754;0,37;
28 июня 2021 – 4 июля 2021;8 502 313;0,38;
5 июля 2021 – 11 июля 2021;8 404 878;0,38;
12 июля 2021 – 18 июля 2021;8 215 518;0,38;
19 июля 2021 – 25 июля 2021;8 489 976;0,38;
