Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «самоубийство», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;34 984;0,0024;
8 января 2018 – 14 января 2018;41 032;0,0023;
15 января 2018 – 21 января 2018;44 245;0,0024;
22 января 2018 – 28 января 2018;45 660;0,0024;
29 января 2018 – 4 февраля 2018;44 736;0,0023;
5 февраля 2018 – 11 февраля 2018;48 395;0,0025;
12 февраля 2018 – 18 февраля 2018;44 972;0,0024;
19 февраля 2018 – 25 февраля 2018;46 838;0,0024;
26 февраля 2018 – 4 марта 2018;43 987;0,0021;
5 марта 2018 – 11 марта 2018;39 397;0,0021;
12 марта 2018 – 18 марта 2018;42 987;0,0021;
19 марта 2018 – 25 марта 2018;43 532;0,0023;
26 марта 2018 – 1 апреля 2018;43 963;0,0024;
2 апреля 2018 – 8 апреля 2018;40 312;0,0022;
9 апреля 2018 – 15 апреля 2018;39 994;0,0022;
16 апреля 2018 – 22 апреля 2018;44 386;0,0025;
23 апреля 2018 – 29 апреля 2018;44 766;0,0025;
30 апреля 2018 – 6 мая 2018;37 630;0,0024;
7 мая 2018 – 13 мая 2018;37 223;0,0022;
14 мая 2018 – 20 мая 2018;42 054;0,0024;
21 мая 2018 – 27 мая 2018;36 456;0,0021;
28 мая 2018 – 3 июня 2018;38 217;0,0022;
4 июня 2018 – 10 июня 2018;40 916;0,0024;
11 июня 2018 – 17 июня 2018;33 217;0,0021;
18 июня 2018 – 24 июня 2018;41 590;0,0025;
25 июня 2018 – 1 июля 2018;33 799;0,0021;
2 июля 2018 – 8 июля 2018;38 861;0,0024;
9 июля 2018 – 15 июля 2018;31 229;0,0020;
16 июля 2018 – 22 июля 2018;33 096;0,0021;
23 июля 2018 – 29 июля 2018;34 786;0,0022;
30 июля 2018 – 5 августа 2018;36 142;0,0022;
6 августа 2018 – 12 августа 2018;34 792;0,0022;
13 августа 2018 – 19 августа 2018;34 907;0,0021;
20 августа 2018 – 26 августа 2018;32 311;0,0020;
27 августа 2018 – 2 сентября 2018;32 634;0,0020;
3 сентября 2018 – 9 сентября 2018;35 793;0,0020;
10 сентября 2018 – 16 сентября 2018;35 755;0,0019;
17 сентября 2018 – 23 сентября 2018;38 898;0,0020;
24 сентября 2018 – 30 сентября 2018;45 208;0,0022;
1 октября 2018 – 7 октября 2018;46 730;0,0022;
8 октября 2018 – 14 октября 2018;51 149;0,0024;
15 октября 2018 – 21 октября 2018;56 462;0,0027;
22 октября 2018 – 28 октября 2018;57 768;0,0028;
29 октября 2018 – 4 ноября 2018;55 203;0,0027;
5 ноября 2018 – 11 ноября 2018;47 308;0,0024;
12 ноября 2018 – 18 ноября 2018;45 866;0,0023;
19 ноября 2018 – 25 ноября 2018;54 041;0,0027;
26 ноября 2018 – 2 декабря 2018;46 493;0,0023;
3 декабря 2018 – 9 декабря 2018;48 432;0,0023;
10 декабря 2018 – 16 декабря 2018;46 962;0,0023;
17 декабря 2018 – 23 декабря 2018;45 083;0,0022;
