Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тик ток», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;510;0,000035;
8 января 2018 – 14 января 2018;548;0,000031;
15 января 2018 – 21 января 2018;597;0,000032;
22 января 2018 – 28 января 2018;625;0,000033;
29 января 2018 – 4 февраля 2018;732;0,000039;
5 февраля 2018 – 11 февраля 2018;753;0,000039;
12 февраля 2018 – 18 февраля 2018;678;0,000036;
19 февраля 2018 – 25 февраля 2018;770;0,000039;
26 февраля 2018 – 4 марта 2018;836;0,000041;
5 марта 2018 – 11 марта 2018;767;0,000041;
12 марта 2018 – 18 марта 2018;792;0,000040;
19 марта 2018 – 25 марта 2018;806;0,000043;
26 марта 2018 – 1 апреля 2018;898;0,000049;
2 апреля 2018 – 8 апреля 2018;673;0,000038;
9 апреля 2018 – 15 апреля 2018;714;0,000040;
16 апреля 2018 – 22 апреля 2018;603;0,000034;
23 апреля 2018 – 29 апреля 2018;686;0,000038;
30 апреля 2018 – 6 мая 2018;573;0,000036;
7 мая 2018 – 13 мая 2018;798;0,000047;
14 мая 2018 – 20 мая 2018;730;0,000041;
21 мая 2018 – 27 мая 2018;768;0,000046;
28 мая 2018 – 3 июня 2018;825;0,000049;
4 июня 2018 – 10 июня 2018;811;0,000048;
11 июня 2018 – 17 июня 2018;758;0,000048;
18 июня 2018 – 24 июня 2018;908;0,000056;
25 июня 2018 – 1 июля 2018;911;0,000057;
2 июля 2018 – 8 июля 2018;902;0,000056;
9 июля 2018 – 15 июля 2018;955;0,000062;
16 июля 2018 – 22 июля 2018;842;0,000054;
23 июля 2018 – 29 июля 2018;974;0,000061;
30 июля 2018 – 5 августа 2018;7 557;0,000479;
6 августа 2018 – 12 августа 2018;12 518;0,000792;
13 августа 2018 – 19 августа 2018;18 176;0,001140;
20 августа 2018 – 26 августа 2018;23 093;0,001489;
27 августа 2018 – 2 сентября 2018;31 133;0,001947;
3 сентября 2018 – 9 сентября 2018;37 777;0,002178;
10 сентября 2018 – 16 сентября 2018;55 191;0,003071;
17 сентября 2018 – 23 сентября 2018;60 332;0,003156;
24 сентября 2018 – 30 сентября 2018;71 945;0,003557;
1 октября 2018 – 7 октября 2018;80 413;0,003935;
8 октября 2018 – 14 октября 2018;79 588;0,003847;
15 октября 2018 – 21 октября 2018;77 460;0,003740;
22 октября 2018 – 28 октября 2018;84 652;0,004109;
29 октября 2018 – 4 ноября 2018;111 602;0,005551;
5 ноября 2018 – 11 ноября 2018;101 243;0,005274;
12 ноября 2018 – 18 ноября 2018;98 344;0,004944;
19 ноября 2018 – 25 ноября 2018;96 454;0,004877;
26 ноября 2018 – 2 декабря 2018;92 228;0,004707;
3 декабря 2018 – 9 декабря 2018;95 217;0,004672;
10 декабря 2018 – 16 декабря 2018;101 671;0,005124;
17 декабря 2018 – 23 декабря 2018;111 580;0,005680;
24 декабря 2018 – 30 декабря 2018;117 812;0,006575;
31 декабря 2018 – 6 января 2019;127 870;0,008069;
7 января 2019 – 13 января 2019;140 550;0,007368;
14 января 2019 – 20 января 2019;131 749;0,006370;
21 января 2019 – 27 января 2019;139 258;0,006579;
28 января 2019 – 3 февраля 2019;135 842;0,006510;
4 февраля 2019 – 10 февраля 2019;128 884;0,006090;
11 февраля 2019 – 17 февраля 2019;118 992;0,005703;
18 февраля 2019 – 24 февраля 2019;116 666;0,005725;
25 февраля 2019 – 3 марта 2019;114 932;0,005558;
4 марта 2019 – 10 марта 2019;113 062;0,005907;
11 марта 2019 – 17 марта 2019;110 578;0,005407;
18 марта 2019 – 24 марта 2019;109 929;0,005501;
25 марта 2019 – 31 марта 2019;120 596;0,006224;
1 апреля 2019 – 7 апреля 2019;104 695;0,005391;
8 апреля 2019 – 14 апреля 2019;104 272;0,005352;
15 апреля 2019 – 21 апреля 2019;109 093;0,005595;
22 апреля 2019 – 28 апреля 2019;102 610;0,005602;
29 апреля 2019 – 5 мая 2019;111 410;0,006646;
6 мая 2019 – 12 мая 2019;101 264;0,006122;
13 мая 2019 – 19 мая 2019;104 055;0,005544;
20 мая 2019 – 26 мая 2019;103 238;0,005558;
27 мая 2019 – 2 июня 2019;104 981;0,005966;
3 июня 2019 – 9 июня 2019;109 217;0,006321;
10 июня 2019 – 16 июня 2019;111 372;0,006607;
17 июня 2019 – 23 июня 2019;111 135;0,006697;
24 июня 2019 – 30 июня 2019;115 854;0,006872;
1 июля 2019 – 7 июля 2019;115 581;0,006959;
8 июля 2019 – 14 июля 2019;117 950;0,007209;
15 июля 2019 – 21 июля 2019;119 376;0,007333;
22 июля 2019 – 28 июля 2019;130 559;0,008037;
29 июля 2019 – 4 августа 2019;147 639;0,008953;
5 августа 2019 – 11 августа 2019;144 082;0,008627;
12 августа 2019 – 18 августа 2019;150 092;0,009181;
19 августа 2019 – 25 августа 2019;166 861;0,010376;
26 августа 2019 – 1 сентября 2019;172 495;0,010696;
2 сентября 2019 – 8 сентября 2019;157 789;0,009305;
9 сентября 2019 – 15 сентября 2019;177 124;0,009848;
16 сентября 2019 – 22 сентября 2019;189 217;0,009979;
23 сентября 2019 – 29 сентября 2019;203 708;0,010627;
30 сентября 2019 – 6 октября 2019;216 764;0,011147;
7 октября 2019 – 13 октября 2019;233 869;0,011830;
14 октября 2019 – 20 октября 2019;239 508;0,011988;
21 октября 2019 – 27 октября 2019;245 898;0,012330;
28 октября 2019 – 3 ноября 2019;270 843;0,013978;
4 ноября 2019 – 10 ноября 2019;258 215;0,012929;
11 ноября 2019 – 17 ноября 2019;250 092;0,012212;
18 ноября 2019 – 24 ноября 2019;279 313;0,013224;
25 ноября 2019 – 1 декабря 2019;292 141;0,013348;
2 декабря 2019 – 8 декабря 2019;333 592;0,015501;
9 декабря 2019 – 15 декабря 2019;330 491;0,015371;
16 декабря 2019 – 22 декабря 2019;367 568;0,017079;
23 декабря 2019 – 29 декабря 2019;376 496;0,018931;
30 декабря 2019 – 5 января 2020;418 610;0,024107;
6 января 2020 – 12 января 2020;493 662;0,024471;
13 января 2020 – 19 января 2020;515 552;0,022391;
20 января 2020 – 26 января 2020;519 628;0,021473;
