Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тревожность», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;7 393;0,00050;
8 января 2018 – 14 января 2018;13 894;0,00081;
15 января 2018 – 21 января 2018;15 825;0,00086;
22 января 2018 – 28 января 2018;16 315;0,00086;
29 января 2018 – 4 февраля 2018;15 874;0,00084;
5 февраля 2018 – 11 февраля 2018;16 241;0,00084;
12 февраля 2018 – 18 февраля 2018;14 983;0,00080;
19 февраля 2018 – 25 февраля 2018;14 814;0,00076;
26 февраля 2018 – 4 марта 2018;16 867;0,00083;
5 марта 2018 – 11 марта 2018;13 023;0,00071;
12 марта 2018 – 18 марта 2018;18 338;0,00093;
19 марта 2018 – 25 марта 2018;17 208;0,00092;
26 марта 2018 – 1 апреля 2018;16 263;0,00089;
2 апреля 2018 – 8 апреля 2018;16 961;0,00096;
9 апреля 2018 – 15 апреля 2018;18 359;0,00104;
16 апреля 2018 – 22 апреля 2018;17 416;0,00098;
23 апреля 2018 – 29 апреля 2018;16 318;0,00091;
30 апреля 2018 – 6 мая 2018;13 504;0,00086;
7 мая 2018 – 13 мая 2018;16 375;0,00098;
14 мая 2018 – 20 мая 2018;18 362;0,00105;
21 мая 2018 – 27 мая 2018;17 287;0,00104;
28 мая 2018 – 3 июня 2018;16 278;0,00097;
4 июня 2018 – 10 июня 2018;15 609;0,00093;
11 июня 2018 – 17 июня 2018;12 798;0,00082;
18 июня 2018 – 24 июня 2018;11 645;0,00071;
25 июня 2018 – 1 июля 2018;8 792;0,00055;
2 июля 2018 – 8 июля 2018;7 105;0,00044;
9 июля 2018 – 15 июля 2018;6 447;0,00042;
16 июля 2018 – 22 июля 2018;5 900;0,00037;
23 июля 2018 – 29 июля 2018;6 229;0,00039;
30 июля 2018 – 5 августа 2018;6 216;0,00039;
6 августа 2018 – 12 августа 2018;6 433;0,00040;
13 августа 2018 – 19 августа 2018;6 515;0,00040;
20 августа 2018 – 26 августа 2018;6 645;0,00042;
27 августа 2018 – 2 сентября 2018;7 463;0,00046;
3 сентября 2018 – 9 сентября 2018;10 592;0,00061;
10 сентября 2018 – 16 сентября 2018;12 262;0,00068;
17 сентября 2018 – 23 сентября 2018;15 138;0,00079;
24 сентября 2018 – 30 сентября 2018;16 223;0,00080;
1 октября 2018 – 7 октября 2018;17 562;0,00085;
8 октября 2018 – 14 октября 2018;19 961;0,00096;
15 октября 2018 – 21 октября 2018;21 173;0,00102;
22 октября 2018 – 28 октября 2018;22 635;0,00109;
29 октября 2018 – 4 ноября 2018;18 604;0,00092;
5 ноября 2018 – 11 ноября 2018;20 431;0,00106;
12 ноября 2018 – 18 ноября 2018;21 338;0,00107;
19 ноября 2018 – 25 ноября 2018;20 334;0,00102;
26 ноября 2018 – 2 декабря 2018;20 420;0,00104;
3 декабря 2018 – 9 декабря 2018;21 460;0,00105;
10 декабря 2018 – 16 декабря 2018;20 597;0,00103;
17 декабря 2018 – 23 декабря 2018;20 428;0,00104;
24 декабря 2018 – 30 декабря 2018;13 136;0,00073;
31 декабря 2018 – 6 января 2019;7 977;0,00050;
7 января 2019 – 13 января 2019;15 795;0,00082;
14 января 2019 – 20 января 2019;20 562;0,00099;
21 января 2019 – 27 января 2019;19 956;0,00094;
28 января 2019 – 3 февраля 2019;18 629;0,00089;
4 февраля 2019 – 10 февраля 2019;18 144;0,00085;
11 февраля 2019 – 17 февраля 2019;17 989;0,00086;
18 февраля 2019 – 24 февраля 2019;18 648;0,00091;
25 февраля 2019 – 3 марта 2019;19 825;0,00095;
4 марта 2019 – 10 марта 2019;15 510;0,00081;
11 марта 2019 – 17 марта 2019;21 096;0,00103;
18 марта 2019 – 24 марта 2019;20 495;0,00102;
25 марта 2019 – 31 марта 2019;19 529;0,00100;
1 апреля 2019 – 7 апреля 2019;21 415;0,00110;
8 апреля 2019 – 14 апреля 2019;20 716;0,00106;
15 апреля 2019 – 21 апреля 2019;20 102;0,00103;
22 апреля 2019 – 28 апреля 2019;18 575;0,00101;
29 апреля 2019 – 5 мая 2019;14 138;0,00084;
6 мая 2019 – 12 мая 2019;15 412;0,00093;
13 мая 2019 – 19 мая 2019;20 174;0,00107;
20 мая 2019 – 26 мая 2019;21 021;0,00113;
27 мая 2019 – 2 июня 2019;18 029;0,00102;
3 июня 2019 – 9 июня 2019;17 638;0,00102;
10 июня 2019 – 16 июня 2019;15 391;0,00091;
17 июня 2019 – 23 июня 2019;14 604;0,00088;
24 июня 2019 – 30 июня 2019;12 132;0,00071;
1 июля 2019 – 7 июля 2019;9 755;0,00058;
8 июля 2019 – 14 июля 2019;8 532;0,00052;
15 июля 2019 – 21 июля 2019;8 345;0,00051;
22 июля 2019 – 28 июля 2019;8 118;0,00049;
29 июля 2019 – 4 августа 2019;7 985;0,00048;
5 августа 2019 – 11 августа 2019;8 504;0,00050;
12 августа 2019 – 18 августа 2019;8 419;0,00051;
19 августа 2019 – 25 августа 2019;9 106;0,00056;
26 августа 2019 – 1 сентября 2019;9 560;0,00059;
2 сентября 2019 – 8 сентября 2019;11 656;0,00068;
9 сентября 2019 – 15 сентября 2019;14 126;0,00078;
16 сентября 2019 – 22 сентября 2019;15 986;0,00084;
23 сентября 2019 – 29 сентября 2019;17 079;0,00089;
30 сентября 2019 – 6 октября 2019;17 874;0,00091;
7 октября 2019 – 13 октября 2019;20 112;0,00101;
14 октября 2019 – 20 октября 2019;21 787;0,00109;
21 октября 2019 – 27 октября 2019;21 570;0,00108;
28 октября 2019 – 3 ноября 2019;19 499;0,00100;
4 ноября 2019 – 10 ноября 2019;21 274;0,00106;
11 ноября 2019 – 17 ноября 2019;23 392;0,00114;
18 ноября 2019 – 24 ноября 2019;23 248;0,00110;
25 ноября 2019 – 1 декабря 2019;25 820;0,00117;
2 декабря 2019 – 8 декабря 2019;24 371;0,00113;
9 декабря 2019 – 15 декабря 2019;25 078;0,00116;
16 декабря 2019 – 22 декабря 2019;24 554;0,00114;
23 декабря 2019 – 29 декабря 2019;18 052;0,00090;
30 декабря 2019 – 5 января 2020;8 878;0,00051;
6 января 2020 – 12 января 2020;17 655;0,00087;
13 января 2020 – 19 января 2020;25 595;0,00111;
20 января 2020 – 26 января 2020;24 633;0,00101;
27 января 2020 – 2 февраля 2020;22 479;0,00101;
3 февраля 2020 – 9 февраля 2020;21 863;0,00099;
10 февраля 2020 – 16 февраля 2020;21 459;0,00095;
17 февраля 2020 – 23 февраля 2020;21 446;0,00096;
24 февраля 2020 – 1 марта 2020;21 425;0,00097;
2 марта 2020 – 8 марта 2020;19 865;0,00092;
9 марта 2020 – 15 марта 2020;22 543;0,00102;
16 марта 2020 – 22 марта 2020;20 863;0,00093;
23 марта 2020 – 29 марта 2020;20 522;0,00092;
30 марта 2020 – 5 апреля 2020;18 299;0,00078;
6 апреля 2020 – 12 апреля 2020;25 362;0,00090;
13 апреля 2020 – 19 апреля 2020;25 554;0,00089;
20 апреля 2020 – 26 апреля 2020;27 527;0,00096;
27 апреля 2020 – 3 мая 2020;23 480;0,00090;
4 мая 2020 – 10 мая 2020;22 510;0,00097;
11 мая 2020 – 17 мая 2020;26 923;0,00103;
18 мая 2020 – 24 мая 2020;29 324;0,00113;
25 мая 2020 – 31 мая 2020;26 840;0,00117;
1 июня 2020 – 7 июня 2020;24 654;0,00112;
8 июня 2020 – 14 июня 2020;19 937;0,00098;
15 июня 2020 – 21 июня 2020;20 015;0,00097;
22 июня 2020 – 28 июня 2020;17 042;0,00085;
29 июня 2020 – 5 июля 2020;13 834;0,00071;
6 июля 2020 – 12 июля 2020;11 483;0,00060;
13 июля 2020 – 19 июля 2020;10 578;0,00056;
20 июля 2020 – 26 июля 2020;11 136;0,00059;
27 июля 2020 – 2 августа 2020;11 505;0,00061;
3 августа 2020 – 9 августа 2020;13 626;0,00072;
10 августа 2020 – 16 августа 2020;11 350;0,00060;
17 августа 2020 – 23 августа 2020;12 042;0,00063;
24 августа 2020 – 30 августа 2020;12 365;0,00064;
31 августа 2020 – 6 сентября 2020;14 300;0,00071;
7 сентября 2020 – 13 сентября 2020;17 145;0,00079;
14 сентября 2020 – 20 сентября 2020;19 101;0,00085;
21 сентября 2020 – 27 сентября 2020;20 480;0,00089;
28 сентября 2020 – 4 октября 2020;21 922;0,00095;
5 октября 2020 – 11 октября 2020;23 388;0,00099;
12 октября 2020 – 18 октября 2020;26 215;0,00107;
19 октября 2020 – 25 октября 2020;27 517;0,00110;
26 октября 2020 – 1 ноября 2020;27 806;0,00111;
2 ноября 2020 – 8 ноября 2020;26 754;0,00107;
9 ноября 2020 – 15 ноября 2020;30 498;0,00114;
16 ноября 2020 – 22 ноября 2020;31 729;0,00116;
23 ноября 2020 – 29 ноября 2020;32 934;0,00119;
30 ноября 2020 – 6 декабря 2020;31 752;0,00120;
7 декабря 2020 – 13 декабря 2020;33 137;0,00128;
14 декабря 2020 – 20 декабря 2020;32 554;0,00126;
21 декабря 2020 – 27 декабря 2020;28 292;0,00115;
28 декабря 2020 – 3 января 2021;15 478;0,00078;
4 января 2021 – 10 января 2021;19 379;0,00090;
11 января 2021 – 17 января 2021;28 319;0,00115;
18 января 2021 – 24 января 2021;29 608;0,00119;
25 января 2021 – 31 января 2021;29 381;0,00118;
1 февраля 2021 – 7 февраля 2021;27 902;0,00114;
8 февраля 2021 – 14 февраля 2021;27 115;0,00107;
15 февраля 2021 – 21 февраля 2021;27 533;0,00108;
22 февраля 2021 – 28 февраля 2021;25 725;0,00105;
1 марта 2021 – 7 марта 2021;26 349;0,00109;
8 марта 2021 – 14 марта 2021;28 046;0,00114;
15 марта 2021 – 21 марта 2021;31 916;0,00127;
22 марта 2021 – 28 марта 2021;31 062;0,00131;
29 марта 2021 – 4 апреля 2021;34 644;0,00141;
5 апреля 2021 – 11 апреля 2021;36 010;0,00142;
12 апреля 2021 – 18 апреля 2021;34 889;0,00140;
19 апреля 2021 – 25 апреля 2021;34 183;0,00135;
26 апреля 2021 – 2 мая 2021;29 476;0,00124;
3 мая 2021 – 9 мая 2021;26 327;0,00121;
10 мая 2021 – 16 мая 2021;34 410;0,00145;
17 мая 2021 – 23 мая 2021;38 265;0,00155;
24 мая 2021 – 30 мая 2021;41 485;0,00176;
31 мая 2021 – 6 июня 2021;42 155;0,00181;
7 июня 2021 – 13 июня 2021;41 512;0,00176;
14 июня 2021 – 20 июня 2021;29 821;0,00132;
21 июня 2021 – 27 июня 2021;24 805;0,00109;
28 июня 2021 – 4 июля 2021;27 850;0,00124;
5 июля 2021 – 11 июля 2021;18 700;0,00086;
12 июля 2021 – 18 июля 2021;19 332;0,00089;
19 июля 2021 – 25 июля 2021;18 666;0,00085;
26 июля 2021 – 1 августа 2021;19 058;0,00086;
2 августа 2021 – 8 августа 2021;18 489;0,00083;
9 августа 2021 – 15 августа 2021;19 119;0,00085;
16 августа 2021 – 22 августа 2021;20 570;0,00091;
23 августа 2021 – 29 августа 2021;21 404;0,00093;
30 августа 2021 – 5 сентября 2021;22 539;0,00095;
6 сентября 2021 – 12 сентября 2021;25 442;0,00106;
13 сентября 2021 – 19 сентября 2021;27 897;0,00111;
20 сентября 2021 – 26 сентября 2021;31 070;0,00120;
27 сентября 2021 – 3 октября 2021;32 494;0,00129;
4 октября 2021 – 10 октября 2021;33 744;0,00134;
11 октября 2021 – 17 октября 2021;38 107;0,00145;
18 октября 2021 – 24 октября 2021;40 411;0,00153;
25 октября 2021 – 31 октября 2021;38 591;0,00150;
1 ноября 2021 – 7 ноября 2021;42 169;0,00171;
8 ноября 2021 – 14 ноября 2021;45 941;0,00168;
15 ноября 2021 – 21 ноября 2021;46 740;0,00169;
22 ноября 2021 – 28 ноября 2021;45 159;0,00164;
29 ноября 2021 – 5 декабря 2021;45 183;0,00166;
6 декабря 2021 – 12 декабря 2021;47 106;0,00171;
13 декабря 2021 – 19 декабря 2021;47 999;0,00173;
20 декабря 2021 – 26 декабря 2021;41 968;0,00154;
27 декабря 2021 – 2 января 2022;25 634;0,00113;
3 января 2022 – 9 января 2022;30 101;0,00128;
10 января 2022 – 16 января 2022;45 097;0,00164;
17 января 2022 – 23 января 2022;45 339;0,00160;
24 января 2022 – 30 января 2022;44 658;0,00154;
31 января 2022 – 6 февраля 2022;42 663;0,00144;
7 февраля 2022 – 13 февраля 2022;44 642;0,00147;
14 февраля 2022 – 20 февраля 2022;44 851;0,00152;
21 февраля 2022 – 27 февраля 2022;57 381;0,00203;
28 февраля 2022 – 6 марта 2022;53 983;0,00187;
7 марта 2022 – 13 марта 2022;48 378;0,00173;
14 марта 2022 – 20 марта 2022;53 925;0,00185;
21 марта 2022 – 27 марта 2022;55 195;0,00194;
28 марта 2022 – 3 апреля 2022;57 497;0,00202;
4 апреля 2022 – 10 апреля 2022;59 314;0,00208;
11 апреля 2022 – 17 апреля 2022;57 272;0,00205;
18 апреля 2022 – 24 апреля 2022;54 759;0,00198;
25 апреля 2022 – 1 мая 2022;54 166;0,00204;
2 мая 2022 – 8 мая 2022;43 676;0,00174;
9 мая 2022 – 15 мая 2022;49 711;0,00184;
16 мая 2022 – 22 мая 2022;53 833;0,00189;
23 мая 2022 – 29 мая 2022;50 959;0,00186;
30 мая 2022 – 5 июня 2022;46 916;0,00184;
6 июня 2022 – 12 июня 2022;41 631;0,00168;
13 июня 2022 – 19 июня 2022;41 457;0,00168;
20 июня 2022 – 26 июня 2022;39 097;0,00154;
27 июня 2022 – 3 июля 2022;31 786;0,00133;
4 июля 2022 – 10 июля 2022;29 144;0,00125;
11 июля 2022 – 17 июля 2022;28 390;0,00119;
18 июля 2022 – 24 июля 2022;29 424;0,00124;
25 июля 2022 – 31 июля 2022;29 679;0,00125;
1 августа 2022 – 7 августа 2022;29 893;0,00127;
8 августа 2022 – 14 августа 2022;31 322;0,00132;
15 августа 2022 – 21 августа 2022;59 971;0,00247;
22 августа 2022 – 28 августа 2022;34 115;0,00139;
29 августа 2022 – 4 сентября 2022;34 076;0,00135;
5 сентября 2022 – 11 сентября 2022;37 154;0,00137;
12 сентября 2022 – 18 сентября 2022;40 260;0,00147;
19 сентября 2022 – 25 сентября 2022;45 293;0,00163;
26 сентября 2022 – 2 октября 2022;48 329;0,00177;
3 октября 2022 – 9 октября 2022;47 810;0,00175;
10 октября 2022 – 16 октября 2022;52 347;0,00190;
17 октября 2022 – 23 октября 2022;54 613;0,00188;
24 октября 2022 – 30 октября 2022;53 454;0,00189;
31 октября 2022 – 6 ноября 2022;49 913;0,00180;
7 ноября 2022 – 13 ноября 2022;55 974;0,00195;
14 ноября 2022 – 20 ноября 2022;56 410;0,00188;
21 ноября 2022 – 27 ноября 2022;53 024;0,00177;
28 ноября 2022 – 4 декабря 2022;51 710;0,00174;
5 декабря 2022 – 11 декабря 2022;52 183;0,00176;
12 декабря 2022 – 18 декабря 2022;53 429;0,00182;
19 декабря 2022 – 25 декабря 2022;50 923;0,00176;
26 декабря 2022 – 1 января 2023;30 732;0,00128;
2 января 2023 – 8 января 2023;32 667;0,00134;
9 января 2023 – 15 января 2023;48 804;0,00172;
16 января 2023 – 22 января 2023;50 816;0,00175;
23 января 2023 – 29 января 2023;50 183;0,00173;
30 января 2023 – 5 февраля 2023;50 266;0,00174;
6 февраля 2023 – 12 февраля 2023;49 028;0,00170;
13 февраля 2023 – 19 февраля 2023;51 755;0,00180;
20 февраля 2023 – 26 февраля 2023;42 844;0,00157;
27 февраля 2023 – 5 марта 2023;50 348;0,00175;
6 марта 2023 – 12 марта 2023;44 251;0,00161;
13 марта 2023 – 19 марта 2023;52 016;0,00182;
20 марта 2023 – 26 марта 2023;52 449;0,00190;
27 марта 2023 – 2 апреля 2023;54 019;0,00198;
3 апреля 2023 – 9 апреля 2023;54 375;0,00198;
