Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «что такое git», по неделям, 01.01.2018 — 25.02.2024, все регионы, все устройства
1 января 2018 – 7 января 2018;8 749;0,00060;
8 января 2018 – 14 января 2018;17 647;0,00102;
15 января 2018 – 21 января 2018;19 480;0,00106;
22 января 2018 – 28 января 2018;20 103;0,00106;
29 января 2018 – 4 февраля 2018;21 364;0,00114;
5 февраля 2018 – 11 февраля 2018;22 161;0,00115;
12 февраля 2018 – 18 февраля 2018;22 537;0,00120;
19 февраля 2018 – 25 февраля 2018;21 757;0,00112;
26 февраля 2018 – 4 марта 2018;24 333;0,00121;
5 марта 2018 – 11 марта 2018;18 405;0,00100;
12 марта 2018 – 18 марта 2018;22 343;0,00113;
19 марта 2018 – 25 марта 2018;22 780;0,00121;
26 марта 2018 – 1 апреля 2018;23 975;0,00131;
2 апреля 2018 – 8 апреля 2018;24 186;0,00137;
9 апреля 2018 – 15 апреля 2018;23 517;0,00134;
16 апреля 2018 – 22 апреля 2018;22 680;0,00127;
23 апреля 2018 – 29 апреля 2018;26 970;0,00150;
30 апреля 2018 – 6 мая 2018;16 798;0,00107;
7 мая 2018 – 13 мая 2018;20 769;0,00124;
14 мая 2018 – 20 мая 2018;24 632;0,00141;
21 мая 2018 – 27 мая 2018;23 201;0,00139;
28 мая 2018 – 3 июня 2018;22 464;0,00134;
4 июня 2018 – 10 июня 2018;25 260;0,00150;
11 июня 2018 – 17 июня 2018;18 451;0,00118;
18 июня 2018 – 24 июня 2018;21 584;0,00133;
25 июня 2018 – 1 июля 2018;21 573;0,00135;
2 июля 2018 – 8 июля 2018;23 115;0,00145;
9 июля 2018 – 15 июля 2018;23 094;0,00151;
16 июля 2018 – 22 июля 2018;23 678;0,00152;
23 июля 2018 – 29 июля 2018;24 203;0,00154;
30 июля 2018 – 5 августа 2018;25 182;0,00159;
6 августа 2018 – 12 августа 2018;25 096;0,00158;
13 августа 2018 – 19 августа 2018;24 585;0,00154;
20 августа 2018 – 26 августа 2018;24 309;0,00156;
27 августа 2018 – 2 сентября 2018;25 865;0,00161;
3 сентября 2018 – 9 сентября 2018;27 682;0,00159;
10 сентября 2018 – 16 сентября 2018;30 081;0,00167;
17 сентября 2018 – 23 сентября 2018;31 601;0,00165;
24 сентября 2018 – 30 сентября 2018;33 634;0,00166;
1 октября 2018 – 7 октября 2018;34 146;0,00167;
8 октября 2018 – 14 октября 2018;34 014;0,00164;
15 октября 2018 – 21 октября 2018;32 789;0,00158;
22 октября 2018 – 28 октября 2018;31 640;0,00153;
29 октября 2018 – 4 ноября 2018;30 655;0,00152;
5 ноября 2018 – 11 ноября 2018;26 045;0,00135;
12 ноября 2018 – 18 ноября 2018;30 016;0,00150;
19 ноября 2018 – 25 ноября 2018;28 159;0,00142;
26 ноября 2018 – 2 декабря 2018;27 194;0,00138;
3 декабря 2018 – 9 декабря 2018;28 715;0,00140;
10 декабря 2018 – 16 декабря 2018;28 347;0,00142;
17 декабря 2018 – 23 декабря 2018;27 612;0,00140;
24 декабря 2018 – 30 декабря 2018;24 741;0,00138;
31 декабря 2018 – 6 января 2019;12 032;0,00075;
7 января 2019 – 13 января 2019;23 387;0,00122;
14 января 2019 – 20 января 2019;30 520;0,00147;
21 января 2019 – 27 января 2019;30 499;0,00144;
28 января 2019 – 3 февраля 2019;30 066;0,00144;
4 февраля 2019 – 10 февраля 2019;28 644;0,00135;
11 февраля 2019 – 17 февраля 2019;27 465;0,00131;
18 февраля 2019 – 24 февраля 2019;28 005;0,00137;
25 февраля 2019 – 3 марта 2019;29 973;0,00144;
4 марта 2019 – 10 марта 2019;24 624;0,00128;
11 марта 2019 – 17 марта 2019;28 807;0,00140;
18 марта 2019 – 24 марта 2019;29 067;0,00145;
25 марта 2019 – 31 марта 2019;27 256;0,00140;
1 апреля 2019 – 7 апреля 2019;27 173;0,00139;
8 апреля 2019 – 14 апреля 2019;26 935;0,00138;
15 апреля 2019 – 21 апреля 2019;25 667;0,00131;
22 апреля 2019 – 28 апреля 2019;24 957;0,00136;
29 апреля 2019 – 5 мая 2019;18 042;0,00107;
6 мая 2019 – 12 мая 2019;18 524;0,00111;
13 мая 2019 – 19 мая 2019;25 081;0,00133;
20 мая 2019 – 26 мая 2019;24 091;0,00129;
27 мая 2019 – 2 июня 2019;24 547;0,00139;
3 июня 2019 – 9 июня 2019;24 548;0,00142;
