Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «велосипед», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;2 280 594;0,019;
декабрь 2021;2 087 435;0,017;
январь 2022;2 322 995;0,019;
февраль 2022;2 997 161;0,025;
март 2022;4 953 565;0,039;
апрель 2022;7 604 825;0,064;
май 2022;8 965 659;0,075;
июнь 2022;8 169 959;0,076;
июль 2022;6 706 525;0,064;
август 2022;5 839 636;0,054;
сентябрь 2022;3 518 033;0,030;
октябрь 2022;2 782 133;0,022;
ноябрь 2022;2 034 608;0,016;
декабрь 2022;1 755 836;0,014;
январь 2023;2 128 769;0,017;
февраль 2023;2 444 037;0,021;
март 2023;4 648 572;0,037;
апрель 2023;7 977 085;0,069;
май 2023;7 904 905;0,070;
июнь 2023;6 883 463;0,067;
июль 2023;5 830 327;0,058;
август 2023;4 748 191;0,047;
сентябрь 2023;3 642 503;0,033;
октябрь 2023;3 075 181;0;
