Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «газета», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;3 877 324;0,033;
декабрь 2021;3 961 054;0,033;
январь 2022;3 839 539;0,032;
февраль 2022;4 491 462;0,038;
март 2022;6 147 209;0,048;
апрель 2022;4 630 754;0,038;
май 2022;3 952 076;0,033;
июнь 2022;3 462 773;0,032;
июль 2022;3 205 094;0,030;
август 2022;3 120 176;0,029;
сентябрь 2022;3 540 427;0,030;
октябрь 2022;3 670 496;0,029;
ноябрь 2022;3 573 656;0,028;
декабрь 2022;3 316 982;0,026;
январь 2023;3 081 590;0,025;
февраль 2023;3 017 115;0,026;
март 2023;3 308 688;0,026;
апрель 2023;2 996 554;0,026;
май 2023;2 901 398;0,025;
июнь 2023;2 523 950;0,024;
июль 2023;2 334 632;0,023;
август 2023;2 349 498;0,023;
сентябрь 2023;2 539 482;0,023;
октябрь 2023;2 903 119;0;
