Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «доллар», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;11 502 380;0,099;
декабрь 2021;10 753 421;0,091;
январь 2022;14 237 280;0,120;
февраль 2022;32 066 837;0,273;
март 2022;62 503 483;0,493;
апрель 2022;36 685 376;0,308;
май 2022;34 097 450;0,287;
июнь 2022;23 486 757;0,220;
июль 2022;22 585 105;0,218;
август 2022;15 970 518;0,149;
сентябрь 2022;17 258 941;0,148;
октябрь 2022;17 925 072;0,145;
ноябрь 2022;13 952 342;0,111;
декабрь 2022;18 974 649;0,151;
январь 2023;16 744 057;0,136;
февраль 2023;16 006 764;0,141;
март 2023;17 369 723;0,140;
апрель 2023;17 767 843;0,154;
май 2023;16 262 092;0,144;
июнь 2023;16 749 122;0,164;
июль 2023;18 742 737;0,186;
август 2023;22 320 805;0,222;
сентябрь 2023;14 709 387;0,136;
октябрь 2023;17 402 877;0;
