Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «кирпичи», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;2 116 922;0,018;
декабрь 2021;1 853 191;0,015;
январь 2022;1 994 820;0,016;
февраль 2022;2 015 465;0,017;
март 2022;2 303 762;0,018;
апрель 2022;2 543 658;0,021;
май 2022;2 923 459;0,024;
июнь 2022;2 736 128;0,025;
июль 2022;2 628 667;0,025;
август 2022;2 568 985;0,023;
сентябрь 2022;2 138 193;0,018;
октябрь 2022;2 018 479;0,016;
ноябрь 2022;1 915 453;0,015;
декабрь 2022;1 603 401;0,012;
январь 2023;1 810 897;0,014;
февраль 2023;1 781 327;0,015;
март 2023;2 178 282;0,017;
апрель 2023;2 358 600;0,020;
май 2023;2 548 561;0,022;
июнь 2023;2 379 574;0,023;
июль 2023;2 357 776;0,023;
август 2023;2 263 943;0,022;
сентябрь 2023;2 181 358;0,020;
октябрь 2023;2 103 442;0;
