Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «продать», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;7 264 014;0,063;
декабрь 2021;7 308 336;0,062;
январь 2022;7 527 475;0,063;
февраль 2022;7 538 172;0,064;
март 2022;9 706 885;0,076;
апрель 2022;7 718 741;0,064;
май 2022;7 393 512;0,062;
июнь 2022;6 758 708;0,063;
июль 2022;6 531 686;0,063;
август 2022;6 745 867;0,063;
сентябрь 2022;6 416 316;0,055;
октябрь 2022;6 621 252;0,053;
ноябрь 2022;6 687 894;0,053;
декабрь 2022;6 229 387;0,049;
январь 2023;6 306 208;0,051;
февраль 2023;6 187 088;0,054;
март 2023;7 149 590;0,057;
апрель 2023;6 766 791;0,058;
май 2023;6 328 608;0,056;
июнь 2023;5 943 132;0,058;
июль 2023;5 956 638;0,059;
август 2023;6 192 324;0,061;
сентябрь 2023;5 975 940;0,055;
октябрь 2023;6 425 862;0,053;
