Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «часы», по месяцам, 01.11.2021 — 31.10.2023, все регионы, все устройства
ноябрь 2021;24 902 697;0,21;
декабрь 2021;28 340 154;0,24;
январь 2022;27 840 329;0,23;
февраль 2022;26 279 935;0,22;
март 2022;27 881 367;0,22;
апрель 2022;26 473 683;0,22;
май 2022;26 880 088;0,22;
июнь 2022;24 334 185;0,22;
июль 2022;24 903 154;0,24;
август 2022;26 395 652;0,24;
сентябрь 2022;28 781 194;0,24;
октябрь 2022;29 422 293;0,23;
ноябрь 2022;29 038 522;0,23;
декабрь 2022;30 425 198;0,24;
январь 2023;30 055 581;0,24;
февраль 2023;27 367 064;0,24;
март 2023;28 601 060;0,23;
апрель 2023;27 068 422;0,23;
май 2023;26 963 052;0,23;
июнь 2023;24 859 640;0,24;
июль 2023;26 049 933;0,25;
август 2023;26 637 450;0,26;
сентябрь 2023;27 721 711;0,25;
октябрь 2023;29 476 190;0;
